네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","족욕기"
"2017-08-01",23
"2017-08-02",28
"2017-08-03",22
"2017-08-04",17
"2017-08-05",20
"2017-08-06",18
"2017-08-07",28
"2017-08-08",26
"2017-08-09",25
"2017-08-10",29
"2017-08-11",20
"2017-08-12",21
"2017-08-13",28
"2017-08-14",31
"2017-08-15",32
"2017-08-16",30
"2017-08-17",30
"2017-08-18",29
"2017-08-19",27
"2017-08-20",30
"2017-08-21",28
"2017-08-22",29
"2017-08-23",29
"2017-08-24",29
"2017-08-25",26
"2017-08-26",28
"2017-08-27",31
"2017-08-28",39
"2017-08-29",41
"2017-08-30",38
"2017-08-31",31
"2017-09-01",25
"2017-09-02",25
"2017-09-03",39
"2017-09-04",38
"2017-09-05",38
"2017-09-06",36
"2017-09-07",35
"2017-09-08",28
"2017-09-09",29
"2017-09-10",37
"2017-09-11",44
"2017-09-12",40
"2017-09-13",42
"2017-09-14",33
"2017-09-15",37
"2017-09-16",45
"2017-09-17",46
"2017-09-18",40
"2017-09-19",38
"2017-09-20",37
"2017-09-21",46
"2017-09-22",38
"2017-09-23",33
"2017-09-24",42
"2017-09-25",43
"2017-09-26",48
"2017-09-27",44
"2017-09-28",34
"2017-09-29",33
"2017-09-30",38
"2017-10-01",39
"2017-10-02",36
"2017-10-03",37
"2017-10-04",43
"2017-10-05",48
"2017-10-06",53
"2017-10-07",51
"2017-10-08",49
"2017-10-09",54
"2017-10-10",59
"2017-10-11",59
"2017-10-12",59
"2017-10-13",46
"2017-10-14",51
"2017-10-15",54
"2017-10-16",56
"2017-10-17",63
"2017-10-18",68
"2017-10-19",58
"2017-10-20",47
"2017-10-21",47
"2017-10-22",60
"2017-10-23",63
"2017-10-24",54
"2017-10-25",64
"2017-10-26",59
"2017-10-27",61
"2017-10-28",47
"2017-10-29",69
"2017-10-30",73
"2017-10-31",73
"2017-11-01",75
"2017-11-02",71
"2017-11-03",65
"2017-11-04",74
"2017-11-05",78
"2017-11-06",83
"2017-11-07",71
"2017-11-08",80
"2017-11-09",79
"2017-11-10",53
"2017-11-11",63
"2017-11-12",69
"2017-11-13",74
"2017-11-14",71
"2017-11-15",64
"2017-11-16",83
"2017-11-17",71
"2017-11-18",70
"2017-11-19",90
"2017-11-20",91
"2017-11-21",97
"2017-11-22",83
"2017-11-23",78
"2017-11-24",67
"2017-11-25",64
"2017-11-26",63
"2017-11-27",75
"2017-11-28",81
"2017-11-29",74
"2017-11-30",56
"2017-12-01",59
"2017-12-02",60
"2017-12-03",66
"2017-12-04",84
"2017-12-05",75
"2017-12-06",76
"2017-12-07",68
"2017-12-08",73
"2017-12-09",64
"2017-12-10",87
"2017-12-11",88
"2017-12-12",82
"2017-12-13",79
"2017-12-14",74
"2017-12-15",62
"2017-12-16",66
"2017-12-17",84
"2017-12-18",81
"2017-12-19",74
"2017-12-20",63
"2017-12-21",54
"2017-12-22",52
"2017-12-23",49
"2017-12-24",53
"2017-12-25",60
"2017-12-26",79
"2017-12-27",73
"2017-12-28",64
"2017-12-29",52
"2017-12-30",48
"2017-12-31",50
"2018-01-01",69
"2018-01-02",72
"2018-01-03",71
"2018-01-04",79
"2018-01-05",68
"2018-01-06",66
"2018-01-07",75
"2018-01-08",71
"2018-01-09",77
"2018-01-10",70
"2018-01-11",71
"2018-01-12",64
"2018-01-13",61
"2018-01-14",74
"2018-01-15",78
"2018-01-16",66
"2018-01-17",64
"2018-01-18",55
"2018-01-19",53
"2018-01-20",58
"2018-01-21",63
"2018-01-22",65
"2018-01-23",61
"2018-01-24",74
"2018-01-25",81
"2018-01-26",70
"2018-01-27",90
"2018-01-28",98
"2018-01-29",100
"2018-01-30",87
"2018-01-31",79
"2018-02-01",71
"2018-02-02",81
"2018-02-03",76
"2018-02-04",87
"2018-02-05",85
"2018-02-06",86
"2018-02-07",89
"2018-02-08",83
"2018-02-09",72
"2018-02-10",63
"2018-02-11",79
"2018-02-12",51
"2018-02-13",49
"2018-02-14",36
"2018-02-15",44
"2018-02-16",59
"2018-02-17",65
"2018-02-18",96
"2018-02-19",87
"2018-02-20",71
"2018-02-21",65
"2018-02-22",62
"2018-02-23",51
"2018-02-24",71
"2018-02-25",59
"2018-02-26",67
"2018-02-27",68
"2018-02-28",59
"2018-03-01",70
"2018-03-02",53
"2018-03-03",55
"2018-03-04",52
"2018-03-05",53
"2018-03-06",49
"2018-03-07",58
"2018-03-08",55
"2018-03-09",47
"2018-03-10",48
"2018-03-11",64
"2018-03-12",73
"2018-03-13",56
"2018-03-14",48
"2018-03-15",52
"2018-03-16",44
"2018-03-17",52
"2018-03-18",71
"2018-03-19",55
"2018-03-20",58
"2018-03-21",68
"2018-03-22",54
"2018-03-23",47
"2018-03-24",48
"2018-03-25",74
"2018-03-26",55
"2018-03-27",51
"2018-03-28",54
"2018-03-29",44
"2018-03-30",40
"2018-03-31",38
"2018-04-01",46
"2018-04-02",57
"2018-04-03",51
"2018-04-04",49
"2018-04-05",50
"2018-04-06",45
"2018-04-07",41
"2018-04-08",54
"2018-04-09",57
"2018-04-10",50
"2018-04-11",51
"2018-04-12",51
"2018-04-13",42
"2018-04-14",55
"2018-04-15",53
"2018-04-16",60
"2018-04-17",63
"2018-04-18",54
"2018-04-19",51
