네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","일회용마스크"
"2017-08-01",4
"2017-08-02",5
"2017-08-03",4
"2017-08-04",3
"2017-08-05",3
"2017-08-06",3
"2017-08-07",4
"2017-08-08",4
"2017-08-09",4
"2017-08-10",4
"2017-08-11",4
"2017-08-12",3
"2017-08-13",3
"2017-08-14",5
"2017-08-15",4
"2017-08-16",5
"2017-08-17",6
"2017-08-18",4
"2017-08-19",3
"2017-08-20",4
"2017-08-21",6
"2017-08-22",5
"2017-08-23",5
"2017-08-24",6
"2017-08-25",4
"2017-08-26",4
"2017-08-27",5
"2017-08-28",7
"2017-08-29",8
"2017-08-30",10
"2017-08-31",9
"2017-09-01",7
"2017-09-02",7
"2017-09-03",7
"2017-09-04",9
"2017-09-05",8
"2017-09-06",8
"2017-09-07",7
"2017-09-08",10
"2017-09-09",6
"2017-09-10",7
"2017-09-11",6
"2017-09-12",8
"2017-09-13",7
"2017-09-14",7
"2017-09-15",6
"2017-09-16",4
"2017-09-17",8
"2017-09-18",9
"2017-09-19",14
"2017-09-20",14
"2017-09-21",9
"2017-09-22",8
"2017-09-23",7
"2017-09-24",7
"2017-09-25",9
"2017-09-26",9
"2017-09-27",7
"2017-09-28",6
"2017-09-29",4
"2017-09-30",4
"2017-10-01",3
"2017-10-02",3
"2017-10-03",3
"2017-10-04",3
"2017-10-05",4
"2017-10-06",5
"2017-10-07",4
"2017-10-08",5
"2017-10-09",7
"2017-10-10",9
"2017-10-11",8
"2017-10-12",9
"2017-10-13",7
"2017-10-14",6
"2017-10-15",9
"2017-10-16",12
"2017-10-17",12
"2017-10-18",13
"2017-10-19",10
"2017-10-20",10
"2017-10-21",7
"2017-10-22",8
"2017-10-23",11
"2017-10-24",15
"2017-10-25",14
"2017-10-26",12
"2017-10-27",12
"2017-10-28",8
"2017-10-29",11
"2017-10-30",18
"2017-10-31",18
"2017-11-01",17
"2017-11-02",14
"2017-11-03",13
"2017-11-04",13
"2017-11-05",13
"2017-11-06",18
"2017-11-07",16
"2017-11-08",18
"2017-11-09",15
"2017-11-10",12
"2017-11-11",10
"2017-11-12",12
"2017-11-13",17
"2017-11-14",17
"2017-11-15",17
"2017-11-16",17
"2017-11-17",16
"2017-11-18",13
"2017-11-19",16
"2017-11-20",26
"2017-11-21",21
"2017-11-22",18
"2017-11-23",18
"2017-11-24",15
"2017-11-25",11
"2017-11-26",12
"2017-11-27",17
"2017-11-28",18
"2017-11-29",19
"2017-11-30",18
"2017-12-01",20
"2017-12-02",13
"2017-12-03",15
"2017-12-04",23
"2017-12-05",25
"2017-12-06",24
"2017-12-07",21
"2017-12-08",19
"2017-12-09",15
"2017-12-10",15
"2017-12-11",25
"2017-12-12",28
"2017-12-13",23
"2017-12-14",23
"2017-12-15",19
"2017-12-16",12
"2017-12-17",16
"2017-12-18",23
"2017-12-19",21
"2017-12-20",22
"2017-12-21",19
"2017-12-22",14
"2017-12-23",12
"2017-12-24",11
"2017-12-25",13
"2017-12-26",25
"2017-12-27",25
"2017-12-28",22
"2017-12-29",17
"2017-12-30",19
"2017-12-31",15
"2018-01-01",17
"2018-01-02",28
"2018-01-03",27
"2018-01-04",28
"2018-01-05",21
"2018-01-06",21
"2018-01-07",20
"2018-01-08",32
"2018-01-09",33
"2018-01-10",29
"2018-01-11",28
"2018-01-12",22
"2018-01-13",24
"2018-01-14",27
"2018-01-15",35
"2018-01-16",55
"2018-01-17",62
"2018-01-18",56
"2018-01-19",31
"2018-01-20",27
"2018-01-21",26
"2018-01-22",27
"2018-01-23",24
"2018-01-24",23
"2018-01-25",21
"2018-01-26",18
"2018-01-27",14
"2018-01-28",15
"2018-01-29",21
"2018-01-30",24
"2018-01-31",19
"2018-02-01",17
"2018-02-02",13
"2018-02-03",12
"2018-02-04",15
"2018-02-05",18
"2018-02-06",19
"2018-02-07",14
"2018-02-08",15
"2018-02-09",11
"2018-02-10",9
"2018-02-11",8
"2018-02-12",10
"2018-02-13",10
"2018-02-14",7
"2018-02-15",4
"2018-02-16",6
"2018-02-17",7
"2018-02-18",10
"2018-02-19",19
"2018-02-20",15
"2018-02-21",17
"2018-02-22",16
"2018-02-23",16
"2018-02-24",12
"2018-02-25",13
"2018-02-26",20
"2018-02-27",24
"2018-02-28",17
"2018-03-01",15
"2018-03-02",17
"2018-03-03",14
"2018-03-04",17
"2018-03-05",18
"2018-03-06",16
"2018-03-07",16
"2018-03-08",14
"2018-03-09",12
"2018-03-10",9
"2018-03-11",13
"2018-03-12",23
"2018-03-13",20
"2018-03-14",14
"2018-03-15",12
"2018-03-16",10
"2018-03-17",9
"2018-03-18",12
"2018-03-19",13
"2018-03-20",14
"2018-03-21",14
"2018-03-22",12
"2018-03-23",14
"2018-03-24",16
"2018-03-25",51
"2018-03-26",100
"2018-03-27",66
"2018-03-28",39
"2018-03-29",33
"2018-03-30",15
"2018-03-31",11
"2018-04-01",14
"2018-04-02",16
"2018-04-03",12
"2018-04-04",11
"2018-04-05",8
"2018-04-06",10
"2018-04-07",7
"2018-04-08",8
"2018-04-09",9
"2018-04-10",12
"2018-04-11",14
"2018-04-12",9
"2018-04-13",8
"2018-04-14",6
"2018-04-15",12
"2018-04-16",15
"2018-04-17",15
"2018-04-18",13
"2018-04-19",12
