네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이코스스킨"
"2017-08-01",22
"2017-08-02",18
"2017-08-03",21
"2017-08-04",20
"2017-08-05",15
"2017-08-06",13
"2017-08-07",24
"2017-08-08",27
"2017-08-09",27
"2017-08-10",30
"2017-08-11",25
"2017-08-12",14
"2017-08-13",19
"2017-08-14",31
"2017-08-15",27
"2017-08-16",32
"2017-08-17",36
"2017-08-18",34
"2017-08-19",28
"2017-08-20",30
"2017-08-21",36
"2017-08-22",45
"2017-08-23",44
"2017-08-24",41
"2017-08-25",41
"2017-08-26",26
"2017-08-27",29
"2017-08-28",40
"2017-08-29",50
"2017-08-30",44
"2017-08-31",48
"2017-09-01",50
"2017-09-02",32
"2017-09-03",35
"2017-09-04",47
"2017-09-05",46
"2017-09-06",49
"2017-09-07",52
"2017-09-08",55
"2017-09-09",37
"2017-09-10",47
"2017-09-11",67
"2017-09-12",71
"2017-09-13",75
"2017-09-14",75
"2017-09-15",77
"2017-09-16",51
"2017-09-17",54
"2017-09-18",71
"2017-09-19",91
"2017-09-20",83
"2017-09-21",79
"2017-09-22",88
"2017-09-23",55
"2017-09-24",69
"2017-09-25",77
"2017-09-26",69
"2017-09-27",72
"2017-09-28",65
"2017-09-29",43
"2017-09-30",40
"2017-10-01",49
"2017-10-02",39
"2017-10-03",42
"2017-10-04",35
"2017-10-05",44
"2017-10-06",53
"2017-10-07",61
"2017-10-08",65
"2017-10-09",89
"2017-10-10",100
"2017-10-11",91
"2017-10-12",80
"2017-10-13",75
"2017-10-14",61
"2017-10-15",63
"2017-10-16",79
"2017-10-17",86
"2017-10-18",84
"2017-10-19",88
"2017-10-20",73
"2017-10-21",61
"2017-10-22",49
"2017-10-23",68
"2017-10-24",60
"2017-10-25",65
"2017-10-26",70
"2017-10-27",63
"2017-10-28",51
"2017-10-29",57
"2017-10-30",69
"2017-10-31",68
"2017-11-01",65
"2017-11-02",64
"2017-11-03",66
"2017-11-04",46
"2017-11-05",47
"2017-11-06",59
"2017-11-07",74
"2017-11-08",70
"2017-11-09",86
"2017-11-10",74
"2017-11-11",53
"2017-11-12",49
"2017-11-13",65
"2017-11-14",61
"2017-11-15",62
"2017-11-16",68
"2017-11-17",51
"2017-11-18",60
"2017-11-19",47
"2017-11-20",56
"2017-11-21",55
"2017-11-22",58
"2017-11-23",59
"2017-11-24",47
"2017-11-25",45
"2017-11-26",40
"2017-11-27",58
"2017-11-28",63
"2017-11-29",70
"2017-11-30",58
"2017-12-01",60
"2017-12-02",49
"2017-12-03",46
"2017-12-04",69
"2017-12-05",68
"2017-12-06",68
"2017-12-07",78
"2017-12-08",64
"2017-12-09",67
"2017-12-10",51
"2017-12-11",55
"2017-12-12",75
"2017-12-13",63
"2017-12-14",60
"2017-12-15",59
"2017-12-16",44
"2017-12-17",48
"2017-12-18",59
"2017-12-19",54
"2017-12-20",47
"2017-12-21",51
"2017-12-22",43
"2017-12-23",39
"2017-12-24",32
"2017-12-25",38
"2017-12-26",51
"2017-12-27",48
"2017-12-28",48
"2017-12-29",44
"2017-12-30",44
"2017-12-31",43
"2018-01-01",43
"2018-01-02",64
"2018-01-03",74
"2018-01-04",72
"2018-01-05",66
"2018-01-06",57
"2018-01-07",49
"2018-01-08",58
"2018-01-09",70
"2018-01-10",72
"2018-01-11",64
"2018-01-12",53
"2018-01-13",50
"2018-01-14",51
"2018-01-15",63
"2018-01-16",73
"2018-01-17",73
"2018-01-18",65
"2018-01-19",58
"2018-01-20",47
"2018-01-21",47
"2018-01-22",68
"2018-01-23",62
"2018-01-24",58
"2018-01-25",61
"2018-01-26",45
"2018-01-27",41
"2018-01-28",48
"2018-01-29",57
"2018-01-30",50
"2018-01-31",44
"2018-02-01",57
"2018-02-02",47
"2018-02-03",35
"2018-02-04",52
"2018-02-05",52
"2018-02-06",45
"2018-02-07",52
"2018-02-08",43
"2018-02-09",40
"2018-02-10",38
"2018-02-11",38
"2018-02-12",40
"2018-02-13",41
"2018-02-14",41
"2018-02-15",30
"2018-02-16",31
"2018-02-17",43
"2018-02-18",49
"2018-02-19",62
"2018-02-20",55
"2018-02-21",64
"2018-02-22",64
"2018-02-23",60
"2018-02-24",47
"2018-02-25",46
"2018-02-26",66
"2018-02-27",57
"2018-02-28",49
"2018-03-01",43
"2018-03-02",51
"2018-03-03",41
"2018-03-04",58
"2018-03-05",51
"2018-03-06",57
"2018-03-07",52
"2018-03-08",57
"2018-03-09",45
"2018-03-10",33
"2018-03-11",36
"2018-03-12",41
"2018-03-13",47
"2018-03-14",43
"2018-03-15",41
"2018-03-16",33
"2018-03-17",28
"2018-03-18",35
"2018-03-19",38
"2018-03-20",42
"2018-03-21",48
"2018-03-22",51
"2018-03-23",32
"2018-03-24",27
"2018-03-25",32
"2018-03-26",35
"2018-03-27",39
"2018-03-28",39
"2018-03-29",37
"2018-03-30",35
"2018-03-31",21
"2018-04-01",26
"2018-04-02",34
"2018-04-03",31
"2018-04-04",40
"2018-04-05",32
"2018-04-06",32
"2018-04-07",24
"2018-04-08",26
"2018-04-09",30
"2018-04-10",49
"2018-04-11",39
"2018-04-12",39
"2018-04-13",33
"2018-04-14",28
"2018-04-15",34
"2018-04-16",31
"2018-04-17",32
"2018-04-18",32
"2018-04-19",41
