네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","다우니"
"2017-08-01",63
"2017-08-02",55
"2017-08-03",53
"2017-08-04",36
"2017-08-05",40
"2017-08-06",51
"2017-08-07",59
"2017-08-08",53
"2017-08-09",50
"2017-08-10",44
"2017-08-11",41
"2017-08-12",36
"2017-08-13",46
"2017-08-14",41
"2017-08-15",57
"2017-08-16",47
"2017-08-17",50
"2017-08-18",41
"2017-08-19",35
"2017-08-20",47
"2017-08-21",53
"2017-08-22",54
"2017-08-23",49
"2017-08-24",53
"2017-08-25",42
"2017-08-26",34
"2017-08-27",49
"2017-08-28",48
"2017-08-29",45
"2017-08-30",43
"2017-08-31",42
"2017-09-01",37
"2017-09-02",36
"2017-09-03",57
"2017-09-04",60
"2017-09-05",47
"2017-09-06",43
"2017-09-07",42
"2017-09-08",40
"2017-09-09",35
"2017-09-10",50
"2017-09-11",50
"2017-09-12",54
"2017-09-13",45
"2017-09-14",40
"2017-09-15",30
"2017-09-16",32
"2017-09-17",50
"2017-09-18",52
"2017-09-19",53
"2017-09-20",37
"2017-09-21",41
"2017-09-22",38
"2017-09-23",29
"2017-09-24",42
"2017-09-25",53
"2017-09-26",55
"2017-09-27",39
"2017-09-28",37
"2017-09-29",32
"2017-09-30",24
"2017-10-01",31
"2017-10-02",25
"2017-10-03",22
"2017-10-04",29
"2017-10-05",34
"2017-10-06",43
"2017-10-07",39
"2017-10-08",63
"2017-10-09",100
"2017-10-10",97
"2017-10-11",85
"2017-10-12",77
"2017-10-13",52
"2017-10-14",53
"2017-10-15",59
"2017-10-16",82
"2017-10-17",68
"2017-10-18",64
"2017-10-19",56
"2017-10-20",42
"2017-10-21",48
"2017-10-22",73
"2017-10-23",68
"2017-10-24",61
"2017-10-25",66
"2017-10-26",59
"2017-10-27",52
"2017-10-28",43
"2017-10-29",68
"2017-10-30",81
"2017-10-31",67
"2017-11-01",74
"2017-11-02",67
"2017-11-03",51
"2017-11-04",54
"2017-11-05",60
"2017-11-06",79
"2017-11-07",73
"2017-11-08",65
"2017-11-09",54
"2017-11-10",46
"2017-11-11",52
"2017-11-12",61
"2017-11-13",71
"2017-11-14",71
"2017-11-15",59
"2017-11-16",53
"2017-11-17",44
"2017-11-18",43
"2017-11-19",73
"2017-11-20",83
"2017-11-21",74
"2017-11-22",63
"2017-11-23",62
"2017-11-24",47
"2017-11-25",43
"2017-11-26",54
"2017-11-27",67
"2017-11-28",62
"2017-11-29",66
"2017-11-30",56
"2017-12-01",57
"2017-12-02",51
"2017-12-03",71
"2017-12-04",73
"2017-12-05",70
"2017-12-06",63
"2017-12-07",52
"2017-12-08",41
"2017-12-09",46
"2017-12-10",64
"2017-12-11",67
"2017-12-12",63
"2017-12-13",57
"2017-12-14",53
"2017-12-15",50
"2017-12-16",48
"2017-12-17",70
"2017-12-18",65
"2017-12-19",56
"2017-12-20",59
"2017-12-21",48
"2017-12-22",32
"2017-12-23",37
"2017-12-24",38
"2017-12-25",52
"2017-12-26",67
"2017-12-27",55
"2017-12-28",56
"2017-12-29",40
"2017-12-30",41
"2017-12-31",34
"2018-01-01",61
"2018-01-02",79
"2018-01-03",63
"2018-01-04",63
"2018-01-05",38
"2018-01-06",46
"2018-01-07",66
"2018-01-08",72
"2018-01-09",56
"2018-01-10",49
"2018-01-11",55
"2018-01-12",46
"2018-01-13",50
"2018-01-14",59
"2018-01-15",61
"2018-01-16",58
"2018-01-17",59
"2018-01-18",54
"2018-01-19",46
"2018-01-20",44
"2018-01-21",70
"2018-01-22",71
"2018-01-23",64
"2018-01-24",54
"2018-01-25",43
"2018-01-26",42
"2018-01-27",42
"2018-01-28",48
"2018-01-29",59
"2018-01-30",56
"2018-01-31",52
"2018-02-01",56
"2018-02-02",38
"2018-02-03",42
"2018-02-04",59
"2018-02-05",68
"2018-02-06",61
"2018-02-07",45
"2018-02-08",40
"2018-02-09",32
"2018-02-10",36
"2018-02-11",46
"2018-02-12",36
"2018-02-13",31
"2018-02-14",20
"2018-02-15",25
"2018-02-16",32
"2018-02-17",48
"2018-02-18",67
"2018-02-19",86
"2018-02-20",69
"2018-02-21",69
"2018-02-22",52
"2018-02-23",47
"2018-02-24",45
"2018-02-25",58
"2018-02-26",63
"2018-02-27",67
"2018-02-28",55
"2018-03-01",76
"2018-03-02",51
"2018-03-03",50
"2018-03-04",75
"2018-03-05",73
"2018-03-06",65
"2018-03-07",66
"2018-03-08",61
"2018-03-09",48
"2018-03-10",55
"2018-03-11",80
"2018-03-12",75
"2018-03-13",63
"2018-03-14",63
"2018-03-15",68
"2018-03-16",48
"2018-03-17",53
"2018-03-18",73
"2018-03-19",76
"2018-03-20",71
"2018-03-21",61
"2018-03-22",57
"2018-03-23",55
"2018-03-24",49
"2018-03-25",67
"2018-03-26",69
"2018-03-27",58
"2018-03-28",56
"2018-03-29",66
"2018-03-30",49
"2018-03-31",58
"2018-04-01",81
"2018-04-02",82
"2018-04-03",71
"2018-04-04",70
"2018-04-05",66
"2018-04-06",48
"2018-04-07",50
"2018-04-08",68
"2018-04-09",82
"2018-04-10",62
"2018-04-11",72
"2018-04-12",53
"2018-04-13",46
"2018-04-14",40
"2018-04-15",67
"2018-04-16",74
"2018-04-17",67
"2018-04-18",56
"2018-04-19",56
