네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","등산화"
"2017-08-01",28
"2017-08-02",18
"2017-08-03",17
"2017-08-04",17
"2017-08-05",16
"2017-08-06",26
"2017-08-07",20
"2017-08-08",24
"2017-08-09",17
"2017-08-10",19
"2017-08-11",21
"2017-08-12",18
"2017-08-13",30
"2017-08-14",33
"2017-08-15",38
"2017-08-16",32
"2017-08-17",31
"2017-08-18",27
"2017-08-19",33
"2017-08-20",37
"2017-08-21",37
"2017-08-22",38
"2017-08-23",45
"2017-08-24",33
"2017-08-25",30
"2017-08-26",39
"2017-08-27",52
"2017-08-28",45
"2017-08-29",45
"2017-08-30",45
"2017-08-31",39
"2017-09-01",37
"2017-09-02",38
"2017-09-03",48
"2017-09-04",56
"2017-09-05",45
"2017-09-06",52
"2017-09-07",41
"2017-09-08",39
"2017-09-09",37
"2017-09-10",56
"2017-09-11",49
"2017-09-12",43
"2017-09-13",53
"2017-09-14",41
"2017-09-15",40
"2017-09-16",40
"2017-09-17",65
"2017-09-18",68
"2017-09-19",68
"2017-09-20",56
"2017-09-21",51
"2017-09-22",46
"2017-09-23",48
"2017-09-24",63
"2017-09-25",63
"2017-09-26",56
"2017-09-27",52
"2017-09-28",42
"2017-09-29",33
"2017-09-30",34
"2017-10-01",44
"2017-10-02",52
"2017-10-03",42
"2017-10-04",50
"2017-10-05",52
"2017-10-06",68
"2017-10-07",64
"2017-10-08",69
"2017-10-09",93
"2017-10-10",80
"2017-10-11",69
"2017-10-12",69
"2017-10-13",56
"2017-10-14",63
"2017-10-15",79
"2017-10-16",72
"2017-10-17",77
"2017-10-18",68
"2017-10-19",65
"2017-10-20",51
"2017-10-21",56
"2017-10-22",77
"2017-10-23",76
"2017-10-24",75
"2017-10-25",63
"2017-10-26",65
"2017-10-27",52
"2017-10-28",59
"2017-10-29",75
"2017-10-30",74
"2017-10-31",71
"2017-11-01",57
"2017-11-02",50
"2017-11-03",48
"2017-11-04",59
"2017-11-05",75
"2017-11-06",72
"2017-11-07",64
"2017-11-08",59
"2017-11-09",54
"2017-11-10",48
"2017-11-11",46
"2017-11-12",71
"2017-11-13",70
"2017-11-14",54
"2017-11-15",52
"2017-11-16",55
"2017-11-17",44
"2017-11-18",54
"2017-11-19",69
"2017-11-20",67
"2017-11-21",63
"2017-11-22",63
"2017-11-23",57
"2017-11-24",66
"2017-11-25",59
"2017-11-26",74
"2017-11-27",70
"2017-11-28",61
"2017-11-29",49
"2017-11-30",48
"2017-12-01",48
"2017-12-02",53
"2017-12-03",77
"2017-12-04",72
"2017-12-05",64
"2017-12-06",70
"2017-12-07",62
"2017-12-08",50
"2017-12-09",57
"2017-12-10",78
"2017-12-11",70
"2017-12-12",71
"2017-12-13",64
"2017-12-14",57
"2017-12-15",50
"2017-12-16",46
"2017-12-17",69
"2017-12-18",73
"2017-12-19",61
"2017-12-20",67
"2017-12-21",59
"2017-12-22",41
"2017-12-23",44
"2017-12-24",56
"2017-12-25",72
"2017-12-26",59
"2017-12-27",51
"2017-12-28",44
"2017-12-29",45
"2017-12-30",42
"2017-12-31",52
"2018-01-01",70
"2018-01-02",71
"2018-01-03",62
"2018-01-04",57
"2018-01-05",62
"2018-01-06",62
"2018-01-07",75
"2018-01-08",84
"2018-01-09",89
"2018-01-10",81
"2018-01-11",62
"2018-01-12",64
"2018-01-13",74
"2018-01-14",89
"2018-01-15",80
"2018-01-16",87
"2018-01-17",67
"2018-01-18",47
"2018-01-19",42
"2018-01-20",57
"2018-01-21",73
"2018-01-22",61
"2018-01-23",70
"2018-01-24",67
"2018-01-25",64
"2018-01-26",53
"2018-01-27",58
"2018-01-28",83
"2018-01-29",66
"2018-01-30",62
"2018-01-31",63
"2018-02-01",45
"2018-02-02",37
"2018-02-03",46
"2018-02-04",67
"2018-02-05",47
"2018-02-06",46
"2018-02-07",38
"2018-02-08",36
"2018-02-09",29
"2018-02-10",33
"2018-02-11",40
"2018-02-12",37
"2018-02-13",29
"2018-02-14",23
"2018-02-15",32
"2018-02-16",36
"2018-02-17",47
"2018-02-18",74
"2018-02-19",68
"2018-02-20",61
"2018-02-21",61
"2018-02-22",57
"2018-02-23",43
"2018-02-24",54
"2018-02-25",76
"2018-02-26",72
"2018-02-27",69
"2018-02-28",58
"2018-03-01",77
"2018-03-02",64
"2018-03-03",60
"2018-03-04",91
"2018-03-05",75
"2018-03-06",74
"2018-03-07",70
"2018-03-08",68
"2018-03-09",54
"2018-03-10",61
"2018-03-11",78
"2018-03-12",68
"2018-03-13",72
"2018-03-14",60
"2018-03-15",64
"2018-03-16",62
"2018-03-17",63
"2018-03-18",100
"2018-03-19",94
"2018-03-20",73
"2018-03-21",69
"2018-03-22",68
"2018-03-23",56
"2018-03-24",74
"2018-03-25",91
"2018-03-26",83
"2018-03-27",71
"2018-03-28",58
"2018-03-29",55
"2018-03-30",48
"2018-03-31",58
"2018-04-01",82
"2018-04-02",68
"2018-04-03",65
"2018-04-04",59
"2018-04-05",55
"2018-04-06",48
"2018-04-07",51
"2018-04-08",83
"2018-04-09",81
"2018-04-10",76
"2018-04-11",70
"2018-04-12",62
"2018-04-13",51
"2018-04-14",55
"2018-04-15",77
"2018-04-16",56
"2018-04-17",53
"2018-04-18",62
"2018-04-19",55
