네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","디스커버리익스페디션"
"2017-08-01",6
"2017-08-02",5
"2017-08-03",4
"2017-08-04",3
"2017-08-05",4
"2017-08-06",5
"2017-08-07",5
"2017-08-08",7
"2017-08-09",6
"2017-08-10",4
"2017-08-11",8
"2017-08-12",6
"2017-08-13",8
"2017-08-14",5
"2017-08-15",6
"2017-08-16",10
"2017-08-17",7
"2017-08-18",5
"2017-08-19",8
"2017-08-20",10
"2017-08-21",5
"2017-08-22",7
"2017-08-23",10
"2017-08-24",8
"2017-08-25",7
"2017-08-26",6
"2017-08-27",13
"2017-08-28",12
"2017-08-29",13
"2017-08-30",22
"2017-08-31",15
"2017-09-01",12
"2017-09-02",18
"2017-09-03",19
"2017-09-04",16
"2017-09-05",20
"2017-09-06",18
"2017-09-07",20
"2017-09-08",13
"2017-09-09",14
"2017-09-10",20
"2017-09-11",15
"2017-09-12",15
"2017-09-13",14
"2017-09-14",14
"2017-09-15",16
"2017-09-16",15
"2017-09-17",27
"2017-09-18",16
"2017-09-19",21
"2017-09-20",18
"2017-09-21",17
"2017-09-22",21
"2017-09-23",16
"2017-09-24",21
"2017-09-25",24
"2017-09-26",23
"2017-09-27",22
"2017-09-28",22
"2017-09-29",23
"2017-09-30",21
"2017-10-01",32
"2017-10-02",29
"2017-10-03",28
"2017-10-04",30
"2017-10-05",34
"2017-10-06",37
"2017-10-07",27
"2017-10-08",30
"2017-10-09",35
"2017-10-10",30
"2017-10-11",30
"2017-10-12",41
"2017-10-13",38
"2017-10-14",36
"2017-10-15",43
"2017-10-16",45
"2017-10-17",41
"2017-10-18",38
"2017-10-19",35
"2017-10-20",29
"2017-10-21",29
"2017-10-22",40
"2017-10-23",39
"2017-10-24",38
"2017-10-25",42
"2017-10-26",42
"2017-10-27",34
"2017-10-28",33
"2017-10-29",45
"2017-10-30",48
"2017-10-31",47
"2017-11-01",48
"2017-11-02",37
"2017-11-03",40
"2017-11-04",43
"2017-11-05",49
"2017-11-06",43
"2017-11-07",36
"2017-11-08",32
"2017-11-09",32
"2017-11-10",28
"2017-11-11",35
"2017-11-12",48
"2017-11-13",47
"2017-11-14",37
"2017-11-15",32
"2017-11-16",56
"2017-11-17",45
"2017-11-18",66
"2017-11-19",89
"2017-11-20",100
"2017-11-21",100
"2017-11-22",92
"2017-11-23",89
"2017-11-24",76
"2017-11-25",76
"2017-11-26",94
"2017-11-27",74
"2017-11-28",52
"2017-11-29",52
"2017-11-30",50
"2017-12-01",57
"2017-12-02",65
"2017-12-03",78
"2017-12-04",64
"2017-12-05",64
"2017-12-06",59
"2017-12-07",46
"2017-12-08",41
"2017-12-09",51
"2017-12-10",56
"2017-12-11",56
"2017-12-12",63
"2017-12-13",54
"2017-12-14",46
"2017-12-15",34
"2017-12-16",39
"2017-12-17",48
"2017-12-18",45
"2017-12-19",35
"2017-12-20",31
"2017-12-21",30
"2017-12-22",24
"2017-12-23",26
"2017-12-24",30
"2017-12-25",37
"2017-12-26",30
"2017-12-27",31
"2017-12-28",36
"2017-12-29",25
"2017-12-30",28
"2017-12-31",24
"2018-01-01",27
"2018-01-02",21
"2018-01-03",24
"2018-01-04",25
"2018-01-05",18
"2018-01-06",21
"2018-01-07",29
"2018-01-08",28
"2018-01-09",33
"2018-01-10",38
"2018-01-11",42
"2018-01-12",44
"2018-01-13",38
"2018-01-14",46
"2018-01-15",32
"2018-01-16",30
"2018-01-17",28
"2018-01-18",21
"2018-01-19",25
"2018-01-20",26
"2018-01-21",29
"2018-01-22",29
"2018-01-23",34
"2018-01-24",43
"2018-01-25",43
"2018-01-26",51
"2018-01-27",49
"2018-01-28",50
"2018-01-29",45
"2018-01-30",41
"2018-01-31",37
"2018-02-01",37
"2018-02-02",31
"2018-02-03",37
"2018-02-04",56
"2018-02-05",55
"2018-02-06",39
"2018-02-07",34
"2018-02-08",31
"2018-02-09",23
"2018-02-10",27
"2018-02-11",39
"2018-02-12",28
"2018-02-13",26
"2018-02-14",25
"2018-02-15",27
"2018-02-16",27
"2018-02-17",35
"2018-02-18",40
"2018-02-19",27
"2018-02-20",29
"2018-02-21",28
"2018-02-22",27
"2018-02-23",24
"2018-02-24",34
"2018-02-25",44
"2018-02-26",29
"2018-02-27",29
"2018-02-28",24
"2018-03-01",34
"2018-03-02",27
"2018-03-03",29
"2018-03-04",40
"2018-03-05",29
"2018-03-06",29
"2018-03-07",27
"2018-03-08",24
"2018-03-09",23
"2018-03-10",25
"2018-03-11",33
"2018-03-12",27
"2018-03-13",29
"2018-03-14",25
"2018-03-15",22
"2018-03-16",20
"2018-03-17",22
"2018-03-18",36
"2018-03-19",27
"2018-03-20",23
"2018-03-21",22
"2018-03-22",21
"2018-03-23",18
"2018-03-24",20
"2018-03-25",31
"2018-03-26",25
"2018-03-27",22
"2018-03-28",15
"2018-03-29",17
"2018-03-30",14
"2018-03-31",17
"2018-04-01",18
"2018-04-02",15
"2018-04-03",15
"2018-04-04",17
"2018-04-05",19
"2018-04-06",17
"2018-04-07",19
"2018-04-08",26
"2018-04-09",20
"2018-04-10",18
"2018-04-11",20
"2018-04-12",16
"2018-04-13",17
"2018-04-14",20
"2018-04-15",20
"2018-04-16",17
"2018-04-17",16
"2018-04-18",15
"2018-04-19",14
