네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","전기자전거"
"2017-08-01",29
"2017-08-02",25
"2017-08-03",27
"2017-08-04",27
"2017-08-05",24
"2017-08-06",32
"2017-08-07",31
"2017-08-08",34
"2017-08-09",35
"2017-08-10",26
"2017-08-11",65
"2017-08-12",62
"2017-08-13",59
"2017-08-14",46
"2017-08-15",44
"2017-08-16",38
"2017-08-17",36
"2017-08-18",46
"2017-08-19",50
"2017-08-20",46
"2017-08-21",41
"2017-08-22",46
"2017-08-23",34
"2017-08-24",40
"2017-08-25",46
"2017-08-26",47
"2017-08-27",50
"2017-08-28",37
"2017-08-29",42
"2017-08-30",42
"2017-08-31",44
"2017-09-01",38
"2017-09-02",42
"2017-09-03",52
"2017-09-04",49
"2017-09-05",48
"2017-09-06",39
"2017-09-07",38
"2017-09-08",43
"2017-09-09",45
"2017-09-10",56
"2017-09-11",43
"2017-09-12",45
"2017-09-13",39
"2017-09-14",37
"2017-09-15",38
"2017-09-16",44
"2017-09-17",56
"2017-09-18",45
"2017-09-19",52
"2017-09-20",40
"2017-09-21",36
"2017-09-22",38
"2017-09-23",40
"2017-09-24",45
"2017-09-25",44
"2017-09-26",50
"2017-09-27",40
"2017-09-28",33
"2017-09-29",48
"2017-09-30",48
"2017-10-01",41
"2017-10-02",33
"2017-10-03",38
"2017-10-04",37
"2017-10-05",39
"2017-10-06",45
"2017-10-07",46
"2017-10-08",43
"2017-10-09",69
"2017-10-10",52
"2017-10-11",34
"2017-10-12",33
"2017-10-13",34
"2017-10-14",34
"2017-10-15",35
"2017-10-16",36
"2017-10-17",37
"2017-10-18",37
"2017-10-19",39
"2017-10-20",32
"2017-10-21",35
"2017-10-22",41
"2017-10-23",40
"2017-10-24",40
"2017-10-25",37
"2017-10-26",31
"2017-10-27",31
"2017-10-28",36
"2017-10-29",43
"2017-10-30",26
"2017-10-31",31
"2017-11-01",30
"2017-11-02",29
"2017-11-03",34
"2017-11-04",27
"2017-11-05",31
"2017-11-06",27
"2017-11-07",45
"2017-11-08",31
"2017-11-09",25
"2017-11-10",26
"2017-11-11",23
"2017-11-12",29
"2017-11-13",24
"2017-11-14",22
"2017-11-15",18
"2017-11-16",17
"2017-11-17",16
"2017-11-18",16
"2017-11-19",17
"2017-11-20",16
"2017-11-21",19
"2017-11-22",15
"2017-11-23",16
"2017-11-24",15
"2017-11-25",16
"2017-11-26",17
"2017-11-27",16
"2017-11-28",19
"2017-11-29",16
"2017-11-30",13
"2017-12-01",16
"2017-12-02",18
"2017-12-03",18
"2017-12-04",17
"2017-12-05",16
"2017-12-06",12
"2017-12-07",12
"2017-12-08",13
"2017-12-09",16
"2017-12-10",16
"2017-12-11",14
"2017-12-12",12
"2017-12-13",14
"2017-12-14",12
"2017-12-15",11
"2017-12-16",13
"2017-12-17",18
"2017-12-18",13
"2017-12-19",14
"2017-12-20",12
"2017-12-21",11
"2017-12-22",14
"2017-12-23",14
"2017-12-24",14
"2017-12-25",17
"2017-12-26",15
"2017-12-27",14
"2017-12-28",13
"2017-12-29",14
"2017-12-30",16
"2017-12-31",15
"2018-01-01",24
"2018-01-02",18
"2018-01-03",14
"2018-01-04",18
"2018-01-05",17
"2018-01-06",18
"2018-01-07",20
"2018-01-08",19
"2018-01-09",17
"2018-01-10",14
"2018-01-11",17
"2018-01-12",16
"2018-01-13",15
"2018-01-14",16
"2018-01-15",15
"2018-01-16",16
"2018-01-17",21
"2018-01-18",18
"2018-01-19",19
"2018-01-20",21
"2018-01-21",31
"2018-01-22",23
"2018-01-23",19
"2018-01-24",22
"2018-01-25",17
"2018-01-26",14
"2018-01-27",16
"2018-01-28",23
"2018-01-29",21
"2018-01-30",23
"2018-01-31",21
"2018-02-01",22
"2018-02-02",18
"2018-02-03",17
"2018-02-04",28
"2018-02-05",21
"2018-02-06",18
"2018-02-07",17
"2018-02-08",20
"2018-02-09",17
"2018-02-10",24
"2018-02-11",28
"2018-02-12",22
"2018-02-13",21
"2018-02-14",19
"2018-02-15",22
"2018-02-16",23
"2018-02-17",28
"2018-02-18",34
"2018-02-19",31
"2018-02-20",28
"2018-02-21",26
"2018-02-22",27
"2018-02-23",26
"2018-02-24",28
"2018-02-25",32
"2018-02-26",35
"2018-02-27",32
"2018-02-28",25
"2018-03-01",33
"2018-03-02",33
"2018-03-03",33
"2018-03-04",40
"2018-03-05",36
"2018-03-06",39
"2018-03-07",35
"2018-03-08",30
"2018-03-09",30
"2018-03-10",35
"2018-03-11",53
"2018-03-12",44
"2018-03-13",41
"2018-03-14",41
"2018-03-15",36
"2018-03-16",33
"2018-03-17",41
"2018-03-18",47
"2018-03-19",41
"2018-03-20",36
"2018-03-21",61
"2018-03-22",41
"2018-03-23",37
"2018-03-24",45
"2018-03-25",61
"2018-03-26",44
"2018-03-27",46
"2018-03-28",53
"2018-03-29",44
"2018-03-30",41
"2018-03-31",100
"2018-04-01",55
"2018-04-02",51
"2018-04-03",47
"2018-04-04",46
"2018-04-05",38
"2018-04-06",32
"2018-04-07",36
"2018-04-08",42
"2018-04-09",45
"2018-04-10",43
"2018-04-11",38
"2018-04-12",41
"2018-04-13",42
"2018-04-14",37
"2018-04-15",41
"2018-04-16",42
"2018-04-17",45
"2018-04-18",43
"2018-04-19",39
