네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","밀레롱패딩"
"2017-08-01",4
"2017-08-02",4
"2017-08-03",5
"2017-08-04",5
"2017-08-05",7
"2017-08-06",14
"2017-08-07",10
"2017-08-08",8
"2017-08-09",10
"2017-08-10",12
"2017-08-11",8
"2017-08-12",10
"2017-08-13",12
"2017-08-14",13
"2017-08-15",18
"2017-08-16",13
"2017-08-17",12
"2017-08-18",10
"2017-08-19",12
"2017-08-20",17
"2017-08-21",14
"2017-08-22",13
"2017-08-23",13
"2017-08-24",11
"2017-08-25",11
"2017-08-26",15
"2017-08-27",20
"2017-08-28",10
"2017-08-29",12
"2017-08-30",13
"2017-08-31",8
"2017-09-01",7
"2017-09-02",9
"2017-09-03",10
"2017-09-04",10
"2017-09-05",7
"2017-09-06",7
"2017-09-07",16
"2017-09-08",7
"2017-09-09",7
"2017-09-10",10
"2017-09-11",8
"2017-09-12",5
"2017-09-13",6
"2017-09-14",4
"2017-09-15",3
"2017-09-16",4
"2017-09-17",6
"2017-09-18",4
"2017-09-19",3
"2017-09-20",4
"2017-09-21",3
"2017-09-22",3
"2017-09-23",3
"2017-09-24",5
"2017-09-25",5
"2017-09-26",4
"2017-09-27",4
"2017-09-28",6
"2017-09-29",8
"2017-09-30",7
"2017-10-01",10
"2017-10-02",7
"2017-10-03",6
"2017-10-04",8
"2017-10-05",11
"2017-10-06",14
"2017-10-07",12
"2017-10-08",15
"2017-10-09",11
"2017-10-10",7
"2017-10-11",7
"2017-10-12",10
"2017-10-13",6
"2017-10-14",7
"2017-10-15",9
"2017-10-16",8
"2017-10-17",6
"2017-10-18",10
"2017-10-19",5
"2017-10-20",5
"2017-10-21",7
"2017-10-22",8
"2017-10-23",9
"2017-10-24",10
"2017-10-25",9
"2017-10-26",14
"2017-10-27",15
"2017-10-28",18
"2017-10-29",35
"2017-10-30",72
"2017-10-31",69
"2017-11-01",58
"2017-11-02",50
"2017-11-03",49
"2017-11-04",77
"2017-11-05",100
"2017-11-06",70
"2017-11-07",35
"2017-11-08",22
"2017-11-09",16
"2017-11-10",14
"2017-11-11",20
"2017-11-12",21
"2017-11-13",23
"2017-11-14",18
"2017-11-15",24
"2017-11-16",33
"2017-11-17",29
"2017-11-18",38
"2017-11-19",47
"2017-11-20",54
"2017-11-21",43
"2017-11-22",33
"2017-11-23",34
"2017-11-24",35
"2017-11-25",37
"2017-11-26",41
"2017-11-27",30
"2017-11-28",25
"2017-11-29",20
"2017-11-30",22
"2017-12-01",22
"2017-12-02",19
"2017-12-03",24
"2017-12-04",23
"2017-12-05",27
"2017-12-06",24
"2017-12-07",19
"2017-12-08",20
"2017-12-09",20
"2017-12-10",22
"2017-12-11",27
"2017-12-12",33
"2017-12-13",40
"2017-12-14",32
"2017-12-15",24
"2017-12-16",23
"2017-12-17",30
"2017-12-18",22
"2017-12-19",16
"2017-12-20",20
"2017-12-21",22
"2017-12-22",17
"2017-12-23",19
"2017-12-24",18
"2017-12-25",22
"2017-12-26",21
"2017-12-27",23
"2017-12-28",21
"2017-12-29",14
"2017-12-30",13
"2017-12-31",15
"2018-01-01",14
"2018-01-02",18
"2018-01-03",18
"2018-01-04",17
"2018-01-05",16
"2018-01-06",15
"2018-01-07",22
"2018-01-08",19
"2018-01-09",17
"2018-01-10",19
"2018-01-11",22
"2018-01-12",20
"2018-01-13",24
"2018-01-14",23
"2018-01-15",15
"2018-01-16",10
"2018-01-17",7
"2018-01-18",7
"2018-01-19",7
"2018-01-20",9
"2018-01-21",13
"2018-01-22",10
"2018-01-23",12
"2018-01-24",18
"2018-01-25",20
"2018-01-26",22
"2018-01-27",29
"2018-01-28",29
"2018-01-29",29
"2018-01-30",23
"2018-01-31",16
"2018-02-01",19
"2018-02-02",14
"2018-02-03",19
"2018-02-04",27
"2018-02-05",22
"2018-02-06",17
"2018-02-07",16
"2018-02-08",13
"2018-02-09",9
"2018-02-10",17
"2018-02-11",19
"2018-02-12",11
"2018-02-13",9
"2018-02-14",7
"2018-02-15",8
"2018-02-16",7
"2018-02-17",11
"2018-02-18",11
"2018-02-19",8
"2018-02-20",6
"2018-02-21",5
"2018-02-22",6
"2018-02-23",4
"2018-02-24",7
"2018-02-25",7
"2018-02-26",4
"2018-02-27",3
"2018-02-28",4
"2018-03-01",6
"2018-03-02",3
"2018-03-03",4
"2018-03-04",4
"2018-03-05",2
"2018-03-06",2
"2018-03-07",1
"2018-03-08",2
"2018-03-09",5
"2018-03-10",7
"2018-03-11",3
"2018-03-12",3
"2018-03-13",1
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",1
"2018-03-20",1
"2018-03-21",1
"2018-03-22",1
"2018-03-23",1
"2018-03-24",1
"2018-03-25",1
"2018-03-26",1
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",1
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",
"2018-04-08",1
"2018-04-09",1
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
