네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","k2구스다운"
"2017-08-01",3
"2017-08-02",2
"2017-08-03",3
"2017-08-04",4
"2017-08-05",3
"2017-08-06",3
"2017-08-07",3
"2017-08-08",5
"2017-08-09",3
"2017-08-10",4
"2017-08-11",4
"2017-08-12",5
"2017-08-13",7
"2017-08-14",6
"2017-08-15",7
"2017-08-16",7
"2017-08-17",10
"2017-08-18",9
"2017-08-19",11
"2017-08-20",14
"2017-08-21",12
"2017-08-22",12
"2017-08-23",10
"2017-08-24",10
"2017-08-25",7
"2017-08-26",7
"2017-08-27",13
"2017-08-28",10
"2017-08-29",11
"2017-08-30",11
"2017-08-31",8
"2017-09-01",7
"2017-09-02",9
"2017-09-03",10
"2017-09-04",10
"2017-09-05",7
"2017-09-06",10
"2017-09-07",7
"2017-09-08",8
"2017-09-09",6
"2017-09-10",11
"2017-09-11",9
"2017-09-12",7
"2017-09-13",6
"2017-09-14",5
"2017-09-15",6
"2017-09-16",5
"2017-09-17",6
"2017-09-18",5
"2017-09-19",6
"2017-09-20",5
"2017-09-21",6
"2017-09-22",6
"2017-09-23",4
"2017-09-24",4
"2017-09-25",6
"2017-09-26",3
"2017-09-27",7
"2017-09-28",5
"2017-09-29",5
"2017-09-30",5
"2017-10-01",7
"2017-10-02",6
"2017-10-03",7
"2017-10-04",5
"2017-10-05",5
"2017-10-06",8
"2017-10-07",8
"2017-10-08",7
"2017-10-09",8
"2017-10-10",6
"2017-10-11",9
"2017-10-12",10
"2017-10-13",10
"2017-10-14",10
"2017-10-15",16
"2017-10-16",12
"2017-10-17",14
"2017-10-18",16
"2017-10-19",12
"2017-10-20",11
"2017-10-21",11
"2017-10-22",14
"2017-10-23",16
"2017-10-24",16
"2017-10-25",15
"2017-10-26",13
"2017-10-27",12
"2017-10-28",16
"2017-10-29",26
"2017-10-30",31
"2017-10-31",31
"2017-11-01",31
"2017-11-02",25
"2017-11-03",25
"2017-11-04",35
"2017-11-05",48
"2017-11-06",39
"2017-11-07",28
"2017-11-08",32
"2017-11-09",25
"2017-11-10",28
"2017-11-11",36
"2017-11-12",52
"2017-11-13",43
"2017-11-14",43
"2017-11-15",46
"2017-11-16",53
"2017-11-17",57
"2017-11-18",70
"2017-11-19",100
"2017-11-20",89
"2017-11-21",73
"2017-11-22",65
"2017-11-23",64
"2017-11-24",62
"2017-11-25",65
"2017-11-26",68
"2017-11-27",56
"2017-11-28",45
"2017-11-29",43
"2017-11-30",53
"2017-12-01",47
"2017-12-02",50
"2017-12-03",54
"2017-12-04",54
"2017-12-05",60
"2017-12-06",55
"2017-12-07",46
"2017-12-08",44
"2017-12-09",44
"2017-12-10",70
"2017-12-11",63
"2017-12-12",89
"2017-12-13",79
"2017-12-14",78
"2017-12-15",48
"2017-12-16",61
"2017-12-17",76
"2017-12-18",66
"2017-12-19",61
"2017-12-20",61
"2017-12-21",49
"2017-12-22",36
"2017-12-23",47
"2017-12-24",49
"2017-12-25",58
"2017-12-26",53
"2017-12-27",51
"2017-12-28",49
"2017-12-29",44
"2017-12-30",39
"2017-12-31",35
"2018-01-01",44
"2018-01-02",40
"2018-01-03",39
"2018-01-04",34
"2018-01-05",35
"2018-01-06",48
"2018-01-07",56
"2018-01-08",54
"2018-01-09",52
"2018-01-10",52
"2018-01-11",57
"2018-01-12",66
"2018-01-13",78
"2018-01-14",76
"2018-01-15",45
"2018-01-16",41
"2018-01-17",32
"2018-01-18",28
"2018-01-19",27
"2018-01-20",35
"2018-01-21",43
"2018-01-22",34
"2018-01-23",46
"2018-01-24",59
"2018-01-25",60
"2018-01-26",63
"2018-01-27",74
"2018-01-28",78
"2018-01-29",58
"2018-01-30",55
"2018-01-31",51
"2018-02-01",43
"2018-02-02",41
"2018-02-03",59
"2018-02-04",82
"2018-02-05",68
"2018-02-06",63
"2018-02-07",55
"2018-02-08",44
"2018-02-09",34
"2018-02-10",43
"2018-02-11",61
"2018-02-12",44
"2018-02-13",36
"2018-02-14",25
"2018-02-15",26
"2018-02-16",27
"2018-02-17",37
"2018-02-18",44
"2018-02-19",29
"2018-02-20",24
"2018-02-21",20
"2018-02-22",24
"2018-02-23",17
"2018-02-24",25
"2018-02-25",22
"2018-02-26",21
"2018-02-27",13
"2018-02-28",14
"2018-03-01",21
"2018-03-02",17
"2018-03-03",14
"2018-03-04",17
"2018-03-05",11
"2018-03-06",10
"2018-03-07",9
"2018-03-08",7
"2018-03-09",5
"2018-03-10",6
"2018-03-11",6
"2018-03-12",6
"2018-03-13",3
"2018-03-14",2
"2018-03-15",2
"2018-03-16",2
"2018-03-17",3
"2018-03-18",2
"2018-03-19",2
"2018-03-20",2
"2018-03-21",3
"2018-03-22",3
"2018-03-23",2
"2018-03-24",1
"2018-03-25",3
"2018-03-26",2
"2018-03-27",2
"2018-03-28",1
"2018-03-29",1
"2018-03-30",1
"2018-03-31",2
"2018-04-01",1
"2018-04-02",1
"2018-04-03",1
"2018-04-04",1
"2018-04-05",
"2018-04-06",1
"2018-04-07",1
"2018-04-08",1
"2018-04-09",1
"2018-04-10",1
"2018-04-11",
"2018-04-12",
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",
"2018-04-17",1
"2018-04-18",1
"2018-04-19",
