네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","캠핑카"
"2017-08-01",21
"2017-08-02",16
"2017-08-03",20
"2017-08-04",19
"2017-08-05",27
"2017-08-06",28
"2017-08-07",15
"2017-08-08",18
"2017-08-09",15
"2017-08-10",23
"2017-08-11",19
"2017-08-12",30
"2017-08-13",39
"2017-08-14",29
"2017-08-15",35
"2017-08-16",19
"2017-08-17",28
"2017-08-18",17
"2017-08-19",24
"2017-08-20",30
"2017-08-21",19
"2017-08-22",17
"2017-08-23",18
"2017-08-24",20
"2017-08-25",33
"2017-08-26",13
"2017-08-27",14
"2017-08-28",13
"2017-08-29",10
"2017-08-30",9
"2017-08-31",8
"2017-09-01",9
"2017-09-02",14
"2017-09-03",17
"2017-09-04",10
"2017-09-05",17
"2017-09-06",11
"2017-09-07",21
"2017-09-08",18
"2017-09-09",22
"2017-09-10",34
"2017-09-11",18
"2017-09-12",13
"2017-09-13",9
"2017-09-14",12
"2017-09-15",13
"2017-09-16",21
"2017-09-17",32
"2017-09-18",12
"2017-09-19",12
"2017-09-20",10
"2017-09-21",14
"2017-09-22",9
"2017-09-23",17
"2017-09-24",20
"2017-09-25",11
"2017-09-26",17
"2017-09-27",14
"2017-09-28",15
"2017-09-29",6
"2017-09-30",7
"2017-10-01",10
"2017-10-02",15
"2017-10-03",7
"2017-10-04",21
"2017-10-05",41
"2017-10-06",41
"2017-10-07",48
"2017-10-08",43
"2017-10-09",34
"2017-10-10",22
"2017-10-11",12
"2017-10-12",13
"2017-10-13",7
"2017-10-14",8
"2017-10-15",15
"2017-10-16",12
"2017-10-17",10
"2017-10-18",10
"2017-10-19",11
"2017-10-20",8
"2017-10-21",14
"2017-10-22",18
"2017-10-23",13
"2017-10-24",11
"2017-10-25",9
"2017-10-26",11
"2017-10-27",11
"2017-10-28",16
"2017-10-29",19
"2017-10-30",11
"2017-10-31",8
"2017-11-01",5
"2017-11-02",11
"2017-11-03",8
"2017-11-04",11
"2017-11-05",11
"2017-11-06",9
"2017-11-07",9
"2017-11-08",7
"2017-11-09",9
"2017-11-10",6
"2017-11-11",10
"2017-11-12",12
"2017-11-13",8
"2017-11-14",9
"2017-11-15",6
"2017-11-16",5
"2017-11-17",4
"2017-11-18",11
"2017-11-19",16
"2017-11-20",12
"2017-11-21",10
"2017-11-22",8
"2017-11-23",11
"2017-11-24",7
"2017-11-25",11
"2017-11-26",11
"2017-11-27",7
"2017-11-28",6
"2017-11-29",7
"2017-11-30",18
"2017-12-01",8
"2017-12-02",10
"2017-12-03",11
"2017-12-04",7
"2017-12-05",6
"2017-12-06",5
"2017-12-07",13
"2017-12-08",6
"2017-12-09",8
"2017-12-10",10
"2017-12-11",12
"2017-12-12",6
"2017-12-13",7
"2017-12-14",18
"2017-12-15",8
"2017-12-16",9
"2017-12-17",10
"2017-12-18",6
"2017-12-19",7
"2017-12-20",5
"2017-12-21",8
"2017-12-22",4
"2017-12-23",8
"2017-12-24",10
"2017-12-25",9
"2017-12-26",6
"2017-12-27",5
"2017-12-28",6
"2017-12-29",4
"2017-12-30",10
"2017-12-31",10
"2018-01-01",13
"2018-01-02",7
"2018-01-03",6
"2018-01-04",11
"2018-01-05",9
"2018-01-06",13
"2018-01-07",10
"2018-01-08",5
"2018-01-09",5
"2018-01-10",5
"2018-01-11",7
"2018-01-12",7
"2018-01-13",9
"2018-01-14",10
"2018-01-15",7
"2018-01-16",7
"2018-01-17",7
"2018-01-18",14
"2018-01-19",9
"2018-01-20",16
"2018-01-21",19
"2018-01-22",11
"2018-01-23",9
"2018-01-24",7
"2018-01-25",11
"2018-01-26",14
"2018-01-27",17
"2018-01-28",24
"2018-01-29",15
"2018-01-30",12
"2018-01-31",12
"2018-02-01",12
"2018-02-02",11
"2018-02-03",15
"2018-02-04",27
"2018-02-05",15
"2018-02-06",10
"2018-02-07",7
"2018-02-08",13
"2018-02-09",9
"2018-02-10",10
"2018-02-11",15
"2018-02-12",9
"2018-02-13",8
"2018-02-14",8
"2018-02-15",14
"2018-02-16",13
"2018-02-17",20
"2018-02-18",24
"2018-02-19",18
"2018-02-20",11
"2018-02-21",8
"2018-02-22",15
"2018-02-23",11
"2018-02-24",19
"2018-02-25",24
"2018-02-26",19
"2018-02-27",13
"2018-02-28",12
"2018-03-01",43
"2018-03-02",17
"2018-03-03",21
"2018-03-04",30
"2018-03-05",17
"2018-03-06",11
"2018-03-07",11
"2018-03-08",18
"2018-03-09",11
"2018-03-10",23
"2018-03-11",29
"2018-03-12",20
"2018-03-13",16
"2018-03-14",12
"2018-03-15",35
"2018-03-16",20
"2018-03-17",26
"2018-03-18",33
"2018-03-19",23
"2018-03-20",24
"2018-03-21",24
"2018-03-22",24
"2018-03-23",19
"2018-03-24",31
"2018-03-25",38
"2018-03-26",23
"2018-03-27",28
"2018-03-28",17
"2018-03-29",41
"2018-03-30",21
"2018-03-31",28
"2018-04-01",77
"2018-04-02",46
"2018-04-03",33
"2018-04-04",40
"2018-04-05",39
"2018-04-06",100
"2018-04-07",41
"2018-04-08",56
"2018-04-09",27
"2018-04-10",30
"2018-04-11",21
"2018-04-12",55
"2018-04-13",37
"2018-04-14",37
"2018-04-15",38
"2018-04-16",23
"2018-04-17",38
"2018-04-18",21
"2018-04-19",22
