네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","다이와낚시복"
"2017-08-01",3
"2017-08-02",5
"2017-08-03",6
"2017-08-04",6
"2017-08-05",5
"2017-08-06",9
"2017-08-07",5
"2017-08-08",7
"2017-08-09",4
"2017-08-10",7
"2017-08-11",5
"2017-08-12",6
"2017-08-13",9
"2017-08-14",13
"2017-08-15",16
"2017-08-16",10
"2017-08-17",9
"2017-08-18",9
"2017-08-19",9
"2017-08-20",11
"2017-08-21",11
"2017-08-22",14
"2017-08-23",14
"2017-08-24",14
"2017-08-25",7
"2017-08-26",11
"2017-08-27",11
"2017-08-28",14
"2017-08-29",14
"2017-08-30",19
"2017-08-31",14
"2017-09-01",17
"2017-09-02",11
"2017-09-03",18
"2017-09-04",18
"2017-09-05",24
"2017-09-06",22
"2017-09-07",18
"2017-09-08",19
"2017-09-09",13
"2017-09-10",18
"2017-09-11",23
"2017-09-12",23
"2017-09-13",29
"2017-09-14",21
"2017-09-15",19
"2017-09-16",22
"2017-09-17",24
"2017-09-18",21
"2017-09-19",21
"2017-09-20",23
"2017-09-21",19
"2017-09-22",24
"2017-09-23",23
"2017-09-24",23
"2017-09-25",37
"2017-09-26",26
"2017-09-27",42
"2017-09-28",39
"2017-09-29",36
"2017-09-30",36
"2017-10-01",59
"2017-10-02",48
"2017-10-03",42
"2017-10-04",44
"2017-10-05",41
"2017-10-06",61
"2017-10-07",60
"2017-10-08",56
"2017-10-09",60
"2017-10-10",61
"2017-10-11",68
"2017-10-12",75
"2017-10-13",62
"2017-10-14",53
"2017-10-15",66
"2017-10-16",66
"2017-10-17",72
"2017-10-18",68
"2017-10-19",54
"2017-10-20",36
"2017-10-21",40
"2017-10-22",58
"2017-10-23",69
"2017-10-24",63
"2017-10-25",50
"2017-10-26",43
"2017-10-27",67
"2017-10-28",42
"2017-10-29",78
"2017-10-30",71
"2017-10-31",65
"2017-11-01",61
"2017-11-02",55
"2017-11-03",96
"2017-11-04",72
"2017-11-05",90
"2017-11-06",78
"2017-11-07",65
"2017-11-08",74
"2017-11-09",82
"2017-11-10",89
"2017-11-11",74
"2017-11-12",92
"2017-11-13",84
"2017-11-14",77
"2017-11-15",71
"2017-11-16",53
"2017-11-17",72
"2017-11-18",88
"2017-11-19",100
"2017-11-20",82
"2017-11-21",61
"2017-11-22",68
"2017-11-23",62
"2017-11-24",69
"2017-11-25",55
"2017-11-26",63
"2017-11-27",71
"2017-11-28",61
"2017-11-29",60
"2017-11-30",72
"2017-12-01",48
"2017-12-02",39
"2017-12-03",56
"2017-12-04",70
"2017-12-05",69
"2017-12-06",56
"2017-12-07",52
"2017-12-08",61
"2017-12-09",43
"2017-12-10",90
"2017-12-11",90
"2017-12-12",78
"2017-12-13",57
"2017-12-14",56
"2017-12-15",51
"2017-12-16",59
"2017-12-17",74
"2017-12-18",77
"2017-12-19",65
"2017-12-20",58
"2017-12-21",60
"2017-12-22",67
"2017-12-23",50
"2017-12-24",67
"2017-12-25",91
"2017-12-26",79
"2017-12-27",62
"2017-12-28",64
"2017-12-29",63
"2017-12-30",64
"2017-12-31",69
"2018-01-01",77
"2018-01-02",68
"2018-01-03",76
"2018-01-04",75
"2018-01-05",65
"2018-01-06",54
"2018-01-07",69
"2018-01-08",70
"2018-01-09",62
"2018-01-10",69
"2018-01-11",63
"2018-01-12",57
"2018-01-13",49
"2018-01-14",61
"2018-01-15",58
"2018-01-16",63
"2018-01-17",90
"2018-01-18",53
"2018-01-19",59
"2018-01-20",55
"2018-01-21",56
"2018-01-22",74
"2018-01-23",86
"2018-01-24",63
"2018-01-25",75
"2018-01-26",66
"2018-01-27",53
"2018-01-28",64
"2018-01-29",68
"2018-01-30",65
"2018-01-31",49
"2018-02-01",59
"2018-02-02",61
"2018-02-03",68
"2018-02-04",72
"2018-02-05",66
"2018-02-06",65
"2018-02-07",53
"2018-02-08",51
"2018-02-09",37
"2018-02-10",49
"2018-02-11",54
"2018-02-12",44
"2018-02-13",41
"2018-02-14",45
"2018-02-15",37
"2018-02-16",34
"2018-02-17",47
"2018-02-18",60
"2018-02-19",54
"2018-02-20",46
"2018-02-21",45
"2018-02-22",51
"2018-02-23",46
"2018-02-24",37
"2018-02-25",53
"2018-02-26",40
"2018-02-27",50
"2018-02-28",43
"2018-03-01",55
"2018-03-02",43
"2018-03-03",46
"2018-03-04",57
"2018-03-05",66
"2018-03-06",41
"2018-03-07",45
"2018-03-08",51
"2018-03-09",33
"2018-03-10",44
"2018-03-11",64
"2018-03-12",47
"2018-03-13",59
"2018-03-14",44
"2018-03-15",70
"2018-03-16",45
"2018-03-17",46
"2018-03-18",51
"2018-03-19",63
"2018-03-20",44
"2018-03-21",49
"2018-03-22",40
"2018-03-23",36
"2018-03-24",40
"2018-03-25",46
"2018-03-26",54
"2018-03-27",35
"2018-03-28",51
"2018-03-29",38
"2018-03-30",40
"2018-03-31",33
"2018-04-01",40
"2018-04-02",41
"2018-04-03",33
"2018-04-04",47
"2018-04-05",55
"2018-04-06",46
"2018-04-07",31
"2018-04-08",49
"2018-04-09",42
"2018-04-10",48
"2018-04-11",38
"2018-04-12",43
"2018-04-13",38
"2018-04-14",45
"2018-04-15",40
"2018-04-16",52
"2018-04-17",46
"2018-04-18",37
"2018-04-19",36
