네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","비키니"
"2017-08-01",100
"2017-08-02",97
"2017-08-03",93
"2017-08-04",78
"2017-08-05",79
"2017-08-06",100
"2017-08-07",98
"2017-08-08",89
"2017-08-09",82
"2017-08-10",70
"2017-08-11",59
"2017-08-12",64
"2017-08-13",69
"2017-08-14",66
"2017-08-15",77
"2017-08-16",67
"2017-08-17",56
"2017-08-18",50
"2017-08-19",40
"2017-08-20",52
"2017-08-21",61
"2017-08-22",54
"2017-08-23",44
"2017-08-24",45
"2017-08-25",34
"2017-08-26",32
"2017-08-27",47
"2017-08-28",41
"2017-08-29",40
"2017-08-30",36
"2017-08-31",31
"2017-09-01",28
"2017-09-02",29
"2017-09-03",36
"2017-09-04",36
"2017-09-05",33
"2017-09-06",37
"2017-09-07",33
"2017-09-08",27
"2017-09-09",24
"2017-09-10",38
"2017-09-11",35
"2017-09-12",33
"2017-09-13",30
"2017-09-14",29
"2017-09-15",22
"2017-09-16",22
"2017-09-17",38
"2017-09-18",33
"2017-09-19",27
"2017-09-20",28
"2017-09-21",25
"2017-09-22",22
"2017-09-23",22
"2017-09-24",29
"2017-09-25",22
"2017-09-26",20
"2017-09-27",22
"2017-09-28",16
"2017-09-29",10
"2017-09-30",12
"2017-10-01",15
"2017-10-02",14
"2017-10-03",12
"2017-10-04",14
"2017-10-05",19
"2017-10-06",17
"2017-10-07",21
"2017-10-08",22
"2017-10-09",25
"2017-10-10",21
"2017-10-11",23
"2017-10-12",21
"2017-10-13",16
"2017-10-14",18
"2017-10-15",19
"2017-10-16",23
"2017-10-17",23
"2017-10-18",19
"2017-10-19",18
"2017-10-20",20
"2017-10-21",18
"2017-10-22",24
"2017-10-23",24
"2017-10-24",23
"2017-10-25",19
"2017-10-26",20
"2017-10-27",15
"2017-10-28",15
"2017-10-29",20
"2017-10-30",19
"2017-10-31",21
"2017-11-01",20
"2017-11-02",22
"2017-11-03",19
"2017-11-04",19
"2017-11-05",24
"2017-11-06",25
"2017-11-07",22
"2017-11-08",28
"2017-11-09",26
"2017-11-10",18
"2017-11-11",22
"2017-11-12",26
"2017-11-13",24
"2017-11-14",24
"2017-11-15",25
"2017-11-16",23
"2017-11-17",22
"2017-11-18",20
"2017-11-19",26
"2017-11-20",25
"2017-11-21",23
"2017-11-22",23
"2017-11-23",22
"2017-11-24",18
"2017-11-25",19
"2017-11-26",23
"2017-11-27",22
"2017-11-28",22
"2017-11-29",24
"2017-11-30",22
"2017-12-01",21
"2017-12-02",23
"2017-12-03",31
"2017-12-04",29
"2017-12-05",29
"2017-12-06",27
"2017-12-07",27
"2017-12-08",24
"2017-12-09",26
"2017-12-10",35
"2017-12-11",33
"2017-12-12",28
"2017-12-13",26
"2017-12-14",27
"2017-12-15",24
"2017-12-16",21
"2017-12-17",27
"2017-12-18",28
"2017-12-19",25
"2017-12-20",27
"2017-12-21",20
"2017-12-22",19
"2017-12-23",20
"2017-12-24",21
"2017-12-25",20
"2017-12-26",24
"2017-12-27",26
"2017-12-28",24
"2017-12-29",23
"2017-12-30",29
"2017-12-31",26
"2018-01-01",29
"2018-01-02",27
"2018-01-03",35
"2018-01-04",32
"2018-01-05",32
"2018-01-06",40
"2018-01-07",41
"2018-01-08",40
"2018-01-09",39
"2018-01-10",40
"2018-01-11",36
"2018-01-12",37
"2018-01-13",38
"2018-01-14",42
"2018-01-15",48
"2018-01-16",47
"2018-01-17",41
"2018-01-18",41
"2018-01-19",35
"2018-01-20",35
"2018-01-21",50
"2018-01-22",47
"2018-01-23",44
"2018-01-24",37
"2018-01-25",42
"2018-01-26",31
"2018-01-27",35
"2018-01-28",41
"2018-01-29",43
"2018-01-30",42
"2018-01-31",32
"2018-02-01",41
"2018-02-02",33
"2018-02-03",36
"2018-02-04",42
"2018-02-05",41
"2018-02-06",43
"2018-02-07",38
"2018-02-08",37
"2018-02-09",29
"2018-02-10",31
"2018-02-11",38
"2018-02-12",31
"2018-02-13",26
"2018-02-14",25
"2018-02-15",27
"2018-02-16",28
"2018-02-17",31
"2018-02-18",35
"2018-02-19",38
"2018-02-20",38
"2018-02-21",32
"2018-02-22",30
"2018-02-23",29
"2018-02-24",27
"2018-02-25",41
"2018-02-26",34
"2018-02-27",35
"2018-02-28",30
"2018-03-01",33
"2018-03-02",31
"2018-03-03",31
"2018-03-04",45
"2018-03-05",42
"2018-03-06",42
"2018-03-07",37
"2018-03-08",35
"2018-03-09",28
"2018-03-10",32
"2018-03-11",42
"2018-03-12",31
"2018-03-13",33
"2018-03-14",30
"2018-03-15",32
"2018-03-16",24
"2018-03-17",22
"2018-03-18",36
"2018-03-19",38
"2018-03-20",31
"2018-03-21",33
"2018-03-22",36
"2018-03-23",31
"2018-03-24",31
"2018-03-25",38
"2018-03-26",33
"2018-03-27",35
"2018-03-28",28
"2018-03-29",31
"2018-03-30",31
"2018-03-31",30
"2018-04-01",38
"2018-04-02",39
"2018-04-03",36
"2018-04-04",36
"2018-04-05",38
"2018-04-06",36
"2018-04-07",36
"2018-04-08",41
"2018-04-09",40
"2018-04-10",40
"2018-04-11",44
"2018-04-12",41
"2018-04-13",37
"2018-04-14",44
"2018-04-15",51
"2018-04-16",46
"2018-04-17",48
"2018-04-18",43
"2018-04-19",46
