네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","반신수영복"
"2017-08-01",46
"2017-08-02",55
"2017-08-03",55
"2017-08-04",34
"2017-08-05",41
"2017-08-06",37
"2017-08-07",52
"2017-08-08",75
"2017-08-09",59
"2017-08-10",53
"2017-08-11",46
"2017-08-12",43
"2017-08-13",57
"2017-08-14",39
"2017-08-15",52
"2017-08-16",49
"2017-08-17",69
"2017-08-18",69
"2017-08-19",49
"2017-08-20",62
"2017-08-21",93
"2017-08-22",67
"2017-08-23",97
"2017-08-24",81
"2017-08-25",85
"2017-08-26",62
"2017-08-27",79
"2017-08-28",100
"2017-08-29",96
"2017-08-30",85
"2017-08-31",68
"2017-09-01",62
"2017-09-02",54
"2017-09-03",46
"2017-09-04",69
"2017-09-05",63
"2017-09-06",66
"2017-09-07",53
"2017-09-08",41
"2017-09-09",43
"2017-09-10",39
"2017-09-11",45
"2017-09-12",49
"2017-09-13",37
"2017-09-14",46
"2017-09-15",29
"2017-09-16",29
"2017-09-17",35
"2017-09-18",52
"2017-09-19",46
"2017-09-20",48
"2017-09-21",30
"2017-09-22",36
"2017-09-23",32
"2017-09-24",40
"2017-09-25",47
"2017-09-26",42
"2017-09-27",54
"2017-09-28",44
"2017-09-29",31
"2017-09-30",34
"2017-10-01",37
"2017-10-02",15
"2017-10-03",13
"2017-10-04",12
"2017-10-05",15
"2017-10-06",17
"2017-10-07",17
"2017-10-08",25
"2017-10-09",18
"2017-10-10",47
"2017-10-11",28
"2017-10-12",46
"2017-10-13",44
"2017-10-14",17
"2017-10-15",27
"2017-10-16",36
"2017-10-17",40
"2017-10-18",46
"2017-10-19",39
"2017-10-20",33
"2017-10-21",30
"2017-10-22",26
"2017-10-23",46
"2017-10-24",45
"2017-10-25",64
"2017-10-26",60
"2017-10-27",47
"2017-10-28",31
"2017-10-29",41
"2017-10-30",52
"2017-10-31",38
"2017-11-01",39
"2017-11-02",41
"2017-11-03",32
"2017-11-04",27
"2017-11-05",32
"2017-11-06",46
"2017-11-07",35
"2017-11-08",47
"2017-11-09",37
"2017-11-10",40
"2017-11-11",29
"2017-11-12",31
"2017-11-13",29
"2017-11-14",34
"2017-11-15",34
"2017-11-16",34
"2017-11-17",26
"2017-11-18",21
"2017-11-19",25
"2017-11-20",43
"2017-11-21",34
"2017-11-22",44
"2017-11-23",42
"2017-11-24",39
"2017-11-25",27
"2017-11-26",34
"2017-11-27",46
"2017-11-28",48
"2017-11-29",39
"2017-11-30",44
"2017-12-01",38
"2017-12-02",25
"2017-12-03",36
"2017-12-04",41
"2017-12-05",47
"2017-12-06",32
"2017-12-07",42
"2017-12-08",31
"2017-12-09",25
"2017-12-10",36
"2017-12-11",30
"2017-12-12",33
"2017-12-13",40
"2017-12-14",37
"2017-12-15",26
"2017-12-16",23
"2017-12-17",25
"2017-12-18",34
"2017-12-19",37
"2017-12-20",32
"2017-12-21",28
"2017-12-22",37
"2017-12-23",41
"2017-12-24",28
"2017-12-25",29
"2017-12-26",49
"2017-12-27",45
"2017-12-28",45
"2017-12-29",33
"2017-12-30",26
"2017-12-31",24
"2018-01-01",34
"2018-01-02",47
"2018-01-03",45
"2018-01-04",42
"2018-01-05",39
"2018-01-06",34
"2018-01-07",42
"2018-01-08",38
"2018-01-09",40
"2018-01-10",35
"2018-01-11",30
"2018-01-12",30
"2018-01-13",33
"2018-01-14",32
"2018-01-15",35
"2018-01-16",51
"2018-01-17",54
"2018-01-18",45
"2018-01-19",56
"2018-01-20",42
"2018-01-21",46
"2018-01-22",54
"2018-01-23",44
"2018-01-24",60
"2018-01-25",46
"2018-01-26",61
"2018-01-27",51
"2018-01-28",55
"2018-01-29",75
"2018-01-30",55
"2018-01-31",55
"2018-02-01",43
"2018-02-02",46
"2018-02-03",23
"2018-02-04",25
"2018-02-05",24
"2018-02-06",21
"2018-02-07",18
"2018-02-08",26
"2018-02-09",21
"2018-02-10",11
"2018-02-11",15
"2018-02-12",14
"2018-02-13",15
"2018-02-14",8
"2018-02-15",9
"2018-02-16",12
"2018-02-17",17
"2018-02-18",16
"2018-02-19",25
"2018-02-20",35
"2018-02-21",29
"2018-02-22",29
"2018-02-23",27
"2018-02-24",29
"2018-02-25",33
"2018-02-26",49
"2018-02-27",36
"2018-02-28",38
"2018-03-01",32
"2018-03-02",30
"2018-03-03",16
"2018-03-04",27
"2018-03-05",18
"2018-03-06",26
"2018-03-07",33
"2018-03-08",25
"2018-03-09",23
"2018-03-10",16
"2018-03-11",24
"2018-03-12",19
"2018-03-13",25
"2018-03-14",12
"2018-03-15",29
"2018-03-16",17
"2018-03-17",19
"2018-03-18",21
"2018-03-19",26
"2018-03-20",25
"2018-03-21",23
"2018-03-22",30
"2018-03-23",24
"2018-03-24",24
"2018-03-25",26
"2018-03-26",39
"2018-03-27",50
"2018-03-28",34
"2018-03-29",36
"2018-03-30",22
"2018-03-31",29
"2018-04-01",22
"2018-04-02",27
"2018-04-03",25
"2018-04-04",19
"2018-04-05",24
"2018-04-06",15
"2018-04-07",11
"2018-04-08",11
"2018-04-09",13
"2018-04-10",10
"2018-04-11",14
"2018-04-12",16
"2018-04-13",8
"2018-04-14",13
"2018-04-15",20
"2018-04-16",20
"2018-04-17",23
"2018-04-18",18
"2018-04-19",16
