네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","텐트"
"2017-08-01",88
"2017-08-02",88
"2017-08-03",72
"2017-08-04",64
"2017-08-05",66
"2017-08-06",76
"2017-08-07",78
"2017-08-08",69
"2017-08-09",66
"2017-08-10",65
"2017-08-11",54
"2017-08-12",56
"2017-08-13",94
"2017-08-14",76
"2017-08-15",82
"2017-08-16",64
"2017-08-17",73
"2017-08-18",51
"2017-08-19",53
"2017-08-20",76
"2017-08-21",68
"2017-08-22",66
"2017-08-23",53
"2017-08-24",51
"2017-08-25",37
"2017-08-26",56
"2017-08-27",77
"2017-08-28",65
"2017-08-29",62
"2017-08-30",50
"2017-08-31",44
"2017-09-01",46
"2017-09-02",50
"2017-09-03",95
"2017-09-04",72
"2017-09-05",66
"2017-09-06",45
"2017-09-07",38
"2017-09-08",33
"2017-09-09",48
"2017-09-10",85
"2017-09-11",63
"2017-09-12",45
"2017-09-13",42
"2017-09-14",35
"2017-09-15",31
"2017-09-16",44
"2017-09-17",82
"2017-09-18",59
"2017-09-19",56
"2017-09-20",44
"2017-09-21",42
"2017-09-22",37
"2017-09-23",39
"2017-09-24",71
"2017-09-25",68
"2017-09-26",57
"2017-09-27",55
"2017-09-28",37
"2017-09-29",32
"2017-09-30",40
"2017-10-01",53
"2017-10-02",43
"2017-10-03",37
"2017-10-04",42
"2017-10-05",58
"2017-10-06",76
"2017-10-07",75
"2017-10-08",100
"2017-10-09",97
"2017-10-10",70
"2017-10-11",56
"2017-10-12",47
"2017-10-13",36
"2017-10-14",46
"2017-10-15",62
"2017-10-16",50
"2017-10-17",37
"2017-10-18",31
"2017-10-19",32
"2017-10-20",25
"2017-10-21",35
"2017-10-22",56
"2017-10-23",38
"2017-10-24",29
"2017-10-25",26
"2017-10-26",24
"2017-10-27",24
"2017-10-28",30
"2017-10-29",57
"2017-10-30",34
"2017-10-31",31
"2017-11-01",24
"2017-11-02",23
"2017-11-03",21
"2017-11-04",26
"2017-11-05",38
"2017-11-06",30
"2017-11-07",24
"2017-11-08",20
"2017-11-09",17
"2017-11-10",13
"2017-11-11",17
"2017-11-12",34
"2017-11-13",22
"2017-11-14",19
"2017-11-15",18
"2017-11-16",14
"2017-11-17",12
"2017-11-18",19
"2017-11-19",28
"2017-11-20",23
"2017-11-21",14
"2017-11-22",14
"2017-11-23",16
"2017-11-24",16
"2017-11-25",14
"2017-11-26",14
"2017-11-27",18
"2017-11-28",14
"2017-11-29",10
"2017-11-30",9
"2017-12-01",12
"2017-12-02",12
"2017-12-03",21
"2017-12-04",12
"2017-12-05",14
"2017-12-06",13
"2017-12-07",13
"2017-12-08",11
"2017-12-09",12
"2017-12-10",13
"2017-12-11",12
"2017-12-12",10
"2017-12-13",11
"2017-12-14",11
"2017-12-15",9
"2017-12-16",8
"2017-12-17",11
"2017-12-18",11
"2017-12-19",10
"2017-12-20",7
"2017-12-21",8
"2017-12-22",7
"2017-12-23",7
"2017-12-24",9
"2017-12-25",13
"2017-12-26",13
"2017-12-27",11
"2017-12-28",7
"2017-12-29",8
"2017-12-30",11
"2017-12-31",9
"2018-01-01",14
"2018-01-02",18
"2018-01-03",9
"2018-01-04",8
"2018-01-05",8
"2018-01-06",13
"2018-01-07",15
"2018-01-08",13
"2018-01-09",11
"2018-01-10",12
"2018-01-11",11
"2018-01-12",12
"2018-01-13",13
"2018-01-14",16
"2018-01-15",16
"2018-01-16",13
"2018-01-17",8
"2018-01-18",8
"2018-01-19",8
"2018-01-20",14
"2018-01-21",16
"2018-01-22",14
"2018-01-23",12
"2018-01-24",13
"2018-01-25",11
"2018-01-26",12
"2018-01-27",10
"2018-01-28",18
"2018-01-29",14
"2018-01-30",15
"2018-01-31",13
"2018-02-01",11
"2018-02-02",10
"2018-02-03",12
"2018-02-04",21
"2018-02-05",16
"2018-02-06",15
"2018-02-07",14
"2018-02-08",10
"2018-02-09",6
"2018-02-10",11
"2018-02-11",16
"2018-02-12",11
"2018-02-13",13
"2018-02-14",10
"2018-02-15",10
"2018-02-16",10
"2018-02-17",13
"2018-02-18",18
"2018-02-19",13
"2018-02-20",14
"2018-02-21",17
"2018-02-22",16
"2018-02-23",12
"2018-02-24",16
"2018-02-25",24
"2018-02-26",22
"2018-02-27",26
"2018-02-28",18
"2018-03-01",26
"2018-03-02",26
"2018-03-03",31
"2018-03-04",42
"2018-03-05",35
"2018-03-06",30
"2018-03-07",28
"2018-03-08",24
"2018-03-09",21
"2018-03-10",29
"2018-03-11",57
"2018-03-12",40
"2018-03-13",36
"2018-03-14",38
"2018-03-15",37
"2018-03-16",28
"2018-03-17",43
"2018-03-18",63
"2018-03-19",50
"2018-03-20",44
"2018-03-21",41
"2018-03-22",42
"2018-03-23",33
"2018-03-24",42
"2018-03-25",73
"2018-03-26",55
"2018-03-27",47
"2018-03-28",41
"2018-03-29",41
"2018-03-30",34
"2018-03-31",47
"2018-04-01",80
"2018-04-02",67
"2018-04-03",56
"2018-04-04",50
"2018-04-05",45
"2018-04-06",41
"2018-04-07",47
"2018-04-08",68
"2018-04-09",56
"2018-04-10",53
"2018-04-11",53
"2018-04-12",46
"2018-04-13",48
"2018-04-14",55
"2018-04-15",69
"2018-04-16",64
"2018-04-17",53
"2018-04-18",48
"2018-04-19",49
