네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","노스페이스화이트라벨"
"2017-08-01",8
"2017-08-02",6
"2017-08-03",8
"2017-08-04",7
"2017-08-05",7
"2017-08-06",9
"2017-08-07",8
"2017-08-08",5
"2017-08-09",8
"2017-08-10",6
"2017-08-11",4
"2017-08-12",6
"2017-08-13",8
"2017-08-14",4
"2017-08-15",7
"2017-08-16",6
"2017-08-17",3
"2017-08-18",4
"2017-08-19",7
"2017-08-20",6
"2017-08-21",7
"2017-08-22",6
"2017-08-23",7
"2017-08-24",8
"2017-08-25",6
"2017-08-26",5
"2017-08-27",7
"2017-08-28",5
"2017-08-29",8
"2017-08-30",7
"2017-08-31",9
"2017-09-01",9
"2017-09-02",9
"2017-09-03",20
"2017-09-04",12
"2017-09-05",14
"2017-09-06",13
"2017-09-07",12
"2017-09-08",13
"2017-09-09",13
"2017-09-10",17
"2017-09-11",20
"2017-09-12",18
"2017-09-13",15
"2017-09-14",13
"2017-09-15",15
"2017-09-16",15
"2017-09-17",22
"2017-09-18",18
"2017-09-19",19
"2017-09-20",19
"2017-09-21",24
"2017-09-22",15
"2017-09-23",21
"2017-09-24",24
"2017-09-25",28
"2017-09-26",21
"2017-09-27",25
"2017-09-28",22
"2017-09-29",25
"2017-09-30",32
"2017-10-01",36
"2017-10-02",29
"2017-10-03",25
"2017-10-04",27
"2017-10-05",41
"2017-10-06",46
"2017-10-07",37
"2017-10-08",33
"2017-10-09",41
"2017-10-10",33
"2017-10-11",37
"2017-10-12",50
"2017-10-13",45
"2017-10-14",55
"2017-10-15",63
"2017-10-16",55
"2017-10-17",55
"2017-10-18",65
"2017-10-19",46
"2017-10-20",44
"2017-10-21",49
"2017-10-22",62
"2017-10-23",61
"2017-10-24",64
"2017-10-25",52
"2017-10-26",45
"2017-10-27",44
"2017-10-28",51
"2017-10-29",72
"2017-10-30",83
"2017-10-31",76
"2017-11-01",64
"2017-11-02",59
"2017-11-03",53
"2017-11-04",76
"2017-11-05",98
"2017-11-06",71
"2017-11-07",55
"2017-11-08",63
"2017-11-09",100
"2017-11-10",57
"2017-11-11",68
"2017-11-12",92
"2017-11-13",81
"2017-11-14",73
"2017-11-15",70
"2017-11-16",63
"2017-11-17",60
"2017-11-18",69
"2017-11-19",85
"2017-11-20",71
"2017-11-21",54
"2017-11-22",51
"2017-11-23",56
"2017-11-24",46
"2017-11-25",50
"2017-11-26",57
"2017-11-27",46
"2017-11-28",50
"2017-11-29",53
"2017-11-30",59
"2017-12-01",48
"2017-12-02",54
"2017-12-03",80
"2017-12-04",63
"2017-12-05",64
"2017-12-06",48
"2017-12-07",50
"2017-12-08",42
"2017-12-09",47
"2017-12-10",61
"2017-12-11",50
"2017-12-12",41
"2017-12-13",39
"2017-12-14",42
"2017-12-15",30
"2017-12-16",38
"2017-12-17",43
"2017-12-18",37
"2017-12-19",29
"2017-12-20",26
"2017-12-21",22
"2017-12-22",13
"2017-12-23",17
"2017-12-24",20
"2017-12-25",18
"2017-12-26",19
"2017-12-27",18
"2017-12-28",15
"2017-12-29",16
"2017-12-30",19
"2017-12-31",19
"2018-01-01",19
"2018-01-02",12
"2018-01-03",13
"2018-01-04",14
"2018-01-05",12
"2018-01-06",16
"2018-01-07",17
"2018-01-08",13
"2018-01-09",14
"2018-01-10",21
"2018-01-11",18
"2018-01-12",13
"2018-01-13",19
"2018-01-14",18
"2018-01-15",16
"2018-01-16",11
"2018-01-17",11
"2018-01-18",12
"2018-01-19",9
"2018-01-20",16
"2018-01-21",18
"2018-01-22",14
"2018-01-23",14
"2018-01-24",16
"2018-01-25",19
"2018-01-26",23
"2018-01-27",17
"2018-01-28",27
"2018-01-29",18
"2018-01-30",17
"2018-01-31",14
"2018-02-01",14
"2018-02-02",15
"2018-02-03",16
"2018-02-04",22
"2018-02-05",17
"2018-02-06",14
"2018-02-07",13
"2018-02-08",15
"2018-02-09",14
"2018-02-10",16
"2018-02-11",22
"2018-02-12",19
"2018-02-13",13
"2018-02-14",12
"2018-02-15",13
"2018-02-16",14
"2018-02-17",21
"2018-02-18",21
"2018-02-19",22
"2018-02-20",18
"2018-02-21",17
"2018-02-22",16
"2018-02-23",17
"2018-02-24",20
"2018-02-25",33
"2018-02-26",20
"2018-02-27",22
"2018-02-28",16
"2018-03-01",32
"2018-03-02",17
"2018-03-03",23
"2018-03-04",27
"2018-03-05",25
"2018-03-06",19
"2018-03-07",21
"2018-03-08",19
"2018-03-09",23
"2018-03-10",24
"2018-03-11",35
"2018-03-12",26
"2018-03-13",18
"2018-03-14",19
"2018-03-15",20
"2018-03-16",19
"2018-03-17",23
"2018-03-18",32
"2018-03-19",24
"2018-03-20",21
"2018-03-21",21
"2018-03-22",21
"2018-03-23",19
"2018-03-24",22
"2018-03-25",29
"2018-03-26",19
"2018-03-27",19
"2018-03-28",16
"2018-03-29",17
"2018-03-30",18
"2018-03-31",17
"2018-04-01",21
"2018-04-02",14
"2018-04-03",14
"2018-04-04",12
"2018-04-05",17
"2018-04-06",14
"2018-04-07",17
"2018-04-08",25
"2018-04-09",16
"2018-04-10",19
"2018-04-11",12
"2018-04-12",10
"2018-04-13",12
"2018-04-14",19
"2018-04-15",18
"2018-04-16",14
"2018-04-17",16
"2018-04-18",11
"2018-04-19",11
