네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성구스다운"
"2017-08-01",3
"2017-08-02",3
"2017-08-03",4
"2017-08-04",3
"2017-08-05",4
"2017-08-06",5
"2017-08-07",5
"2017-08-08",3
"2017-08-09",6
"2017-08-10",4
"2017-08-11",5
"2017-08-12",5
"2017-08-13",8
"2017-08-14",6
"2017-08-15",8
"2017-08-16",7
"2017-08-17",6
"2017-08-18",6
"2017-08-19",7
"2017-08-20",8
"2017-08-21",6
"2017-08-22",7
"2017-08-23",5
"2017-08-24",7
"2017-08-25",6
"2017-08-26",5
"2017-08-27",6
"2017-08-28",6
"2017-08-29",5
"2017-08-30",5
"2017-08-31",5
"2017-09-01",4
"2017-09-02",4
"2017-09-03",4
"2017-09-04",4
"2017-09-05",5
"2017-09-06",5
"2017-09-07",6
"2017-09-08",4
"2017-09-09",4
"2017-09-10",5
"2017-09-11",6
"2017-09-12",4
"2017-09-13",4
"2017-09-14",3
"2017-09-15",4
"2017-09-16",3
"2017-09-17",4
"2017-09-18",3
"2017-09-19",3
"2017-09-20",3
"2017-09-21",3
"2017-09-22",3
"2017-09-23",3
"2017-09-24",4
"2017-09-25",3
"2017-09-26",3
"2017-09-27",4
"2017-09-28",3
"2017-09-29",3
"2017-09-30",3
"2017-10-01",4
"2017-10-02",4
"2017-10-03",4
"2017-10-04",5
"2017-10-05",5
"2017-10-06",6
"2017-10-07",5
"2017-10-08",6
"2017-10-09",7
"2017-10-10",4
"2017-10-11",6
"2017-10-12",6
"2017-10-13",9
"2017-10-14",9
"2017-10-15",14
"2017-10-16",13
"2017-10-17",12
"2017-10-18",10
"2017-10-19",8
"2017-10-20",10
"2017-10-21",11
"2017-10-22",15
"2017-10-23",15
"2017-10-24",10
"2017-10-25",14
"2017-10-26",9
"2017-10-27",10
"2017-10-28",11
"2017-10-29",18
"2017-10-30",26
"2017-10-31",24
"2017-11-01",20
"2017-11-02",22
"2017-11-03",20
"2017-11-04",27
"2017-11-05",37
"2017-11-06",29
"2017-11-07",25
"2017-11-08",22
"2017-11-09",25
"2017-11-10",23
"2017-11-11",31
"2017-11-12",47
"2017-11-13",47
"2017-11-14",41
"2017-11-15",48
"2017-11-16",62
"2017-11-17",54
"2017-11-18",77
"2017-11-19",100
"2017-11-20",91
"2017-11-21",72
"2017-11-22",67
"2017-11-23",65
"2017-11-24",65
"2017-11-25",70
"2017-11-26",57
"2017-11-27",57
"2017-11-28",51
"2017-11-29",49
"2017-11-30",49
"2017-12-01",57
"2017-12-02",49
"2017-12-03",47
"2017-12-04",51
"2017-12-05",57
"2017-12-06",50
"2017-12-07",48
"2017-12-08",44
"2017-12-09",41
"2017-12-10",51
"2017-12-11",61
"2017-12-12",71
"2017-12-13",68
"2017-12-14",61
"2017-12-15",51
"2017-12-16",58
"2017-12-17",66
"2017-12-18",61
"2017-12-19",44
"2017-12-20",50
"2017-12-21",35
"2017-12-22",32
"2017-12-23",35
"2017-12-24",35
"2017-12-25",41
"2017-12-26",33
"2017-12-27",33
"2017-12-28",28
"2017-12-29",25
"2017-12-30",21
"2017-12-31",20
"2018-01-01",23
"2018-01-02",24
"2018-01-03",24
"2018-01-04",24
"2018-01-05",20
"2018-01-06",28
"2018-01-07",30
"2018-01-08",26
"2018-01-09",36
"2018-01-10",36
"2018-01-11",43
"2018-01-12",39
"2018-01-13",39
"2018-01-14",36
"2018-01-15",28
"2018-01-16",24
"2018-01-17",22
"2018-01-18",20
"2018-01-19",20
"2018-01-20",19
"2018-01-21",25
"2018-01-22",23
"2018-01-23",32
"2018-01-24",40
"2018-01-25",38
"2018-01-26",39
"2018-01-27",45
"2018-01-28",39
"2018-01-29",36
"2018-01-30",38
"2018-01-31",26
"2018-02-01",26
"2018-02-02",22
"2018-02-03",32
"2018-02-04",38
"2018-02-05",46
"2018-02-06",38
"2018-02-07",31
"2018-02-08",27
"2018-02-09",20
"2018-02-10",20
"2018-02-11",29
"2018-02-12",20
"2018-02-13",17
"2018-02-14",15
"2018-02-15",14
"2018-02-16",13
"2018-02-17",18
"2018-02-18",19
"2018-02-19",12
"2018-02-20",11
"2018-02-21",7
"2018-02-22",11
"2018-02-23",8
"2018-02-24",11
"2018-02-25",10
"2018-02-26",7
"2018-02-27",5
"2018-02-28",3
"2018-03-01",7
"2018-03-02",6
"2018-03-03",5
"2018-03-04",7
"2018-03-05",4
"2018-03-06",2
"2018-03-07",3
"2018-03-08",4
"2018-03-09",3
"2018-03-10",3
"2018-03-11",3
"2018-03-12",2
"2018-03-13",3
"2018-03-14",2
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",2
"2018-03-19",2
"2018-03-20",2
"2018-03-21",1
"2018-03-22",1
"2018-03-23",2
"2018-03-24",1
"2018-03-25",1
"2018-03-26",1
"2018-03-27",
"2018-03-28",1
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",1
"2018-04-06",
"2018-04-07",
"2018-04-08",1
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",1
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
