네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","고어텍스자켓"
"2017-08-01",6
"2017-08-02",6
"2017-08-03",5
"2017-08-04",3
"2017-08-05",3
"2017-08-06",5
"2017-08-07",5
"2017-08-08",2
"2017-08-09",6
"2017-08-10",7
"2017-08-11",5
"2017-08-12",7
"2017-08-13",8
"2017-08-14",10
"2017-08-15",14
"2017-08-16",13
"2017-08-17",13
"2017-08-18",12
"2017-08-19",8
"2017-08-20",19
"2017-08-21",20
"2017-08-22",15
"2017-08-23",20
"2017-08-24",13
"2017-08-25",9
"2017-08-26",13
"2017-08-27",27
"2017-08-28",22
"2017-08-29",28
"2017-08-30",22
"2017-08-31",22
"2017-09-01",15
"2017-09-02",17
"2017-09-03",22
"2017-09-04",23
"2017-09-05",25
"2017-09-06",23
"2017-09-07",24
"2017-09-08",19
"2017-09-09",17
"2017-09-10",24
"2017-09-11",38
"2017-09-12",25
"2017-09-13",25
"2017-09-14",18
"2017-09-15",20
"2017-09-16",24
"2017-09-17",33
"2017-09-18",30
"2017-09-19",27
"2017-09-20",31
"2017-09-21",32
"2017-09-22",39
"2017-09-23",32
"2017-09-24",46
"2017-09-25",30
"2017-09-26",30
"2017-09-27",38
"2017-09-28",31
"2017-09-29",36
"2017-09-30",29
"2017-10-01",49
"2017-10-02",42
"2017-10-03",34
"2017-10-04",35
"2017-10-05",38
"2017-10-06",62
"2017-10-07",53
"2017-10-08",57
"2017-10-09",60
"2017-10-10",34
"2017-10-11",49
"2017-10-12",73
"2017-10-13",62
"2017-10-14",60
"2017-10-15",100
"2017-10-16",72
"2017-10-17",69
"2017-10-18",63
"2017-10-19",56
"2017-10-20",43
"2017-10-21",52
"2017-10-22",69
"2017-10-23",85
"2017-10-24",71
"2017-10-25",64
"2017-10-26",53
"2017-10-27",59
"2017-10-28",66
"2017-10-29",72
"2017-10-30",74
"2017-10-31",76
"2017-11-01",69
"2017-11-02",63
"2017-11-03",61
"2017-11-04",65
"2017-11-05",82
"2017-11-06",74
"2017-11-07",77
"2017-11-08",71
"2017-11-09",57
"2017-11-10",61
"2017-11-11",64
"2017-11-12",71
"2017-11-13",52
"2017-11-14",69
"2017-11-15",54
"2017-11-16",48
"2017-11-17",47
"2017-11-18",50
"2017-11-19",69
"2017-11-20",60
"2017-11-21",58
"2017-11-22",54
"2017-11-23",50
"2017-11-24",46
"2017-11-25",59
"2017-11-26",59
"2017-11-27",43
"2017-11-28",43
"2017-11-29",44
"2017-11-30",38
"2017-12-01",34
"2017-12-02",36
"2017-12-03",47
"2017-12-04",43
"2017-12-05",47
"2017-12-06",39
"2017-12-07",29
"2017-12-08",34
"2017-12-09",34
"2017-12-10",50
"2017-12-11",52
"2017-12-12",47
"2017-12-13",48
"2017-12-14",41
"2017-12-15",29
"2017-12-16",31
"2017-12-17",56
"2017-12-18",41
"2017-12-19",39
"2017-12-20",39
"2017-12-21",44
"2017-12-22",26
"2017-12-23",26
"2017-12-24",50
"2017-12-25",43
"2017-12-26",45
"2017-12-27",43
"2017-12-28",42
"2017-12-29",38
"2017-12-30",42
"2017-12-31",40
"2018-01-01",47
"2018-01-02",44
"2018-01-03",50
"2018-01-04",36
"2018-01-05",46
"2018-01-06",45
"2018-01-07",46
"2018-01-08",52
"2018-01-09",54
"2018-01-10",48
"2018-01-11",47
"2018-01-12",32
"2018-01-13",39
"2018-01-14",57
"2018-01-15",50
"2018-01-16",49
"2018-01-17",58
"2018-01-18",48
"2018-01-19",40
"2018-01-20",40
"2018-01-21",70
"2018-01-22",49
"2018-01-23",56
"2018-01-24",48
"2018-01-25",48
"2018-01-26",39
"2018-01-27",45
"2018-01-28",64
"2018-01-29",50
"2018-01-30",48
"2018-01-31",38
"2018-02-01",45
"2018-02-02",40
"2018-02-03",47
"2018-02-04",47
"2018-02-05",45
"2018-02-06",45
"2018-02-07",41
"2018-02-08",35
"2018-02-09",38
"2018-02-10",39
"2018-02-11",64
"2018-02-12",47
"2018-02-13",37
"2018-02-14",42
"2018-02-15",58
"2018-02-16",47
"2018-02-17",53
"2018-02-18",72
"2018-02-19",56
"2018-02-20",47
"2018-02-21",47
"2018-02-22",53
"2018-02-23",45
"2018-02-24",49
"2018-02-25",57
"2018-02-26",61
"2018-02-27",51
"2018-02-28",59
"2018-03-01",65
"2018-03-02",57
"2018-03-03",62
"2018-03-04",86
"2018-03-05",92
"2018-03-06",64
"2018-03-07",55
"2018-03-08",64
"2018-03-09",49
"2018-03-10",57
"2018-03-11",67
"2018-03-12",49
"2018-03-13",43
"2018-03-14",36
"2018-03-15",52
"2018-03-16",41
"2018-03-17",48
"2018-03-18",68
"2018-03-19",58
"2018-03-20",59
"2018-03-21",64
"2018-03-22",48
"2018-03-23",45
"2018-03-24",55
"2018-03-25",57
"2018-03-26",44
"2018-03-27",43
"2018-03-28",38
"2018-03-29",35
"2018-03-30",27
"2018-03-31",29
"2018-04-01",37
"2018-04-02",22
"2018-04-03",19
"2018-04-04",17
"2018-04-05",33
"2018-04-06",23
"2018-04-07",29
"2018-04-08",36
"2018-04-09",27
"2018-04-10",28
"2018-04-11",29
"2018-04-12",18
"2018-04-13",16
"2018-04-14",37
"2018-04-15",33
"2018-04-16",17
"2018-04-17",22
"2018-04-18",20
"2018-04-19",17
