네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","침낭"
"2017-08-01",17
"2017-08-02",18
"2017-08-03",16
"2017-08-04",13
"2017-08-05",15
"2017-08-06",21
"2017-08-07",20
"2017-08-08",23
"2017-08-09",17
"2017-08-10",18
"2017-08-11",14
"2017-08-12",16
"2017-08-13",26
"2017-08-14",31
"2017-08-15",41
"2017-08-16",32
"2017-08-17",24
"2017-08-18",21
"2017-08-19",25
"2017-08-20",33
"2017-08-21",34
"2017-08-22",31
"2017-08-23",30
"2017-08-24",28
"2017-08-25",24
"2017-08-26",27
"2017-08-27",46
"2017-08-28",54
"2017-08-29",59
"2017-08-30",66
"2017-08-31",52
"2017-09-01",45
"2017-09-02",43
"2017-09-03",71
"2017-09-04",73
"2017-09-05",74
"2017-09-06",74
"2017-09-07",63
"2017-09-08",37
"2017-09-09",42
"2017-09-10",58
"2017-09-11",67
"2017-09-12",64
"2017-09-13",61
"2017-09-14",58
"2017-09-15",49
"2017-09-16",41
"2017-09-17",61
"2017-09-18",79
"2017-09-19",84
"2017-09-20",64
"2017-09-21",62
"2017-09-22",55
"2017-09-23",42
"2017-09-24",66
"2017-09-25",88
"2017-09-26",79
"2017-09-27",57
"2017-09-28",44
"2017-09-29",37
"2017-09-30",33
"2017-10-01",44
"2017-10-02",37
"2017-10-03",41
"2017-10-04",37
"2017-10-05",55
"2017-10-06",56
"2017-10-07",51
"2017-10-08",59
"2017-10-09",75
"2017-10-10",83
"2017-10-11",77
"2017-10-12",87
"2017-10-13",77
"2017-10-14",76
"2017-10-15",96
"2017-10-16",96
"2017-10-17",100
"2017-10-18",76
"2017-10-19",71
"2017-10-20",48
"2017-10-21",48
"2017-10-22",66
"2017-10-23",82
"2017-10-24",80
"2017-10-25",65
"2017-10-26",57
"2017-10-27",49
"2017-10-28",44
"2017-10-29",74
"2017-10-30",78
"2017-10-31",73
"2017-11-01",51
"2017-11-02",47
"2017-11-03",41
"2017-11-04",39
"2017-11-05",58
"2017-11-06",58
"2017-11-07",54
"2017-11-08",38
"2017-11-09",39
"2017-11-10",32
"2017-11-11",32
"2017-11-12",55
"2017-11-13",50
"2017-11-14",39
"2017-11-15",53
"2017-11-16",57
"2017-11-17",49
"2017-11-18",42
"2017-11-19",69
"2017-11-20",62
"2017-11-21",56
"2017-11-22",47
"2017-11-23",43
"2017-11-24",34
"2017-11-25",33
"2017-11-26",39
"2017-11-27",40
"2017-11-28",29
"2017-11-29",32
"2017-11-30",29
"2017-12-01",31
"2017-12-02",27
"2017-12-03",31
"2017-12-04",40
"2017-12-05",38
"2017-12-06",36
"2017-12-07",31
"2017-12-08",37
"2017-12-09",23
"2017-12-10",35
"2017-12-11",40
"2017-12-12",44
"2017-12-13",43
"2017-12-14",35
"2017-12-15",25
"2017-12-16",24
"2017-12-17",32
"2017-12-18",30
"2017-12-19",31
"2017-12-20",29
"2017-12-21",26
"2017-12-22",18
"2017-12-23",17
"2017-12-24",18
"2017-12-25",24
"2017-12-26",26
"2017-12-27",34
"2017-12-28",25
"2017-12-29",19
"2017-12-30",19
"2017-12-31",18
"2018-01-01",24
"2018-01-02",24
"2018-01-03",28
"2018-01-04",28
"2018-01-05",19
"2018-01-06",18
"2018-01-07",33
"2018-01-08",24
"2018-01-09",26
"2018-01-10",28
"2018-01-11",29
"2018-01-12",21
"2018-01-13",23
"2018-01-14",30
"2018-01-15",29
"2018-01-16",25
"2018-01-17",24
"2018-01-18",20
"2018-01-19",15
"2018-01-20",18
"2018-01-21",26
"2018-01-22",25
"2018-01-23",31
"2018-01-24",30
"2018-01-25",30
"2018-01-26",25
"2018-01-27",28
"2018-01-28",28
"2018-01-29",30
"2018-01-30",24
"2018-01-31",25
"2018-02-01",24
"2018-02-02",20
"2018-02-03",21
"2018-02-04",31
"2018-02-05",26
"2018-02-06",28
"2018-02-07",25
"2018-02-08",18
"2018-02-09",16
"2018-02-10",16
"2018-02-11",22
"2018-02-12",18
"2018-02-13",15
"2018-02-14",9
"2018-02-15",14
"2018-02-16",11
"2018-02-17",14
"2018-02-18",27
"2018-02-19",30
"2018-02-20",24
"2018-02-21",22
"2018-02-22",20
"2018-02-23",16
"2018-02-24",17
"2018-02-25",22
"2018-02-26",24
"2018-02-27",17
"2018-02-28",16
"2018-03-01",17
"2018-03-02",16
"2018-03-03",16
"2018-03-04",20
"2018-03-05",22
"2018-03-06",17
"2018-03-07",18
"2018-03-08",17
"2018-03-09",14
"2018-03-10",15
"2018-03-11",25
"2018-03-12",21
"2018-03-13",19
"2018-03-14",14
"2018-03-15",20
"2018-03-16",18
"2018-03-17",19
"2018-03-18",32
"2018-03-19",29
"2018-03-20",31
"2018-03-21",26
"2018-03-22",23
"2018-03-23",21
"2018-03-24",25
"2018-03-25",29
"2018-03-26",28
"2018-03-27",30
"2018-03-28",29
"2018-03-29",19
"2018-03-30",19
"2018-03-31",19
"2018-04-01",25
"2018-04-02",32
"2018-04-03",28
"2018-04-04",25
"2018-04-05",26
"2018-04-06",24
"2018-04-07",28
"2018-04-08",30
"2018-04-09",38
"2018-04-10",35
"2018-04-11",30
"2018-04-12",28
"2018-04-13",26
"2018-04-14",25
"2018-04-15",29
"2018-04-16",37
"2018-04-17",34
"2018-04-18",36
"2018-04-19",30
