네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","남성골프바지"
"2017-08-01",32
"2017-08-02",28
"2017-08-03",28
"2017-08-04",19
"2017-08-05",31
"2017-08-06",34
"2017-08-07",33
"2017-08-08",33
"2017-08-09",27
"2017-08-10",29
"2017-08-11",27
"2017-08-12",20
"2017-08-13",46
"2017-08-14",29
"2017-08-15",34
"2017-08-16",39
"2017-08-17",28
"2017-08-18",26
"2017-08-19",31
"2017-08-20",51
"2017-08-21",34
"2017-08-22",33
"2017-08-23",36
"2017-08-24",32
"2017-08-25",28
"2017-08-26",26
"2017-08-27",41
"2017-08-28",31
"2017-08-29",41
"2017-08-30",40
"2017-08-31",32
"2017-09-01",29
"2017-09-02",51
"2017-09-03",44
"2017-09-04",47
"2017-09-05",48
"2017-09-06",46
"2017-09-07",32
"2017-09-08",38
"2017-09-09",36
"2017-09-10",52
"2017-09-11",47
"2017-09-12",40
"2017-09-13",37
"2017-09-14",38
"2017-09-15",34
"2017-09-16",45
"2017-09-17",62
"2017-09-18",49
"2017-09-19",55
"2017-09-20",42
"2017-09-21",35
"2017-09-22",37
"2017-09-23",50
"2017-09-24",54
"2017-09-25",47
"2017-09-26",52
"2017-09-27",45
"2017-09-28",45
"2017-09-29",21
"2017-09-30",43
"2017-10-01",46
"2017-10-02",42
"2017-10-03",36
"2017-10-04",28
"2017-10-05",37
"2017-10-06",48
"2017-10-07",62
"2017-10-08",51
"2017-10-09",71
"2017-10-10",48
"2017-10-11",48
"2017-10-12",72
"2017-10-13",55
"2017-10-14",65
"2017-10-15",99
"2017-10-16",74
"2017-10-17",76
"2017-10-18",77
"2017-10-19",59
"2017-10-20",64
"2017-10-21",55
"2017-10-22",89
"2017-10-23",68
"2017-10-24",77
"2017-10-25",66
"2017-10-26",53
"2017-10-27",43
"2017-10-28",57
"2017-10-29",100
"2017-10-30",74
"2017-10-31",66
"2017-11-01",63
"2017-11-02",59
"2017-11-03",51
"2017-11-04",62
"2017-11-05",75
"2017-11-06",62
"2017-11-07",60
"2017-11-08",60
"2017-11-09",35
"2017-11-10",44
"2017-11-11",54
"2017-11-12",63
"2017-11-13",59
"2017-11-14",59
"2017-11-15",56
"2017-11-16",38
"2017-11-17",48
"2017-11-18",46
"2017-11-19",68
"2017-11-20",50
"2017-11-21",41
"2017-11-22",28
"2017-11-23",33
"2017-11-24",20
"2017-11-25",31
"2017-11-26",45
"2017-11-27",40
"2017-11-28",36
"2017-11-29",32
"2017-11-30",22
"2017-12-01",19
"2017-12-02",18
"2017-12-03",31
"2017-12-04",27
"2017-12-05",28
"2017-12-06",18
"2017-12-07",14
"2017-12-08",15
"2017-12-09",16
"2017-12-10",22
"2017-12-11",21
"2017-12-12",19
"2017-12-13",17
"2017-12-14",10
"2017-12-15",11
"2017-12-16",12
"2017-12-17",18
"2017-12-18",11
"2017-12-19",8
"2017-12-20",12
"2017-12-21",11
"2017-12-22",6
"2017-12-23",11
"2017-12-24",10
"2017-12-25",13
"2017-12-26",12
"2017-12-27",9
"2017-12-28",11
"2017-12-29",6
"2017-12-30",14
"2017-12-31",14
"2018-01-01",15
"2018-01-02",10
"2018-01-03",8
"2018-01-04",11
"2018-01-05",8
"2018-01-06",15
"2018-01-07",15
"2018-01-08",16
"2018-01-09",16
"2018-01-10",16
"2018-01-11",17
"2018-01-12",11
"2018-01-13",12
"2018-01-14",23
"2018-01-15",18
"2018-01-16",19
"2018-01-17",24
"2018-01-18",15
"2018-01-19",13
"2018-01-20",18
"2018-01-21",29
"2018-01-22",19
"2018-01-23",15
"2018-01-24",20
"2018-01-25",19
"2018-01-26",10
"2018-01-27",21
"2018-01-28",28
"2018-01-29",18
"2018-01-30",21
"2018-01-31",21
"2018-02-01",12
"2018-02-02",22
"2018-02-03",22
"2018-02-04",29
"2018-02-05",24
"2018-02-06",22
"2018-02-07",20
"2018-02-08",18
"2018-02-09",15
"2018-02-10",15
"2018-02-11",33
"2018-02-12",20
"2018-02-13",15
"2018-02-14",12
"2018-02-15",20
"2018-02-16",18
"2018-02-17",29
"2018-02-18",36
"2018-02-19",48
"2018-02-20",40
"2018-02-21",35
"2018-02-22",41
"2018-02-23",38
"2018-02-24",36
"2018-02-25",59
"2018-02-26",54
"2018-02-27",50
"2018-02-28",43
"2018-03-01",49
"2018-03-02",51
"2018-03-03",57
"2018-03-04",81
"2018-03-05",69
"2018-03-06",35
"2018-03-07",52
"2018-03-08",45
"2018-03-09",32
"2018-03-10",46
"2018-03-11",71
"2018-03-12",62
"2018-03-13",52
"2018-03-14",62
"2018-03-15",63
"2018-03-16",42
"2018-03-17",56
"2018-03-18",79
"2018-03-19",59
"2018-03-20",58
"2018-03-21",48
"2018-03-22",44
"2018-03-23",41
"2018-03-24",48
"2018-03-25",66
"2018-03-26",78
"2018-03-27",78
"2018-03-28",66
"2018-03-29",56
"2018-03-30",47
"2018-03-31",55
"2018-04-01",92
"2018-04-02",78
"2018-04-03",77
"2018-04-04",60
"2018-04-05",63
"2018-04-06",38
"2018-04-07",57
"2018-04-08",81
"2018-04-09",65
"2018-04-10",56
"2018-04-11",60
"2018-04-12",55
"2018-04-13",53
"2018-04-14",70
"2018-04-15",94
"2018-04-16",63
"2018-04-17",61
"2018-04-18",64
"2018-04-19",62
