네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","타이틀리스트캐디백"
"2017-08-01",43
"2017-08-02",44
"2017-08-03",44
"2017-08-04",32
"2017-08-05",49
"2017-08-06",46
"2017-08-07",56
"2017-08-08",44
"2017-08-09",47
"2017-08-10",48
"2017-08-11",35
"2017-08-12",42
"2017-08-13",48
"2017-08-14",40
"2017-08-15",51
"2017-08-16",59
"2017-08-17",45
"2017-08-18",66
"2017-08-19",69
"2017-08-20",63
"2017-08-21",44
"2017-08-22",48
"2017-08-23",49
"2017-08-24",71
"2017-08-25",45
"2017-08-26",51
"2017-08-27",50
"2017-08-28",44
"2017-08-29",49
"2017-08-30",52
"2017-08-31",50
"2017-09-01",53
"2017-09-02",49
"2017-09-03",60
"2017-09-04",51
"2017-09-05",56
"2017-09-06",51
"2017-09-07",49
"2017-09-08",51
"2017-09-09",46
"2017-09-10",52
"2017-09-11",67
"2017-09-12",54
"2017-09-13",47
"2017-09-14",54
"2017-09-15",39
"2017-09-16",66
"2017-09-17",72
"2017-09-18",77
"2017-09-19",58
"2017-09-20",59
"2017-09-21",40
"2017-09-22",45
"2017-09-23",52
"2017-09-24",50
"2017-09-25",59
"2017-09-26",69
"2017-09-27",54
"2017-09-28",49
"2017-09-29",45
"2017-09-30",47
"2017-10-01",54
"2017-10-02",50
"2017-10-03",47
"2017-10-04",48
"2017-10-05",43
"2017-10-06",50
"2017-10-07",56
"2017-10-08",69
"2017-10-09",74
"2017-10-10",83
"2017-10-11",62
"2017-10-12",60
"2017-10-13",58
"2017-10-14",71
"2017-10-15",72
"2017-10-16",81
"2017-10-17",76
"2017-10-18",82
"2017-10-19",59
"2017-10-20",55
"2017-10-21",60
"2017-10-22",74
"2017-10-23",79
"2017-10-24",62
"2017-10-25",68
"2017-10-26",67
"2017-10-27",67
"2017-10-28",65
"2017-10-29",74
"2017-10-30",56
"2017-10-31",67
"2017-11-01",73
"2017-11-02",61
"2017-11-03",77
"2017-11-04",63
"2017-11-05",63
"2017-11-06",85
"2017-11-07",68
"2017-11-08",64
"2017-11-09",70
"2017-11-10",63
"2017-11-11",59
"2017-11-12",90
"2017-11-13",83
"2017-11-14",67
"2017-11-15",68
"2017-11-16",48
"2017-11-17",48
"2017-11-18",62
"2017-11-19",59
"2017-11-20",53
"2017-11-21",48
"2017-11-22",49
"2017-11-23",54
"2017-11-24",38
"2017-11-25",60
"2017-11-26",72
"2017-11-27",53
"2017-11-28",64
"2017-11-29",58
"2017-11-30",52
"2017-12-01",37
"2017-12-02",61
"2017-12-03",71
"2017-12-04",56
"2017-12-05",56
"2017-12-06",55
"2017-12-07",46
"2017-12-08",41
"2017-12-09",52
"2017-12-10",52
"2017-12-11",44
"2017-12-12",35
"2017-12-13",43
"2017-12-14",39
"2017-12-15",34
"2017-12-16",32
"2017-12-17",34
"2017-12-18",27
"2017-12-19",49
"2017-12-20",42
"2017-12-21",36
"2017-12-22",28
"2017-12-23",34
"2017-12-24",44
"2017-12-25",37
"2017-12-26",36
"2017-12-27",37
"2017-12-28",34
"2017-12-29",32
"2017-12-30",31
"2017-12-31",41
"2018-01-01",53
"2018-01-02",44
"2018-01-03",51
"2018-01-04",59
"2018-01-05",52
"2018-01-06",53
"2018-01-07",70
"2018-01-08",69
"2018-01-09",60
"2018-01-10",56
"2018-01-11",48
"2018-01-12",39
"2018-01-13",49
"2018-01-14",66
"2018-01-15",53
"2018-01-16",47
"2018-01-17",46
"2018-01-18",53
"2018-01-19",60
"2018-01-20",61
"2018-01-21",69
"2018-01-22",59
"2018-01-23",53
"2018-01-24",58
"2018-01-25",49
"2018-01-26",41
"2018-01-27",53
"2018-01-28",61
"2018-01-29",60
"2018-01-30",55
"2018-01-31",57
"2018-02-01",46
"2018-02-02",56
"2018-02-03",67
"2018-02-04",71
"2018-02-05",48
"2018-02-06",65
"2018-02-07",60
"2018-02-08",47
"2018-02-09",48
"2018-02-10",56
"2018-02-11",60
"2018-02-12",46
"2018-02-13",54
"2018-02-14",48
"2018-02-15",42
"2018-02-16",41
"2018-02-17",48
"2018-02-18",59
"2018-02-19",68
"2018-02-20",66
"2018-02-21",53
"2018-02-22",56
"2018-02-23",50
"2018-02-24",58
"2018-02-25",66
"2018-02-26",68
"2018-02-27",77
"2018-02-28",58
"2018-03-01",77
"2018-03-02",68
"2018-03-03",55
"2018-03-04",90
"2018-03-05",74
"2018-03-06",66
"2018-03-07",70
"2018-03-08",80
"2018-03-09",65
"2018-03-10",71
"2018-03-11",80
"2018-03-12",73
"2018-03-13",80
"2018-03-14",68
"2018-03-15",68
"2018-03-16",60
"2018-03-17",67
"2018-03-18",84
"2018-03-19",75
"2018-03-20",75
"2018-03-21",65
"2018-03-22",64
"2018-03-23",63
"2018-03-24",66
"2018-03-25",73
"2018-03-26",62
"2018-03-27",64
"2018-03-28",69
"2018-03-29",57
"2018-03-30",60
"2018-03-31",64
"2018-04-01",83
"2018-04-02",70
"2018-04-03",76
"2018-04-04",61
"2018-04-05",60
"2018-04-06",63
"2018-04-07",74
"2018-04-08",89
"2018-04-09",87
"2018-04-10",78
"2018-04-11",70
"2018-04-12",75
"2018-04-13",60
"2018-04-14",79
"2018-04-15",99
"2018-04-16",100
"2018-04-17",88
"2018-04-18",73
"2018-04-19",67
