네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","밀레패딩"
"2017-08-01",2
"2017-08-02",2
"2017-08-03",2
"2017-08-04",2
"2017-08-05",3
"2017-08-06",3
"2017-08-07",3
"2017-08-08",3
"2017-08-09",4
"2017-08-10",3
"2017-08-11",3
"2017-08-12",3
"2017-08-13",4
"2017-08-14",4
"2017-08-15",5
"2017-08-16",3
"2017-08-17",4
"2017-08-18",4
"2017-08-19",5
"2017-08-20",7
"2017-08-21",4
"2017-08-22",4
"2017-08-23",4
"2017-08-24",3
"2017-08-25",3
"2017-08-26",5
"2017-08-27",6
"2017-08-28",4
"2017-08-29",5
"2017-08-30",6
"2017-08-31",4
"2017-09-01",5
"2017-09-02",5
"2017-09-03",6
"2017-09-04",5
"2017-09-05",4
"2017-09-06",4
"2017-09-07",5
"2017-09-08",4
"2017-09-09",4
"2017-09-10",5
"2017-09-11",5
"2017-09-12",4
"2017-09-13",4
"2017-09-14",3
"2017-09-15",3
"2017-09-16",5
"2017-09-17",5
"2017-09-18",5
"2017-09-19",5
"2017-09-20",4
"2017-09-21",5
"2017-09-22",4
"2017-09-23",5
"2017-09-24",6
"2017-09-25",4
"2017-09-26",4
"2017-09-27",5
"2017-09-28",5
"2017-09-29",4
"2017-09-30",6
"2017-10-01",9
"2017-10-02",7
"2017-10-03",6
"2017-10-04",6
"2017-10-05",9
"2017-10-06",12
"2017-10-07",9
"2017-10-08",9
"2017-10-09",10
"2017-10-10",8
"2017-10-11",11
"2017-10-12",14
"2017-10-13",11
"2017-10-14",15
"2017-10-15",18
"2017-10-16",16
"2017-10-17",16
"2017-10-18",16
"2017-10-19",15
"2017-10-20",11
"2017-10-21",14
"2017-10-22",19
"2017-10-23",18
"2017-10-24",17
"2017-10-25",17
"2017-10-26",16
"2017-10-27",13
"2017-10-28",15
"2017-10-29",26
"2017-10-30",36
"2017-10-31",32
"2017-11-01",32
"2017-11-02",27
"2017-11-03",29
"2017-11-04",37
"2017-11-05",47
"2017-11-06",42
"2017-11-07",33
"2017-11-08",32
"2017-11-09",33
"2017-11-10",30
"2017-11-11",40
"2017-11-12",53
"2017-11-13",47
"2017-11-14",43
"2017-11-15",49
"2017-11-16",65
"2017-11-17",58
"2017-11-18",69
"2017-11-19",100
"2017-11-20",87
"2017-11-21",69
"2017-11-22",67
"2017-11-23",65
"2017-11-24",61
"2017-11-25",64
"2017-11-26",71
"2017-11-27",58
"2017-11-28",46
"2017-11-29",40
"2017-11-30",45
"2017-12-01",44
"2017-12-02",50
"2017-12-03",51
"2017-12-04",48
"2017-12-05",52
"2017-12-06",42
"2017-12-07",38
"2017-12-08",35
"2017-12-09",35
"2017-12-10",49
"2017-12-11",50
"2017-12-12",49
"2017-12-13",49
"2017-12-14",39
"2017-12-15",31
"2017-12-16",36
"2017-12-17",43
"2017-12-18",35
"2017-12-19",32
"2017-12-20",29
"2017-12-21",24
"2017-12-22",19
"2017-12-23",19
"2017-12-24",23
"2017-12-25",26
"2017-12-26",26
"2017-12-27",26
"2017-12-28",25
"2017-12-29",16
"2017-12-30",20
"2017-12-31",20
"2018-01-01",19
"2018-01-02",16
"2018-01-03",18
"2018-01-04",16
"2018-01-05",14
"2018-01-06",16
"2018-01-07",22
"2018-01-08",16
"2018-01-09",16
"2018-01-10",16
"2018-01-11",18
"2018-01-12",17
"2018-01-13",18
"2018-01-14",21
"2018-01-15",12
"2018-01-16",10
"2018-01-17",9
"2018-01-18",9
"2018-01-19",7
"2018-01-20",10
"2018-01-21",11
"2018-01-22",11
"2018-01-23",13
"2018-01-24",12
"2018-01-25",12
"2018-01-26",11
"2018-01-27",14
"2018-01-28",15
"2018-01-29",13
"2018-01-30",11
"2018-01-31",9
"2018-02-01",10
"2018-02-02",9
"2018-02-03",12
"2018-02-04",17
"2018-02-05",14
"2018-02-06",12
"2018-02-07",11
"2018-02-08",9
"2018-02-09",7
"2018-02-10",8
"2018-02-11",12
"2018-02-12",7
"2018-02-13",6
"2018-02-14",6
"2018-02-15",4
"2018-02-16",5
"2018-02-17",6
"2018-02-18",6
"2018-02-19",5
"2018-02-20",4
"2018-02-21",3
"2018-02-22",3
"2018-02-23",3
"2018-02-24",3
"2018-02-25",5
"2018-02-26",3
"2018-02-27",2
"2018-02-28",2
"2018-03-01",3
"2018-03-02",2
"2018-03-03",2
"2018-03-04",2
"2018-03-05",2
"2018-03-06",2
"2018-03-07",1
"2018-03-08",2
"2018-03-09",2
"2018-03-10",2
"2018-03-11",2
"2018-03-12",2
"2018-03-13",1
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",1
"2018-03-20",1
"2018-03-21",1
"2018-03-22",1
"2018-03-23",
"2018-03-24",1
"2018-03-25",1
"2018-03-26",
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",1
"2018-04-08",
"2018-04-09",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
