네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아레나수영복"
"2017-08-01",71
"2017-08-02",68
"2017-08-03",71
"2017-08-04",61
"2017-08-05",61
"2017-08-06",75
"2017-08-07",68
"2017-08-08",67
"2017-08-09",59
"2017-08-10",61
"2017-08-11",51
"2017-08-12",54
"2017-08-13",56
"2017-08-14",60
"2017-08-15",56
"2017-08-16",65
"2017-08-17",57
"2017-08-18",55
"2017-08-19",43
"2017-08-20",63
"2017-08-21",62
"2017-08-22",77
"2017-08-23",86
"2017-08-24",83
"2017-08-25",65
"2017-08-26",78
"2017-08-27",81
"2017-08-28",100
"2017-08-29",83
"2017-08-30",82
"2017-08-31",63
"2017-09-01",55
"2017-09-02",62
"2017-09-03",54
"2017-09-04",57
"2017-09-05",62
"2017-09-06",57
"2017-09-07",57
"2017-09-08",40
"2017-09-09",46
"2017-09-10",35
"2017-09-11",62
"2017-09-12",61
"2017-09-13",55
"2017-09-14",50
"2017-09-15",42
"2017-09-16",53
"2017-09-17",43
"2017-09-18",51
"2017-09-19",43
"2017-09-20",51
"2017-09-21",41
"2017-09-22",38
"2017-09-23",44
"2017-09-24",57
"2017-09-25",57
"2017-09-26",66
"2017-09-27",55
"2017-09-28",48
"2017-09-29",28
"2017-09-30",25
"2017-10-01",25
"2017-10-02",23
"2017-10-03",17
"2017-10-04",18
"2017-10-05",24
"2017-10-06",28
"2017-10-07",28
"2017-10-08",32
"2017-10-09",40
"2017-10-10",44
"2017-10-11",58
"2017-10-12",56
"2017-10-13",45
"2017-10-14",37
"2017-10-15",39
"2017-10-16",48
"2017-10-17",50
"2017-10-18",37
"2017-10-19",47
"2017-10-20",42
"2017-10-21",34
"2017-10-22",41
"2017-10-23",52
"2017-10-24",50
"2017-10-25",51
"2017-10-26",51
"2017-10-27",50
"2017-10-28",53
"2017-10-29",55
"2017-10-30",52
"2017-10-31",41
"2017-11-01",39
"2017-11-02",38
"2017-11-03",35
"2017-11-04",36
"2017-11-05",31
"2017-11-06",37
"2017-11-07",43
"2017-11-08",40
"2017-11-09",33
"2017-11-10",34
"2017-11-11",28
"2017-11-12",32
"2017-11-13",39
"2017-11-14",36
"2017-11-15",31
"2017-11-16",41
"2017-11-17",27
"2017-11-18",27
"2017-11-19",35
"2017-11-20",33
"2017-11-21",39
"2017-11-22",39
"2017-11-23",39
"2017-11-24",26
"2017-11-25",30
"2017-11-26",48
"2017-11-27",59
"2017-11-28",48
"2017-11-29",46
"2017-11-30",47
"2017-12-01",37
"2017-12-02",37
"2017-12-03",35
"2017-12-04",42
"2017-12-05",46
"2017-12-06",35
"2017-12-07",33
"2017-12-08",32
"2017-12-09",32
"2017-12-10",31
"2017-12-11",29
"2017-12-12",32
"2017-12-13",33
"2017-12-14",33
"2017-12-15",29
"2017-12-16",29
"2017-12-17",22
"2017-12-18",35
"2017-12-19",33
"2017-12-20",35
"2017-12-21",33
"2017-12-22",22
"2017-12-23",23
"2017-12-24",21
"2017-12-25",44
"2017-12-26",61
"2017-12-27",46
"2017-12-28",37
"2017-12-29",32
"2017-12-30",27
"2017-12-31",36
"2018-01-01",33
"2018-01-02",52
"2018-01-03",52
"2018-01-04",38
"2018-01-05",36
"2018-01-06",31
"2018-01-07",44
"2018-01-08",43
"2018-01-09",41
"2018-01-10",39
"2018-01-11",39
"2018-01-12",38
"2018-01-13",28
"2018-01-14",31
"2018-01-15",45
"2018-01-16",36
"2018-01-17",42
"2018-01-18",41
"2018-01-19",36
"2018-01-20",38
"2018-01-21",33
"2018-01-22",39
"2018-01-23",52
"2018-01-24",49
"2018-01-25",49
"2018-01-26",42
"2018-01-27",43
"2018-01-28",44
"2018-01-29",51
"2018-01-30",49
"2018-01-31",44
"2018-02-01",36
"2018-02-02",32
"2018-02-03",30
"2018-02-04",31
"2018-02-05",34
"2018-02-06",35
"2018-02-07",41
"2018-02-08",29
"2018-02-09",27
"2018-02-10",22
"2018-02-11",27
"2018-02-12",28
"2018-02-13",21
"2018-02-14",21
"2018-02-15",20
"2018-02-16",16
"2018-02-17",24
"2018-02-18",32
"2018-02-19",35
"2018-02-20",49
"2018-02-21",49
"2018-02-22",42
"2018-02-23",37
"2018-02-24",38
"2018-02-25",49
"2018-02-26",67
"2018-02-27",54
"2018-02-28",56
"2018-03-01",63
"2018-03-02",50
"2018-03-03",47
"2018-03-04",62
"2018-03-05",48
"2018-03-06",57
"2018-03-07",53
"2018-03-08",49
"2018-03-09",38
"2018-03-10",43
"2018-03-11",48
"2018-03-12",48
"2018-03-13",43
"2018-03-14",41
"2018-03-15",42
"2018-03-16",38
"2018-03-17",43
"2018-03-18",51
"2018-03-19",46
"2018-03-20",48
"2018-03-21",57
"2018-03-22",51
"2018-03-23",48
"2018-03-24",53
"2018-03-25",56
"2018-03-26",85
"2018-03-27",92
"2018-03-28",72
"2018-03-29",62
"2018-03-30",46
"2018-03-31",40
"2018-04-01",49
"2018-04-02",60
"2018-04-03",51
"2018-04-04",52
"2018-04-05",47
"2018-04-06",30
"2018-04-07",35
"2018-04-08",32
"2018-04-09",35
"2018-04-10",29
"2018-04-11",39
"2018-04-12",27
"2018-04-13",28
"2018-04-14",22
"2018-04-15",24
"2018-04-16",22
"2018-04-17",25
"2018-04-18",28
"2018-04-19",19
