네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","트레킹화"
"2017-08-01",32
"2017-08-02",40
"2017-08-03",27
"2017-08-04",29
"2017-08-05",22
"2017-08-06",34
"2017-08-07",28
"2017-08-08",29
"2017-08-09",26
"2017-08-10",24
"2017-08-11",23
"2017-08-12",24
"2017-08-13",35
"2017-08-14",32
"2017-08-15",48
"2017-08-16",55
"2017-08-17",39
"2017-08-18",31
"2017-08-19",28
"2017-08-20",50
"2017-08-21",42
"2017-08-22",38
"2017-08-23",45
"2017-08-24",37
"2017-08-25",34
"2017-08-26",38
"2017-08-27",49
"2017-08-28",40
"2017-08-29",49
"2017-08-30",45
"2017-08-31",36
"2017-09-01",38
"2017-09-02",31
"2017-09-03",58
"2017-09-04",57
"2017-09-05",58
"2017-09-06",39
"2017-09-07",50
"2017-09-08",45
"2017-09-09",46
"2017-09-10",61
"2017-09-11",60
"2017-09-12",50
"2017-09-13",48
"2017-09-14",47
"2017-09-15",38
"2017-09-16",45
"2017-09-17",63
"2017-09-18",59
"2017-09-19",49
"2017-09-20",50
"2017-09-21",54
"2017-09-22",38
"2017-09-23",42
"2017-09-24",64
"2017-09-25",57
"2017-09-26",57
"2017-09-27",38
"2017-09-28",27
"2017-09-29",20
"2017-09-30",40
"2017-10-01",38
"2017-10-02",27
"2017-10-03",45
"2017-10-04",26
"2017-10-05",41
"2017-10-06",43
"2017-10-07",53
"2017-10-08",56
"2017-10-09",72
"2017-10-10",63
"2017-10-11",59
"2017-10-12",55
"2017-10-13",48
"2017-10-14",50
"2017-10-15",71
"2017-10-16",59
"2017-10-17",68
"2017-10-18",55
"2017-10-19",57
"2017-10-20",39
"2017-10-21",49
"2017-10-22",61
"2017-10-23",65
"2017-10-24",47
"2017-10-25",48
"2017-10-26",49
"2017-10-27",42
"2017-10-28",42
"2017-10-29",63
"2017-10-30",46
"2017-10-31",55
"2017-11-01",54
"2017-11-02",50
"2017-11-03",39
"2017-11-04",38
"2017-11-05",61
"2017-11-06",50
"2017-11-07",53
"2017-11-08",44
"2017-11-09",45
"2017-11-10",31
"2017-11-11",39
"2017-11-12",66
"2017-11-13",44
"2017-11-14",55
"2017-11-15",44
"2017-11-16",45
"2017-11-17",44
"2017-11-18",39
"2017-11-19",47
"2017-11-20",47
"2017-11-21",41
"2017-11-22",46
"2017-11-23",38
"2017-11-24",37
"2017-11-25",40
"2017-11-26",63
"2017-11-27",55
"2017-11-28",65
"2017-11-29",44
"2017-11-30",43
"2017-12-01",32
"2017-12-02",37
"2017-12-03",49
"2017-12-04",43
"2017-12-05",43
"2017-12-06",44
"2017-12-07",47
"2017-12-08",46
"2017-12-09",35
"2017-12-10",65
"2017-12-11",61
"2017-12-12",51
"2017-12-13",56
"2017-12-14",43
"2017-12-15",41
"2017-12-16",32
"2017-12-17",59
"2017-12-18",53
"2017-12-19",46
"2017-12-20",42
"2017-12-21",52
"2017-12-22",39
"2017-12-23",40
"2017-12-24",55
"2017-12-25",61
"2017-12-26",52
"2017-12-27",45
"2017-12-28",41
"2017-12-29",32
"2017-12-30",35
"2017-12-31",52
"2018-01-01",54
"2018-01-02",57
"2018-01-03",49
"2018-01-04",45
"2018-01-05",38
"2018-01-06",53
"2018-01-07",59
"2018-01-08",61
"2018-01-09",56
"2018-01-10",53
"2018-01-11",44
"2018-01-12",31
"2018-01-13",47
"2018-01-14",57
"2018-01-15",56
"2018-01-16",52
"2018-01-17",51
"2018-01-18",41
"2018-01-19",32
"2018-01-20",42
"2018-01-21",57
"2018-01-22",53
"2018-01-23",68
"2018-01-24",47
"2018-01-25",48
"2018-01-26",45
"2018-01-27",38
"2018-01-28",64
"2018-01-29",48
"2018-01-30",54
"2018-01-31",47
"2018-02-01",41
"2018-02-02",41
"2018-02-03",51
"2018-02-04",65
"2018-02-05",59
"2018-02-06",53
"2018-02-07",45
"2018-02-08",39
"2018-02-09",40
"2018-02-10",45
"2018-02-11",55
"2018-02-12",38
"2018-02-13",40
"2018-02-14",39
"2018-02-15",35
"2018-02-16",36
"2018-02-17",44
"2018-02-18",56
"2018-02-19",53
"2018-02-20",63
"2018-02-21",72
"2018-02-22",68
"2018-02-23",44
"2018-02-24",47
"2018-02-25",70
"2018-02-26",69
"2018-02-27",62
"2018-02-28",56
"2018-03-01",77
"2018-03-02",48
"2018-03-03",50
"2018-03-04",80
"2018-03-05",58
"2018-03-06",58
"2018-03-07",63
"2018-03-08",72
"2018-03-09",51
"2018-03-10",54
"2018-03-11",90
"2018-03-12",83
"2018-03-13",72
"2018-03-14",80
"2018-03-15",70
"2018-03-16",44
"2018-03-17",50
"2018-03-18",84
"2018-03-19",100
"2018-03-20",75
"2018-03-21",61
"2018-03-22",59
"2018-03-23",51
"2018-03-24",57
"2018-03-25",67
"2018-03-26",67
"2018-03-27",68
"2018-03-28",73
"2018-03-29",55
"2018-03-30",59
"2018-03-31",56
"2018-04-01",84
"2018-04-02",75
"2018-04-03",75
"2018-04-04",63
"2018-04-05",77
"2018-04-06",61
"2018-04-07",53
"2018-04-08",68
"2018-04-09",64
"2018-04-10",70
"2018-04-11",66
"2018-04-12",63
"2018-04-13",53
"2018-04-14",86
"2018-04-15",79
"2018-04-16",58
"2018-04-17",64
"2018-04-18",60
"2018-04-19",60
