네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","전동스쿠터"
"2017-08-01",47
"2017-08-02",42
"2017-08-03",39
"2017-08-04",43
"2017-08-05",45
"2017-08-06",48
"2017-08-07",47
"2017-08-08",44
"2017-08-09",37
"2017-08-10",37
"2017-08-11",44
"2017-08-12",46
"2017-08-13",59
"2017-08-14",53
"2017-08-15",58
"2017-08-16",49
"2017-08-17",58
"2017-08-18",61
"2017-08-19",76
"2017-08-20",85
"2017-08-21",100
"2017-08-22",99
"2017-08-23",64
"2017-08-24",55
"2017-08-25",49
"2017-08-26",52
"2017-08-27",81
"2017-08-28",44
"2017-08-29",49
"2017-08-30",47
"2017-08-31",49
"2017-09-01",39
"2017-09-02",43
"2017-09-03",55
"2017-09-04",48
"2017-09-05",52
"2017-09-06",38
"2017-09-07",36
"2017-09-08",44
"2017-09-09",45
"2017-09-10",50
"2017-09-11",51
"2017-09-12",46
"2017-09-13",43
"2017-09-14",41
"2017-09-15",37
"2017-09-16",49
"2017-09-17",52
"2017-09-18",45
"2017-09-19",55
"2017-09-20",43
"2017-09-21",37
"2017-09-22",36
"2017-09-23",37
"2017-09-24",49
"2017-09-25",42
"2017-09-26",46
"2017-09-27",35
"2017-09-28",39
"2017-09-29",29
"2017-09-30",36
"2017-10-01",33
"2017-10-02",33
"2017-10-03",34
"2017-10-04",31
"2017-10-05",29
"2017-10-06",44
"2017-10-07",43
"2017-10-08",45
"2017-10-09",50
"2017-10-10",42
"2017-10-11",33
"2017-10-12",29
"2017-10-13",30
"2017-10-14",26
"2017-10-15",33
"2017-10-16",28
"2017-10-17",27
"2017-10-18",25
"2017-10-19",26
"2017-10-20",29
"2017-10-21",30
"2017-10-22",35
"2017-10-23",34
"2017-10-24",29
"2017-10-25",30
"2017-10-26",28
"2017-10-27",26
"2017-10-28",23
"2017-10-29",27
"2017-10-30",22
"2017-10-31",22
"2017-11-01",23
"2017-11-02",19
"2017-11-03",24
"2017-11-04",24
"2017-11-05",25
"2017-11-06",23
"2017-11-07",24
"2017-11-08",20
"2017-11-09",21
"2017-11-10",20
"2017-11-11",17
"2017-11-12",22
"2017-11-13",19
"2017-11-14",18
"2017-11-15",17
"2017-11-16",14
"2017-11-17",12
"2017-11-18",11
"2017-11-19",14
"2017-11-20",14
"2017-11-21",13
"2017-11-22",13
"2017-11-23",11
"2017-11-24",10
"2017-11-25",11
"2017-11-26",14
"2017-11-27",11
"2017-11-28",11
"2017-11-29",12
"2017-11-30",12
"2017-12-01",13
"2017-12-02",11
"2017-12-03",15
"2017-12-04",15
"2017-12-05",13
"2017-12-06",12
"2017-12-07",12
"2017-12-08",11
"2017-12-09",11
"2017-12-10",13
"2017-12-11",10
"2017-12-12",11
"2017-12-13",11
"2017-12-14",9
"2017-12-15",9
"2017-12-16",8
"2017-12-17",14
"2017-12-18",12
"2017-12-19",10
"2017-12-20",10
"2017-12-21",9
"2017-12-22",11
"2017-12-23",10
"2017-12-24",12
"2017-12-25",13
"2017-12-26",11
"2017-12-27",7
"2017-12-28",11
"2017-12-29",12
"2017-12-30",10
"2017-12-31",10
"2018-01-01",14
"2018-01-02",13
"2018-01-03",12
"2018-01-04",12
"2018-01-05",13
"2018-01-06",12
"2018-01-07",13
"2018-01-08",15
"2018-01-09",12
"2018-01-10",9
"2018-01-11",10
"2018-01-12",10
"2018-01-13",10
"2018-01-14",12
"2018-01-15",9
"2018-01-16",12
"2018-01-17",15
"2018-01-18",13
"2018-01-19",16
"2018-01-20",15
"2018-01-21",15
"2018-01-22",18
"2018-01-23",13
"2018-01-24",13
"2018-01-25",10
"2018-01-26",10
"2018-01-27",10
"2018-01-28",14
"2018-01-29",13
"2018-01-30",12
"2018-01-31",14
"2018-02-01",13
"2018-02-02",13
"2018-02-03",11
"2018-02-04",19
"2018-02-05",15
"2018-02-06",12
"2018-02-07",12
"2018-02-08",18
"2018-02-09",12
"2018-02-10",13
"2018-02-11",21
"2018-02-12",14
"2018-02-13",13
"2018-02-14",13
"2018-02-15",14
"2018-02-16",15
"2018-02-17",19
"2018-02-18",18
"2018-02-19",17
"2018-02-20",16
"2018-02-21",15
"2018-02-22",18
"2018-02-23",19
"2018-02-24",20
"2018-02-25",27
"2018-02-26",26
"2018-02-27",23
"2018-02-28",19
"2018-03-01",22
"2018-03-02",21
"2018-03-03",26
"2018-03-04",31
"2018-03-05",25
"2018-03-06",28
"2018-03-07",29
"2018-03-08",26
"2018-03-09",22
"2018-03-10",22
"2018-03-11",33
"2018-03-12",29
"2018-03-13",31
"2018-03-14",31
"2018-03-15",28
"2018-03-16",38
"2018-03-17",41
"2018-03-18",44
"2018-03-19",33
"2018-03-20",32
"2018-03-21",28
"2018-03-22",32
"2018-03-23",36
"2018-03-24",39
"2018-03-25",44
"2018-03-26",43
"2018-03-27",44
"2018-03-28",42
"2018-03-29",41
"2018-03-30",36
"2018-03-31",46
"2018-04-01",46
"2018-04-02",44
"2018-04-03",51
"2018-04-04",45
"2018-04-05",35
"2018-04-06",30
"2018-04-07",27
"2018-04-08",32
"2018-04-09",32
"2018-04-10",33
"2018-04-11",32
"2018-04-12",33
"2018-04-13",35
"2018-04-14",33
"2018-04-15",34
"2018-04-16",35
"2018-04-17",39
"2018-04-18",40
"2018-04-19",37
