네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아레나반신수영복"
"2017-08-01",50
"2017-08-02",50
"2017-08-03",62
"2017-08-04",44
"2017-08-05",44
"2017-08-06",52
"2017-08-07",51
"2017-08-08",57
"2017-08-09",55
"2017-08-10",46
"2017-08-11",49
"2017-08-12",44
"2017-08-13",39
"2017-08-14",45
"2017-08-15",44
"2017-08-16",56
"2017-08-17",42
"2017-08-18",61
"2017-08-19",47
"2017-08-20",56
"2017-08-21",76
"2017-08-22",72
"2017-08-23",99
"2017-08-24",92
"2017-08-25",82
"2017-08-26",68
"2017-08-27",91
"2017-08-28",100
"2017-08-29",95
"2017-08-30",98
"2017-08-31",79
"2017-09-01",81
"2017-09-02",61
"2017-09-03",57
"2017-09-04",71
"2017-09-05",61
"2017-09-06",56
"2017-09-07",61
"2017-09-08",53
"2017-09-09",52
"2017-09-10",41
"2017-09-11",39
"2017-09-12",42
"2017-09-13",57
"2017-09-14",41
"2017-09-15",42
"2017-09-16",35
"2017-09-17",45
"2017-09-18",48
"2017-09-19",33
"2017-09-20",44
"2017-09-21",40
"2017-09-22",46
"2017-09-23",34
"2017-09-24",48
"2017-09-25",60
"2017-09-26",57
"2017-09-27",70
"2017-09-28",42
"2017-09-29",34
"2017-09-30",29
"2017-10-01",33
"2017-10-02",22
"2017-10-03",16
"2017-10-04",16
"2017-10-05",20
"2017-10-06",27
"2017-10-07",24
"2017-10-08",27
"2017-10-09",34
"2017-10-10",59
"2017-10-11",68
"2017-10-12",57
"2017-10-13",52
"2017-10-14",38
"2017-10-15",40
"2017-10-16",39
"2017-10-17",51
"2017-10-18",40
"2017-10-19",52
"2017-10-20",48
"2017-10-21",43
"2017-10-22",69
"2017-10-23",53
"2017-10-24",59
"2017-10-25",66
"2017-10-26",94
"2017-10-27",80
"2017-10-28",77
"2017-10-29",66
"2017-10-30",56
"2017-10-31",74
"2017-11-01",56
"2017-11-02",50
"2017-11-03",50
"2017-11-04",49
"2017-11-05",35
"2017-11-06",53
"2017-11-07",53
"2017-11-08",69
"2017-11-09",77
"2017-11-10",67
"2017-11-11",44
"2017-11-12",44
"2017-11-13",44
"2017-11-14",57
"2017-11-15",56
"2017-11-16",51
"2017-11-17",41
"2017-11-18",37
"2017-11-19",37
"2017-11-20",58
"2017-11-21",47
"2017-11-22",51
"2017-11-23",52
"2017-11-24",57
"2017-11-25",52
"2017-11-26",46
"2017-11-27",67
"2017-11-28",67
"2017-11-29",44
"2017-11-30",51
"2017-12-01",39
"2017-12-02",58
"2017-12-03",50
"2017-12-04",64
"2017-12-05",53
"2017-12-06",63
"2017-12-07",49
"2017-12-08",49
"2017-12-09",40
"2017-12-10",41
"2017-12-11",41
"2017-12-12",47
"2017-12-13",65
"2017-12-14",59
"2017-12-15",43
"2017-12-16",41
"2017-12-17",34
"2017-12-18",43
"2017-12-19",30
"2017-12-20",33
"2017-12-21",34
"2017-12-22",36
"2017-12-23",42
"2017-12-24",34
"2017-12-25",40
"2017-12-26",47
"2017-12-27",46
"2017-12-28",41
"2017-12-29",38
"2017-12-30",38
"2017-12-31",41
"2018-01-01",35
"2018-01-02",49
"2018-01-03",54
"2018-01-04",48
"2018-01-05",51
"2018-01-06",44
"2018-01-07",42
"2018-01-08",45
"2018-01-09",44
"2018-01-10",44
"2018-01-11",44
"2018-01-12",60
"2018-01-13",29
"2018-01-14",42
"2018-01-15",30
"2018-01-16",42
"2018-01-17",45
"2018-01-18",40
"2018-01-19",49
"2018-01-20",39
"2018-01-21",40
"2018-01-22",34
"2018-01-23",66
"2018-01-24",44
"2018-01-25",49
"2018-01-26",38
"2018-01-27",45
"2018-01-28",56
"2018-01-29",71
"2018-01-30",57
"2018-01-31",33
"2018-02-01",45
"2018-02-02",58
"2018-02-03",55
"2018-02-04",43
"2018-02-05",37
"2018-02-06",27
"2018-02-07",31
"2018-02-08",33
"2018-02-09",31
"2018-02-10",25
"2018-02-11",35
"2018-02-12",18
"2018-02-13",26
"2018-02-14",28
"2018-02-15",20
"2018-02-16",14
"2018-02-17",22
"2018-02-18",26
"2018-02-19",32
"2018-02-20",33
"2018-02-21",38
"2018-02-22",42
"2018-02-23",42
"2018-02-24",33
"2018-02-25",56
"2018-02-26",60
"2018-02-27",52
"2018-02-28",40
"2018-03-01",50
"2018-03-02",36
"2018-03-03",37
"2018-03-04",35
"2018-03-05",49
"2018-03-06",51
"2018-03-07",41
"2018-03-08",31
"2018-03-09",32
"2018-03-10",27
"2018-03-11",35
"2018-03-12",29
"2018-03-13",40
"2018-03-14",43
"2018-03-15",41
"2018-03-16",41
"2018-03-17",42
"2018-03-18",47
"2018-03-19",41
"2018-03-20",60
"2018-03-21",59
"2018-03-22",51
"2018-03-23",44
"2018-03-24",57
"2018-03-25",59
"2018-03-26",61
"2018-03-27",63
"2018-03-28",60
"2018-03-29",74
"2018-03-30",48
"2018-03-31",55
"2018-04-01",44
"2018-04-02",50
"2018-04-03",46
"2018-04-04",65
"2018-04-05",41
"2018-04-06",36
"2018-04-07",26
"2018-04-08",26
"2018-04-09",29
"2018-04-10",26
"2018-04-11",36
"2018-04-12",30
"2018-04-13",31
"2018-04-14",24
"2018-04-15",25
"2018-04-16",34
"2018-04-17",50
"2018-04-18",41
"2018-04-19",34
