네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","원터치텐트"
"2017-08-01",80
"2017-08-02",81
"2017-08-03",69
"2017-08-04",61
"2017-08-05",60
"2017-08-06",71
"2017-08-07",76
"2017-08-08",71
"2017-08-09",58
"2017-08-10",51
"2017-08-11",39
"2017-08-12",42
"2017-08-13",75
"2017-08-14",49
"2017-08-15",56
"2017-08-16",42
"2017-08-17",38
"2017-08-18",32
"2017-08-19",35
"2017-08-20",43
"2017-08-21",39
"2017-08-22",35
"2017-08-23",29
"2017-08-24",23
"2017-08-25",19
"2017-08-26",35
"2017-08-27",60
"2017-08-28",40
"2017-08-29",42
"2017-08-30",31
"2017-08-31",32
"2017-09-01",29
"2017-09-02",40
"2017-09-03",64
"2017-09-04",54
"2017-09-05",41
"2017-09-06",31
"2017-09-07",28
"2017-09-08",22
"2017-09-09",35
"2017-09-10",55
"2017-09-11",41
"2017-09-12",37
"2017-09-13",38
"2017-09-14",30
"2017-09-15",23
"2017-09-16",28
"2017-09-17",65
"2017-09-18",52
"2017-09-19",43
"2017-09-20",34
"2017-09-21",32
"2017-09-22",27
"2017-09-23",29
"2017-09-24",58
"2017-09-25",61
"2017-09-26",55
"2017-09-27",38
"2017-09-28",39
"2017-09-29",24
"2017-09-30",40
"2017-10-01",31
"2017-10-02",25
"2017-10-03",21
"2017-10-04",33
"2017-10-05",36
"2017-10-06",42
"2017-10-07",51
"2017-10-08",69
"2017-10-09",78
"2017-10-10",55
"2017-10-11",41
"2017-10-12",36
"2017-10-13",27
"2017-10-14",35
"2017-10-15",47
"2017-10-16",39
"2017-10-17",35
"2017-10-18",26
"2017-10-19",24
"2017-10-20",21
"2017-10-21",28
"2017-10-22",36
"2017-10-23",34
"2017-10-24",25
"2017-10-25",22
"2017-10-26",17
"2017-10-27",14
"2017-10-28",19
"2017-10-29",28
"2017-10-30",21
"2017-10-31",19
"2017-11-01",18
"2017-11-02",12
"2017-11-03",13
"2017-11-04",12
"2017-11-05",20
"2017-11-06",20
"2017-11-07",15
"2017-11-08",13
"2017-11-09",12
"2017-11-10",11
"2017-11-11",12
"2017-11-12",16
"2017-11-13",15
"2017-11-14",12
"2017-11-15",11
"2017-11-16",14
"2017-11-17",11
"2017-11-18",10
"2017-11-19",14
"2017-11-20",17
"2017-11-21",12
"2017-11-22",11
"2017-11-23",8
"2017-11-24",5
"2017-11-25",6
"2017-11-26",10
"2017-11-27",9
"2017-11-28",6
"2017-11-29",7
"2017-11-30",7
"2017-12-01",6
"2017-12-02",5
"2017-12-03",8
"2017-12-04",8
"2017-12-05",9
"2017-12-06",6
"2017-12-07",6
"2017-12-08",4
"2017-12-09",6
"2017-12-10",7
"2017-12-11",5
"2017-12-12",5
"2017-12-13",8
"2017-12-14",6
"2017-12-15",4
"2017-12-16",5
"2017-12-17",9
"2017-12-18",7
"2017-12-19",7
"2017-12-20",6
"2017-12-21",4
"2017-12-22",4
"2017-12-23",3
"2017-12-24",5
"2017-12-25",8
"2017-12-26",6
"2017-12-27",7
"2017-12-28",6
"2017-12-29",4
"2017-12-30",5
"2017-12-31",6
"2018-01-01",9
"2018-01-02",9
"2018-01-03",7
"2018-01-04",7
"2018-01-05",6
"2018-01-06",7
"2018-01-07",9
"2018-01-08",12
"2018-01-09",10
"2018-01-10",8
"2018-01-11",9
"2018-01-12",7
"2018-01-13",8
"2018-01-14",9
"2018-01-15",10
"2018-01-16",7
"2018-01-17",7
"2018-01-18",7
"2018-01-19",7
"2018-01-20",7
"2018-01-21",8
"2018-01-22",8
"2018-01-23",9
"2018-01-24",8
"2018-01-25",8
"2018-01-26",8
"2018-01-27",7
"2018-01-28",11
"2018-01-29",10
"2018-01-30",9
"2018-01-31",10
"2018-02-01",5
"2018-02-02",5
"2018-02-03",8
"2018-02-04",13
"2018-02-05",10
"2018-02-06",9
"2018-02-07",7
"2018-02-08",7
"2018-02-09",6
"2018-02-10",4
"2018-02-11",7
"2018-02-12",7
"2018-02-13",6
"2018-02-14",5
"2018-02-15",6
"2018-02-16",5
"2018-02-17",8
"2018-02-18",11
"2018-02-19",13
"2018-02-20",11
"2018-02-21",10
"2018-02-22",12
"2018-02-23",8
"2018-02-24",11
"2018-02-25",18
"2018-02-26",20
"2018-02-27",17
"2018-02-28",12
"2018-03-01",20
"2018-03-02",15
"2018-03-03",23
"2018-03-04",34
"2018-03-05",28
"2018-03-06",25
"2018-03-07",22
"2018-03-08",16
"2018-03-09",17
"2018-03-10",27
"2018-03-11",47
"2018-03-12",42
"2018-03-13",43
"2018-03-14",44
"2018-03-15",34
"2018-03-16",27
"2018-03-17",41
"2018-03-18",52
"2018-03-19",47
"2018-03-20",41
"2018-03-21",38
"2018-03-22",36
"2018-03-23",30
"2018-03-24",40
"2018-03-25",76
"2018-03-26",56
"2018-03-27",51
"2018-03-28",46
"2018-03-29",42
"2018-03-30",45
"2018-03-31",70
"2018-04-01",100
"2018-04-02",89
"2018-04-03",76
"2018-04-04",72
"2018-04-05",51
"2018-04-06",36
"2018-04-07",42
"2018-04-08",65
"2018-04-09",59
"2018-04-10",56
"2018-04-11",49
"2018-04-12",51
"2018-04-13",45
"2018-04-14",36
"2018-04-15",60
"2018-04-16",57
"2018-04-17",55
"2018-04-18",53
"2018-04-19",46
