네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","타이틀리스트골프웨어"
"2017-08-01",21
"2017-08-02",22
"2017-08-03",23
"2017-08-04",18
"2017-08-05",25
"2017-08-06",22
"2017-08-07",19
"2017-08-08",23
"2017-08-09",24
"2017-08-10",22
"2017-08-11",16
"2017-08-12",21
"2017-08-13",26
"2017-08-14",19
"2017-08-15",34
"2017-08-16",23
"2017-08-17",24
"2017-08-18",24
"2017-08-19",21
"2017-08-20",27
"2017-08-21",28
"2017-08-22",29
"2017-08-23",23
"2017-08-24",24
"2017-08-25",23
"2017-08-26",28
"2017-08-27",28
"2017-08-28",28
"2017-08-29",32
"2017-08-30",29
"2017-08-31",31
"2017-09-01",24
"2017-09-02",33
"2017-09-03",34
"2017-09-04",34
"2017-09-05",36
"2017-09-06",35
"2017-09-07",38
"2017-09-08",30
"2017-09-09",39
"2017-09-10",48
"2017-09-11",44
"2017-09-12",44
"2017-09-13",39
"2017-09-14",36
"2017-09-15",30
"2017-09-16",42
"2017-09-17",52
"2017-09-18",44
"2017-09-19",45
"2017-09-20",47
"2017-09-21",38
"2017-09-22",36
"2017-09-23",44
"2017-09-24",56
"2017-09-25",53
"2017-09-26",59
"2017-09-27",50
"2017-09-28",43
"2017-09-29",41
"2017-09-30",49
"2017-10-01",66
"2017-10-02",65
"2017-10-03",68
"2017-10-04",46
"2017-10-05",62
"2017-10-06",74
"2017-10-07",71
"2017-10-08",69
"2017-10-09",88
"2017-10-10",74
"2017-10-11",76
"2017-10-12",64
"2017-10-13",74
"2017-10-14",67
"2017-10-15",95
"2017-10-16",80
"2017-10-17",80
"2017-10-18",76
"2017-10-19",79
"2017-10-20",51
"2017-10-21",65
"2017-10-22",88
"2017-10-23",79
"2017-10-24",92
"2017-10-25",78
"2017-10-26",79
"2017-10-27",71
"2017-10-28",79
"2017-10-29",97
"2017-10-30",82
"2017-10-31",56
"2017-11-01",57
"2017-11-02",56
"2017-11-03",53
"2017-11-04",55
"2017-11-05",78
"2017-11-06",64
"2017-11-07",59
"2017-11-08",55
"2017-11-09",61
"2017-11-10",45
"2017-11-11",52
"2017-11-12",64
"2017-11-13",57
"2017-11-14",55
"2017-11-15",51
"2017-11-16",48
"2017-11-17",39
"2017-11-18",49
"2017-11-19",62
"2017-11-20",49
"2017-11-21",50
"2017-11-22",51
"2017-11-23",44
"2017-11-24",34
"2017-11-25",33
"2017-11-26",43
"2017-11-27",45
"2017-11-28",33
"2017-11-29",33
"2017-11-30",35
"2017-12-01",27
"2017-12-02",33
"2017-12-03",41
"2017-12-04",35
"2017-12-05",40
"2017-12-06",31
"2017-12-07",30
"2017-12-08",24
"2017-12-09",38
"2017-12-10",33
"2017-12-11",21
"2017-12-12",22
"2017-12-13",23
"2017-12-14",27
"2017-12-15",26
"2017-12-16",21
"2017-12-17",29
"2017-12-18",26
"2017-12-19",25
"2017-12-20",27
"2017-12-21",24
"2017-12-22",21
"2017-12-23",18
"2017-12-24",30
"2017-12-25",26
"2017-12-26",24
"2017-12-27",26
"2017-12-28",20
"2017-12-29",23
"2017-12-30",24
"2017-12-31",18
"2018-01-01",26
"2018-01-02",22
"2018-01-03",18
"2018-01-04",26
"2018-01-05",17
"2018-01-06",19
"2018-01-07",29
"2018-01-08",25
"2018-01-09",27
"2018-01-10",28
"2018-01-11",22
"2018-01-12",22
"2018-01-13",29
"2018-01-14",41
"2018-01-15",20
"2018-01-16",26
"2018-01-17",22
"2018-01-18",19
"2018-01-19",24
"2018-01-20",26
"2018-01-21",37
"2018-01-22",23
"2018-01-23",25
"2018-01-24",25
"2018-01-25",26
"2018-01-26",26
"2018-01-27",24
"2018-01-28",30
"2018-01-29",24
"2018-01-30",21
"2018-01-31",22
"2018-02-01",17
"2018-02-02",15
"2018-02-03",25
"2018-02-04",31
"2018-02-05",23
"2018-02-06",27
"2018-02-07",24
"2018-02-08",22
"2018-02-09",27
"2018-02-10",27
"2018-02-11",37
"2018-02-12",24
"2018-02-13",23
"2018-02-14",25
"2018-02-15",34
"2018-02-16",25
"2018-02-17",36
"2018-02-18",49
"2018-02-19",43
"2018-02-20",37
"2018-02-21",37
"2018-02-22",32
"2018-02-23",27
"2018-02-24",34
"2018-02-25",52
"2018-02-26",50
"2018-02-27",39
"2018-02-28",41
"2018-03-01",66
"2018-03-02",48
"2018-03-03",57
"2018-03-04",76
"2018-03-05",63
"2018-03-06",53
"2018-03-07",55
"2018-03-08",59
"2018-03-09",48
"2018-03-10",61
"2018-03-11",100
"2018-03-12",82
"2018-03-13",85
"2018-03-14",73
"2018-03-15",73
"2018-03-16",61
"2018-03-17",69
"2018-03-18",92
"2018-03-19",77
"2018-03-20",69
"2018-03-21",63
"2018-03-22",49
"2018-03-23",43
"2018-03-24",60
"2018-03-25",83
"2018-03-26",60
"2018-03-27",64
"2018-03-28",67
"2018-03-29",52
"2018-03-30",51
"2018-03-31",71
"2018-04-01",90
"2018-04-02",80
"2018-04-03",94
"2018-04-04",81
"2018-04-05",88
"2018-04-06",59
"2018-04-07",53
"2018-04-08",68
"2018-04-09",55
"2018-04-10",44
"2018-04-11",50
"2018-04-12",51
"2018-04-13",43
"2018-04-14",65
"2018-04-15",86
"2018-04-16",65
"2018-04-17",67
"2018-04-18",66
"2018-04-19",56
