네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","요가복"
"2017-08-01",36
"2017-08-02",40
"2017-08-03",37
"2017-08-04",33
"2017-08-05",26
"2017-08-06",33
"2017-08-07",41
"2017-08-08",52
"2017-08-09",48
"2017-08-10",52
"2017-08-11",41
"2017-08-12",31
"2017-08-13",29
"2017-08-14",34
"2017-08-15",43
"2017-08-16",50
"2017-08-17",53
"2017-08-18",43
"2017-08-19",37
"2017-08-20",38
"2017-08-21",52
"2017-08-22",61
"2017-08-23",61
"2017-08-24",57
"2017-08-25",49
"2017-08-26",40
"2017-08-27",45
"2017-08-28",59
"2017-08-29",60
"2017-08-30",62
"2017-08-31",56
"2017-09-01",52
"2017-09-02",38
"2017-09-03",39
"2017-09-04",58
"2017-09-05",62
"2017-09-06",62
"2017-09-07",64
"2017-09-08",44
"2017-09-09",36
"2017-09-10",34
"2017-09-11",45
"2017-09-12",57
"2017-09-13",50
"2017-09-14",48
"2017-09-15",39
"2017-09-16",30
"2017-09-17",32
"2017-09-18",45
"2017-09-19",55
"2017-09-20",54
"2017-09-21",47
"2017-09-22",38
"2017-09-23",32
"2017-09-24",32
"2017-09-25",39
"2017-09-26",51
"2017-09-27",51
"2017-09-28",36
"2017-09-29",35
"2017-09-30",24
"2017-10-01",26
"2017-10-02",23
"2017-10-03",18
"2017-10-04",16
"2017-10-05",16
"2017-10-06",27
"2017-10-07",27
"2017-10-08",30
"2017-10-09",39
"2017-10-10",56
"2017-10-11",78
"2017-10-12",70
"2017-10-13",53
"2017-10-14",44
"2017-10-15",42
"2017-10-16",59
"2017-10-17",65
"2017-10-18",70
"2017-10-19",58
"2017-10-20",54
"2017-10-21",37
"2017-10-22",41
"2017-10-23",53
"2017-10-24",56
"2017-10-25",61
"2017-10-26",61
"2017-10-27",44
"2017-10-28",39
"2017-10-29",39
"2017-10-30",58
"2017-10-31",58
"2017-11-01",61
"2017-11-02",63
"2017-11-03",56
"2017-11-04",40
"2017-11-05",45
"2017-11-06",57
"2017-11-07",67
"2017-11-08",64
"2017-11-09",53
"2017-11-10",53
"2017-11-11",35
"2017-11-12",39
"2017-11-13",48
"2017-11-14",56
"2017-11-15",47
"2017-11-16",40
"2017-11-17",38
"2017-11-18",36
"2017-11-19",35
"2017-11-20",43
"2017-11-21",49
"2017-11-22",42
"2017-11-23",46
"2017-11-24",41
"2017-11-25",40
"2017-11-26",39
"2017-11-27",42
"2017-11-28",51
"2017-11-29",52
"2017-11-30",48
"2017-12-01",45
"2017-12-02",38
"2017-12-03",41
"2017-12-04",48
"2017-12-05",51
"2017-12-06",51
"2017-12-07",47
"2017-12-08",42
"2017-12-09",32
"2017-12-10",31
"2017-12-11",41
"2017-12-12",41
"2017-12-13",45
"2017-12-14",41
"2017-12-15",31
"2017-12-16",29
"2017-12-17",32
"2017-12-18",33
"2017-12-19",35
"2017-12-20",35
"2017-12-21",32
"2017-12-22",28
"2017-12-23",21
"2017-12-24",18
"2017-12-25",23
"2017-12-26",35
"2017-12-27",35
"2017-12-28",36
"2017-12-29",33
"2017-12-30",29
"2017-12-31",24
"2018-01-01",33
"2018-01-02",46
"2018-01-03",59
"2018-01-04",56
"2018-01-05",52
"2018-01-06",45
"2018-01-07",40
"2018-01-08",58
"2018-01-09",64
"2018-01-10",60
"2018-01-11",53
"2018-01-12",45
"2018-01-13",36
"2018-01-14",46
"2018-01-15",54
"2018-01-16",61
"2018-01-17",63
"2018-01-18",61
"2018-01-19",50
"2018-01-20",46
"2018-01-21",47
"2018-01-22",50
"2018-01-23",62
"2018-01-24",63
"2018-01-25",51
"2018-01-26",48
"2018-01-27",50
"2018-01-28",45
"2018-01-29",48
"2018-01-30",63
"2018-01-31",55
"2018-02-01",54
"2018-02-02",53
"2018-02-03",43
"2018-02-04",46
"2018-02-05",48
"2018-02-06",45
"2018-02-07",48
"2018-02-08",46
"2018-02-09",38
"2018-02-10",30
"2018-02-11",31
"2018-02-12",29
"2018-02-13",29
"2018-02-14",23
"2018-02-15",24
"2018-02-16",18
"2018-02-17",22
"2018-02-18",31
"2018-02-19",37
"2018-02-20",42
"2018-02-21",43
"2018-02-22",44
"2018-02-23",39
"2018-02-24",39
"2018-02-25",40
"2018-02-26",46
"2018-02-27",50
"2018-02-28",40
"2018-03-01",40
"2018-03-02",40
"2018-03-03",36
"2018-03-04",44
"2018-03-05",57
"2018-03-06",61
"2018-03-07",64
"2018-03-08",66
"2018-03-09",50
"2018-03-10",46
"2018-03-11",48
"2018-03-12",59
"2018-03-13",58
"2018-03-14",62
"2018-03-15",61
"2018-03-16",52
"2018-03-17",49
"2018-03-18",48
"2018-03-19",52
"2018-03-20",60
"2018-03-21",59
"2018-03-22",67
"2018-03-23",56
"2018-03-24",47
"2018-03-25",45
"2018-03-26",69
"2018-03-27",85
"2018-03-28",69
"2018-03-29",76
"2018-03-30",63
"2018-03-31",50
"2018-04-01",55
"2018-04-02",81
"2018-04-03",94
"2018-04-04",100
"2018-04-05",86
"2018-04-06",72
"2018-04-07",54
"2018-04-08",55
"2018-04-09",60
"2018-04-10",76
"2018-04-11",82
"2018-04-12",79
"2018-04-13",68
"2018-04-14",59
"2018-04-15",56
"2018-04-16",64
"2018-04-17",74
"2018-04-18",74
"2018-04-19",69
