네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키골프웨어"
"2017-08-01",29
"2017-08-02",27
"2017-08-03",26
"2017-08-04",25
"2017-08-05",30
"2017-08-06",43
"2017-08-07",35
"2017-08-08",29
"2017-08-09",29
"2017-08-10",30
"2017-08-11",25
"2017-08-12",29
"2017-08-13",39
"2017-08-14",29
"2017-08-15",31
"2017-08-16",29
"2017-08-17",27
"2017-08-18",23
"2017-08-19",22
"2017-08-20",29
"2017-08-21",27
"2017-08-22",30
"2017-08-23",23
"2017-08-24",24
"2017-08-25",24
"2017-08-26",24
"2017-08-27",30
"2017-08-28",26
"2017-08-29",20
"2017-08-30",27
"2017-08-31",30
"2017-09-01",20
"2017-09-02",24
"2017-09-03",32
"2017-09-04",35
"2017-09-05",39
"2017-09-06",35
"2017-09-07",38
"2017-09-08",35
"2017-09-09",34
"2017-09-10",48
"2017-09-11",33
"2017-09-12",33
"2017-09-13",37
"2017-09-14",47
"2017-09-15",28
"2017-09-16",45
"2017-09-17",59
"2017-09-18",50
"2017-09-19",41
"2017-09-20",38
"2017-09-21",45
"2017-09-22",35
"2017-09-23",55
"2017-09-24",66
"2017-09-25",48
"2017-09-26",43
"2017-09-27",54
"2017-09-28",44
"2017-09-29",41
"2017-09-30",40
"2017-10-01",58
"2017-10-02",50
"2017-10-03",36
"2017-10-04",42
"2017-10-05",65
"2017-10-06",83
"2017-10-07",74
"2017-10-08",74
"2017-10-09",84
"2017-10-10",69
"2017-10-11",64
"2017-10-12",81
"2017-10-13",55
"2017-10-14",69
"2017-10-15",97
"2017-10-16",69
"2017-10-17",75
"2017-10-18",73
"2017-10-19",82
"2017-10-20",53
"2017-10-21",51
"2017-10-22",82
"2017-10-23",73
"2017-10-24",68
"2017-10-25",69
"2017-10-26",62
"2017-10-27",57
"2017-10-28",48
"2017-10-29",74
"2017-10-30",65
"2017-10-31",54
"2017-11-01",60
"2017-11-02",56
"2017-11-03",52
"2017-11-04",47
"2017-11-05",67
"2017-11-06",53
"2017-11-07",59
"2017-11-08",46
"2017-11-09",49
"2017-11-10",44
"2017-11-11",41
"2017-11-12",57
"2017-11-13",47
"2017-11-14",43
"2017-11-15",43
"2017-11-16",41
"2017-11-17",33
"2017-11-18",37
"2017-11-19",49
"2017-11-20",32
"2017-11-21",33
"2017-11-22",23
"2017-11-23",23
"2017-11-24",19
"2017-11-25",23
"2017-11-26",30
"2017-11-27",16
"2017-11-28",23
"2017-11-29",21
"2017-11-30",17
"2017-12-01",12
"2017-12-02",19
"2017-12-03",33
"2017-12-04",25
"2017-12-05",21
"2017-12-06",21
"2017-12-07",14
"2017-12-08",14
"2017-12-09",18
"2017-12-10",23
"2017-12-11",18
"2017-12-12",18
"2017-12-13",14
"2017-12-14",11
"2017-12-15",11
"2017-12-16",14
"2017-12-17",24
"2017-12-18",13
"2017-12-19",15
"2017-12-20",12
"2017-12-21",20
"2017-12-22",15
"2017-12-23",12
"2017-12-24",15
"2017-12-25",21
"2017-12-26",13
"2017-12-27",17
"2017-12-28",12
"2017-12-29",12
"2017-12-30",19
"2017-12-31",24
"2018-01-01",18
"2018-01-02",18
"2018-01-03",20
"2018-01-04",12
"2018-01-05",15
"2018-01-06",22
"2018-01-07",21
"2018-01-08",17
"2018-01-09",14
"2018-01-10",22
"2018-01-11",19
"2018-01-12",19
"2018-01-13",20
"2018-01-14",22
"2018-01-15",21
"2018-01-16",23
"2018-01-17",19
"2018-01-18",15
"2018-01-19",18
"2018-01-20",22
"2018-01-21",35
"2018-01-22",23
"2018-01-23",18
"2018-01-24",16
"2018-01-25",18
"2018-01-26",21
"2018-01-27",16
"2018-01-28",36
"2018-01-29",26
"2018-01-30",23
"2018-01-31",21
"2018-02-01",22
"2018-02-02",21
"2018-02-03",27
"2018-02-04",25
"2018-02-05",26
"2018-02-06",30
"2018-02-07",29
"2018-02-08",19
"2018-02-09",20
"2018-02-10",25
"2018-02-11",34
"2018-02-12",30
"2018-02-13",27
"2018-02-14",30
"2018-02-15",30
"2018-02-16",25
"2018-02-17",36
"2018-02-18",43
"2018-02-19",45
"2018-02-20",48
"2018-02-21",47
"2018-02-22",49
"2018-02-23",33
"2018-02-24",57
"2018-02-25",59
"2018-02-26",50
"2018-02-27",47
"2018-02-28",41
"2018-03-01",51
"2018-03-02",40
"2018-03-03",58
"2018-03-04",80
"2018-03-05",63
"2018-03-06",60
"2018-03-07",44
"2018-03-08",40
"2018-03-09",37
"2018-03-10",50
"2018-03-11",72
"2018-03-12",71
"2018-03-13",63
"2018-03-14",49
"2018-03-15",63
"2018-03-16",72
"2018-03-17",72
"2018-03-18",98
"2018-03-19",76
"2018-03-20",70
"2018-03-21",67
"2018-03-22",53
"2018-03-23",45
"2018-03-24",64
"2018-03-25",76
"2018-03-26",54
"2018-03-27",58
"2018-03-28",58
"2018-03-29",53
"2018-03-30",58
"2018-03-31",76
"2018-04-01",100
"2018-04-02",72
"2018-04-03",79
"2018-04-04",70
"2018-04-05",54
"2018-04-06",47
"2018-04-07",64
"2018-04-08",94
"2018-04-09",94
"2018-04-10",75
"2018-04-11",64
"2018-04-12",66
"2018-04-13",67
"2018-04-14",79
"2018-04-15",89
"2018-04-16",74
"2018-04-17",61
"2018-04-18",60
"2018-04-19",59
