네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","설화수퍼펙팅쿠션"
"2017-08-01",53
"2017-08-02",43
"2017-08-03",42
"2017-08-04",53
"2017-08-05",58
"2017-08-06",68
"2017-08-07",57
"2017-08-08",66
"2017-08-09",65
"2017-08-10",66
"2017-08-11",66
"2017-08-12",61
"2017-08-13",98
"2017-08-14",80
"2017-08-15",100
"2017-08-16",96
"2017-08-17",93
"2017-08-18",69
"2017-08-19",69
"2017-08-20",74
"2017-08-21",85
"2017-08-22",78
"2017-08-23",69
"2017-08-24",63
"2017-08-25",62
"2017-08-26",45
"2017-08-27",52
"2017-08-28",67
"2017-08-29",79
"2017-08-30",78
"2017-08-31",79
"2017-09-01",61
"2017-09-02",48
"2017-09-03",62
"2017-09-04",62
"2017-09-05",54
"2017-09-06",51
"2017-09-07",55
"2017-09-08",49
"2017-09-09",55
"2017-09-10",58
"2017-09-11",55
"2017-09-12",54
"2017-09-13",80
"2017-09-14",63
"2017-09-15",43
"2017-09-16",48
"2017-09-17",48
"2017-09-18",62
"2017-09-19",67
"2017-09-20",71
"2017-09-21",74
"2017-09-22",58
"2017-09-23",40
"2017-09-24",52
"2017-09-25",71
"2017-09-26",64
"2017-09-27",54
"2017-09-28",50
"2017-09-29",41
"2017-09-30",32
"2017-10-01",44
"2017-10-02",47
"2017-10-03",30
"2017-10-04",33
"2017-10-05",46
"2017-10-06",48
"2017-10-07",45
"2017-10-08",58
"2017-10-09",73
"2017-10-10",60
"2017-10-11",100
"2017-10-12",57
"2017-10-13",51
"2017-10-14",64
"2017-10-15",55
"2017-10-16",64
"2017-10-17",62
"2017-10-18",51
"2017-10-19",56
"2017-10-20",49
"2017-10-21",38
"2017-10-22",55
"2017-10-23",60
"2017-10-24",60
"2017-10-25",53
"2017-10-26",43
"2017-10-27",47
"2017-10-28",51
"2017-10-29",52
"2017-10-30",59
"2017-10-31",62
"2017-11-01",73
"2017-11-02",62
"2017-11-03",54
"2017-11-04",47
"2017-11-05",42
"2017-11-06",65
"2017-11-07",56
"2017-11-08",53
"2017-11-09",59
"2017-11-10",47
"2017-11-11",39
"2017-11-12",48
"2017-11-13",60
"2017-11-14",63
"2017-11-15",55
"2017-11-16",49
"2017-11-17",46
"2017-11-18",65
"2017-11-19",66
"2017-11-20",72
"2017-11-21",63
"2017-11-22",63
"2017-11-23",65
"2017-11-24",52
"2017-11-25",47
"2017-11-26",64
"2017-11-27",64
"2017-11-28",61
"2017-11-29",61
"2017-11-30",52
"2017-12-01",44
"2017-12-02",57
"2017-12-03",69
"2017-12-04",79
"2017-12-05",73
"2017-12-06",81
"2017-12-07",63
"2017-12-08",55
"2017-12-09",46
"2017-12-10",54
"2017-12-11",67
"2017-12-12",59
"2017-12-13",72
"2017-12-14",65
"2017-12-15",57
"2017-12-16",47
"2017-12-17",67
"2017-12-18",81
"2017-12-19",69
"2017-12-20",72
"2017-12-21",52
"2017-12-22",48
"2017-12-23",40
"2017-12-24",47
"2017-12-25",60
"2017-12-26",67
"2017-12-27",68
"2017-12-28",65
"2017-12-29",45
"2017-12-30",37
"2017-12-31",46
"2018-01-01",73
"2018-01-02",70
"2018-01-03",61
"2018-01-04",55
"2018-01-05",59
"2018-01-06",42
"2018-01-07",53
"2018-01-08",56
"2018-01-09",64
"2018-01-10",60
"2018-01-11",59
"2018-01-12",52
"2018-01-13",42
"2018-01-14",66
"2018-01-15",80
"2018-01-16",78
"2018-01-17",60
"2018-01-18",62
"2018-01-19",56
"2018-01-20",50
"2018-01-21",53
"2018-01-22",61
"2018-01-23",62
"2018-01-24",60
"2018-01-25",59
"2018-01-26",58
"2018-01-27",43
"2018-01-28",65
"2018-01-29",55
"2018-01-30",66
"2018-01-31",49
"2018-02-01",61
"2018-02-02",46
"2018-02-03",48
"2018-02-04",73
"2018-02-05",71
"2018-02-06",67
"2018-02-07",57
"2018-02-08",70
"2018-02-09",52
"2018-02-10",53
"2018-02-11",56
"2018-02-12",50
"2018-02-13",38
"2018-02-14",28
"2018-02-15",29
"2018-02-16",35
"2018-02-17",53
"2018-02-18",76
"2018-02-19",60
"2018-02-20",53
"2018-02-21",54
"2018-02-22",58
"2018-02-23",48
"2018-02-24",46
"2018-02-25",44
"2018-02-26",62
"2018-02-27",57
"2018-02-28",63
"2018-03-01",57
"2018-03-02",44
"2018-03-03",35
"2018-03-04",53
"2018-03-05",58
"2018-03-06",60
"2018-03-07",55
"2018-03-08",49
"2018-03-09",35
"2018-03-10",42
"2018-03-11",52
"2018-03-12",58
"2018-03-13",57
"2018-03-14",43
"2018-03-15",44
"2018-03-16",44
"2018-03-17",41
"2018-03-18",38
"2018-03-19",55
"2018-03-20",47
"2018-03-21",40
"2018-03-22",43
"2018-03-23",36
"2018-03-24",37
"2018-03-25",46
"2018-03-26",54
"2018-03-27",51
"2018-03-28",55
"2018-03-29",54
"2018-03-30",52
"2018-03-31",35
"2018-04-01",59
"2018-04-02",49
"2018-04-03",43
"2018-04-04",47
"2018-04-05",50
"2018-04-06",51
"2018-04-07",37
"2018-04-08",37
"2018-04-09",47
"2018-04-10",49
"2018-04-11",47
"2018-04-12",46
"2018-04-13",41
"2018-04-14",33
"2018-04-15",38
"2018-04-16",47
"2018-04-17",48
"2018-04-18",45
"2018-04-19",49
