네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","ts샴푸"
"2017-08-01",30
"2017-08-02",31
"2017-08-03",29
"2017-08-04",30
"2017-08-05",24
"2017-08-06",28
"2017-08-07",39
"2017-08-08",31
"2017-08-09",30
"2017-08-10",29
"2017-08-11",23
"2017-08-12",24
"2017-08-13",51
"2017-08-14",24
"2017-08-15",34
"2017-08-16",34
"2017-08-17",29
"2017-08-18",28
"2017-08-19",29
"2017-08-20",53
"2017-08-21",40
"2017-08-22",36
"2017-08-23",35
"2017-08-24",26
"2017-08-25",30
"2017-08-26",32
"2017-08-27",31
"2017-08-28",37
"2017-08-29",33
"2017-08-30",25
"2017-08-31",39
"2017-09-01",27
"2017-09-02",31
"2017-09-03",34
"2017-09-04",36
"2017-09-05",36
"2017-09-06",40
"2017-09-07",38
"2017-09-08",33
"2017-09-09",34
"2017-09-10",44
"2017-09-11",41
"2017-09-12",41
"2017-09-13",31
"2017-09-14",33
"2017-09-15",31
"2017-09-16",31
"2017-09-17",43
"2017-09-18",48
"2017-09-19",43
"2017-09-20",33
"2017-09-21",38
"2017-09-22",26
"2017-09-23",21
"2017-09-24",28
"2017-09-25",38
"2017-09-26",42
"2017-09-27",50
"2017-09-28",50
"2017-09-29",24
"2017-09-30",25
"2017-10-01",38
"2017-10-02",23
"2017-10-03",27
"2017-10-04",22
"2017-10-05",30
"2017-10-06",41
"2017-10-07",44
"2017-10-08",56
"2017-10-09",80
"2017-10-10",58
"2017-10-11",61
"2017-10-12",52
"2017-10-13",58
"2017-10-14",42
"2017-10-15",51
"2017-10-16",57
"2017-10-17",45
"2017-10-18",50
"2017-10-19",66
"2017-10-20",40
"2017-10-21",37
"2017-10-22",83
"2017-10-23",58
"2017-10-24",59
"2017-10-25",51
"2017-10-26",47
"2017-10-27",32
"2017-10-28",31
"2017-10-29",53
"2017-10-30",60
"2017-10-31",48
"2017-11-01",60
"2017-11-02",53
"2017-11-03",55
"2017-11-04",40
"2017-11-05",48
"2017-11-06",62
"2017-11-07",64
"2017-11-08",58
"2017-11-09",49
"2017-11-10",55
"2017-11-11",44
"2017-11-12",51
"2017-11-13",60
"2017-11-14",64
"2017-11-15",51
"2017-11-16",56
"2017-11-17",61
"2017-11-18",39
"2017-11-19",76
"2017-11-20",72
"2017-11-21",53
"2017-11-22",55
"2017-11-23",46
"2017-11-24",40
"2017-11-25",65
"2017-11-26",84
"2017-11-27",66
"2017-11-28",53
"2017-11-29",58
"2017-11-30",60
"2017-12-01",52
"2017-12-02",51
"2017-12-03",86
"2017-12-04",68
"2017-12-05",76
"2017-12-06",57
"2017-12-07",75
"2017-12-08",49
"2017-12-09",53
"2017-12-10",95
"2017-12-11",64
"2017-12-12",66
"2017-12-13",56
"2017-12-14",50
"2017-12-15",53
"2017-12-16",45
"2017-12-17",86
"2017-12-18",67
"2017-12-19",65
"2017-12-20",58
"2017-12-21",48
"2017-12-22",54
"2017-12-23",31
"2017-12-24",42
"2017-12-25",87
"2017-12-26",67
"2017-12-27",67
"2017-12-28",53
"2017-12-29",57
"2017-12-30",57
"2017-12-31",73
"2018-01-01",68
"2018-01-02",82
"2018-01-03",71
"2018-01-04",78
"2018-01-05",46
"2018-01-06",53
"2018-01-07",80
"2018-01-08",76
"2018-01-09",68
"2018-01-10",65
"2018-01-11",75
"2018-01-12",45
"2018-01-13",49
"2018-01-14",91
"2018-01-15",63
"2018-01-16",60
"2018-01-17",52
"2018-01-18",47
"2018-01-19",40
"2018-01-20",55
"2018-01-21",100
"2018-01-22",64
"2018-01-23",61
"2018-01-24",60
"2018-01-25",45
"2018-01-26",30
"2018-01-27",44
"2018-01-28",58
"2018-01-29",52
"2018-01-30",44
"2018-01-31",38
"2018-02-01",49
"2018-02-02",36
"2018-02-03",32
"2018-02-04",63
"2018-02-05",50
"2018-02-06",42
"2018-02-07",48
"2018-02-08",39
"2018-02-09",43
"2018-02-10",36
"2018-02-11",41
"2018-02-12",36
"2018-02-13",25
"2018-02-14",24
"2018-02-15",29
"2018-02-16",44
"2018-02-17",37
"2018-02-18",67
"2018-02-19",54
"2018-02-20",51
"2018-02-21",44
"2018-02-22",48
"2018-02-23",40
"2018-02-24",46
"2018-02-25",58
"2018-02-26",59
"2018-02-27",71
"2018-02-28",48
"2018-03-01",79
"2018-03-02",54
"2018-03-03",51
"2018-03-04",62
"2018-03-05",76
"2018-03-06",47
"2018-03-07",49
"2018-03-08",43
"2018-03-09",56
"2018-03-10",36
"2018-03-11",67
"2018-03-12",55
"2018-03-13",44
"2018-03-14",44
"2018-03-15",36
"2018-03-16",35
"2018-03-17",32
"2018-03-18",60
"2018-03-19",56
"2018-03-20",57
"2018-03-21",56
"2018-03-22",41
"2018-03-23",34
"2018-03-24",38
"2018-03-25",60
"2018-03-26",51
"2018-03-27",45
"2018-03-28",51
"2018-03-29",44
"2018-03-30",38
"2018-03-31",35
"2018-04-01",70
"2018-04-02",50
"2018-04-03",45
"2018-04-04",60
"2018-04-05",54
"2018-04-06",42
"2018-04-07",39
"2018-04-08",52
"2018-04-09",56
"2018-04-10",46
"2018-04-11",53
"2018-04-12",48
"2018-04-13",49
"2018-04-14",35
"2018-04-15",47
"2018-04-16",60
"2018-04-17",46
"2018-04-18",50
"2018-04-19",45
