네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","설화수"
"2017-08-01",23
"2017-08-02",28
"2017-08-03",17
"2017-08-04",18
"2017-08-05",20
"2017-08-06",22
"2017-08-07",38
"2017-08-08",22
"2017-08-09",25
"2017-08-10",31
"2017-08-11",27
"2017-08-12",19
"2017-08-13",22
"2017-08-14",24
"2017-08-15",27
"2017-08-16",22
"2017-08-17",29
"2017-08-18",22
"2017-08-19",15
"2017-08-20",24
"2017-08-21",34
"2017-08-22",27
"2017-08-23",22
"2017-08-24",24
"2017-08-25",14
"2017-08-26",20
"2017-08-27",31
"2017-08-28",27
"2017-08-29",31
"2017-08-30",36
"2017-08-31",30
"2017-09-01",30
"2017-09-02",28
"2017-09-03",29
"2017-09-04",27
"2017-09-05",37
"2017-09-06",31
"2017-09-07",33
"2017-09-08",28
"2017-09-09",29
"2017-09-10",28
"2017-09-11",32
"2017-09-12",41
"2017-09-13",33
"2017-09-14",43
"2017-09-15",33
"2017-09-16",39
"2017-09-17",45
"2017-09-18",55
"2017-09-19",56
"2017-09-20",46
"2017-09-21",47
"2017-09-22",49
"2017-09-23",42
"2017-09-24",46
"2017-09-25",69
"2017-09-26",76
"2017-09-27",56
"2017-09-28",54
"2017-09-29",33
"2017-09-30",26
"2017-10-01",34
"2017-10-02",41
"2017-10-03",31
"2017-10-04",38
"2017-10-05",60
"2017-10-06",52
"2017-10-07",44
"2017-10-08",39
"2017-10-09",48
"2017-10-10",41
"2017-10-11",38
"2017-10-12",43
"2017-10-13",29
"2017-10-14",39
"2017-10-15",43
"2017-10-16",49
"2017-10-17",52
"2017-10-18",57
"2017-10-19",52
"2017-10-20",40
"2017-10-21",26
"2017-10-22",29
"2017-10-23",43
"2017-10-24",37
"2017-10-25",40
"2017-10-26",40
"2017-10-27",31
"2017-10-28",33
"2017-10-29",35
"2017-10-30",44
"2017-10-31",31
"2017-11-01",40
"2017-11-02",44
"2017-11-03",35
"2017-11-04",35
"2017-11-05",48
"2017-11-06",48
"2017-11-07",40
"2017-11-08",34
"2017-11-09",37
"2017-11-10",42
"2017-11-11",39
"2017-11-12",56
"2017-11-13",52
"2017-11-14",42
"2017-11-15",51
"2017-11-16",36
"2017-11-17",36
"2017-11-18",35
"2017-11-19",29
"2017-11-20",47
"2017-11-21",45
"2017-11-22",35
"2017-11-23",30
"2017-11-24",36
"2017-11-25",30
"2017-11-26",41
"2017-11-27",43
"2017-11-28",45
"2017-11-29",53
"2017-11-30",49
"2017-12-01",43
"2017-12-02",36
"2017-12-03",42
"2017-12-04",45
"2017-12-05",42
"2017-12-06",35
"2017-12-07",33
"2017-12-08",28
"2017-12-09",28
"2017-12-10",34
"2017-12-11",39
"2017-12-12",40
"2017-12-13",38
"2017-12-14",34
"2017-12-15",47
"2017-12-16",44
"2017-12-17",49
"2017-12-18",67
"2017-12-19",56
"2017-12-20",40
"2017-12-21",31
"2017-12-22",39
"2017-12-23",34
"2017-12-24",28
"2017-12-25",33
"2017-12-26",41
"2017-12-27",40
"2017-12-28",26
"2017-12-29",38
"2017-12-30",42
"2017-12-31",28
"2018-01-01",32
"2018-01-02",40
"2018-01-03",58
"2018-01-04",37
"2018-01-05",55
"2018-01-06",39
"2018-01-07",39
"2018-01-08",32
"2018-01-09",46
"2018-01-10",46
"2018-01-11",55
"2018-01-12",44
"2018-01-13",51
"2018-01-14",50
"2018-01-15",66
"2018-01-16",56
"2018-01-17",49
"2018-01-18",44
"2018-01-19",47
"2018-01-20",40
"2018-01-21",59
"2018-01-22",57
"2018-01-23",59
"2018-01-24",62
"2018-01-25",47
"2018-01-26",51
"2018-01-27",59
"2018-01-28",63
"2018-01-29",67
"2018-01-30",76
"2018-01-31",57
"2018-02-01",61
"2018-02-02",56
"2018-02-03",47
"2018-02-04",73
"2018-02-05",76
"2018-02-06",79
"2018-02-07",88
"2018-02-08",100
"2018-02-09",69
"2018-02-10",58
"2018-02-11",62
"2018-02-12",62
"2018-02-13",59
"2018-02-14",31
"2018-02-15",37
"2018-02-16",46
"2018-02-17",60
"2018-02-18",64
"2018-02-19",90
"2018-02-20",67
"2018-02-21",43
"2018-02-22",57
"2018-02-23",42
"2018-02-24",37
"2018-02-25",35
"2018-02-26",42
"2018-02-27",44
"2018-02-28",49
"2018-03-01",46
"2018-03-02",47
"2018-03-03",40
"2018-03-04",49
"2018-03-05",47
"2018-03-06",41
"2018-03-07",37
"2018-03-08",35
"2018-03-09",25
"2018-03-10",25
"2018-03-11",33
"2018-03-12",36
"2018-03-13",44
"2018-03-14",33
"2018-03-15",39
"2018-03-16",34
"2018-03-17",32
"2018-03-18",48
"2018-03-19",46
"2018-03-20",50
"2018-03-21",59
"2018-03-22",33
"2018-03-23",35
"2018-03-24",34
"2018-03-25",45
"2018-03-26",36
"2018-03-27",48
"2018-03-28",36
"2018-03-29",39
"2018-03-30",35
"2018-03-31",32
"2018-04-01",44
"2018-04-02",62
"2018-04-03",49
"2018-04-04",38
"2018-04-05",31
"2018-04-06",30
"2018-04-07",28
"2018-04-08",28
"2018-04-09",37
"2018-04-10",39
"2018-04-11",37
"2018-04-12",46
"2018-04-13",44
"2018-04-14",44
"2018-04-15",55
"2018-04-16",61
"2018-04-17",49
"2018-04-18",55
"2018-04-19",48
