네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","샴푸"
"2017-08-01",58
"2017-08-02",59
"2017-08-03",56
"2017-08-04",49
"2017-08-05",43
"2017-08-06",52
"2017-08-07",61
"2017-08-08",64
"2017-08-09",68
"2017-08-10",56
"2017-08-11",46
"2017-08-12",39
"2017-08-13",56
"2017-08-14",50
"2017-08-15",73
"2017-08-16",70
"2017-08-17",54
"2017-08-18",56
"2017-08-19",36
"2017-08-20",50
"2017-08-21",66
"2017-08-22",62
"2017-08-23",58
"2017-08-24",54
"2017-08-25",45
"2017-08-26",45
"2017-08-27",58
"2017-08-28",55
"2017-08-29",60
"2017-08-30",51
"2017-08-31",49
"2017-09-01",39
"2017-09-02",41
"2017-09-03",59
"2017-09-04",52
"2017-09-05",64
"2017-09-06",55
"2017-09-07",48
"2017-09-08",46
"2017-09-09",34
"2017-09-10",44
"2017-09-11",58
"2017-09-12",61
"2017-09-13",61
"2017-09-14",39
"2017-09-15",46
"2017-09-16",33
"2017-09-17",43
"2017-09-18",61
"2017-09-19",55
"2017-09-20",52
"2017-09-21",45
"2017-09-22",31
"2017-09-23",32
"2017-09-24",38
"2017-09-25",48
"2017-09-26",49
"2017-09-27",43
"2017-09-28",27
"2017-09-29",18
"2017-09-30",19
"2017-10-01",28
"2017-10-02",22
"2017-10-03",19
"2017-10-04",21
"2017-10-05",31
"2017-10-06",36
"2017-10-07",34
"2017-10-08",46
"2017-10-09",66
"2017-10-10",62
"2017-10-11",61
"2017-10-12",47
"2017-10-13",40
"2017-10-14",33
"2017-10-15",50
"2017-10-16",64
"2017-10-17",57
"2017-10-18",61
"2017-10-19",48
"2017-10-20",44
"2017-10-21",39
"2017-10-22",57
"2017-10-23",59
"2017-10-24",59
"2017-10-25",65
"2017-10-26",56
"2017-10-27",43
"2017-10-28",47
"2017-10-29",66
"2017-10-30",72
"2017-10-31",64
"2017-11-01",70
"2017-11-02",61
"2017-11-03",59
"2017-11-04",46
"2017-11-05",73
"2017-11-06",69
"2017-11-07",75
"2017-11-08",74
"2017-11-09",70
"2017-11-10",48
"2017-11-11",38
"2017-11-12",72
"2017-11-13",72
"2017-11-14",72
"2017-11-15",62
"2017-11-16",56
"2017-11-17",43
"2017-11-18",39
"2017-11-19",57
"2017-11-20",76
"2017-11-21",63
"2017-11-22",69
"2017-11-23",57
"2017-11-24",44
"2017-11-25",51
"2017-11-26",74
"2017-11-27",72
"2017-11-28",76
"2017-11-29",66
"2017-11-30",61
"2017-12-01",60
"2017-12-02",52
"2017-12-03",73
"2017-12-04",86
"2017-12-05",73
"2017-12-06",77
"2017-12-07",63
"2017-12-08",47
"2017-12-09",47
"2017-12-10",79
"2017-12-11",72
"2017-12-12",84
"2017-12-13",73
"2017-12-14",73
"2017-12-15",57
"2017-12-16",57
"2017-12-17",82
"2017-12-18",92
"2017-12-19",74
"2017-12-20",61
"2017-12-21",66
"2017-12-22",52
"2017-12-23",38
"2017-12-24",55
"2017-12-25",81
"2017-12-26",82
"2017-12-27",79
"2017-12-28",63
"2017-12-29",44
"2017-12-30",48
"2017-12-31",39
"2018-01-01",83
"2018-01-02",100
"2018-01-03",91
"2018-01-04",79
"2018-01-05",49
"2018-01-06",50
"2018-01-07",74
"2018-01-08",76
"2018-01-09",80
"2018-01-10",72
"2018-01-11",68
"2018-01-12",52
"2018-01-13",52
"2018-01-14",86
"2018-01-15",77
"2018-01-16",82
"2018-01-17",75
"2018-01-18",63
"2018-01-19",47
"2018-01-20",60
"2018-01-21",78
"2018-01-22",65
"2018-01-23",67
"2018-01-24",67
"2018-01-25",62
"2018-01-26",57
"2018-01-27",51
"2018-01-28",74
"2018-01-29",88
"2018-01-30",76
"2018-01-31",69
"2018-02-01",82
"2018-02-02",58
"2018-02-03",66
"2018-02-04",81
"2018-02-05",84
"2018-02-06",83
"2018-02-07",83
"2018-02-08",62
"2018-02-09",55
"2018-02-10",44
"2018-02-11",68
"2018-02-12",57
"2018-02-13",41
"2018-02-14",33
"2018-02-15",29
"2018-02-16",37
"2018-02-17",43
"2018-02-18",63
"2018-02-19",80
"2018-02-20",75
"2018-02-21",78
"2018-02-22",70
"2018-02-23",50
"2018-02-24",58
"2018-02-25",77
"2018-02-26",78
"2018-02-27",70
"2018-02-28",73
"2018-03-01",74
"2018-03-02",72
"2018-03-03",56
"2018-03-04",73
"2018-03-05",100
"2018-03-06",67
"2018-03-07",73
"2018-03-08",59
"2018-03-09",56
"2018-03-10",41
"2018-03-11",68
"2018-03-12",74
"2018-03-13",67
"2018-03-14",59
"2018-03-15",69
"2018-03-16",48
"2018-03-17",49
"2018-03-18",73
"2018-03-19",79
"2018-03-20",79
"2018-03-21",67
"2018-03-22",67
"2018-03-23",50
"2018-03-24",68
"2018-03-25",63
"2018-03-26",73
"2018-03-27",68
"2018-03-28",60
"2018-03-29",63
"2018-03-30",46
"2018-03-31",41
"2018-04-01",64
"2018-04-02",62
"2018-04-03",67
"2018-04-04",59
"2018-04-05",71
"2018-04-06",52
"2018-04-07",46
"2018-04-08",75
"2018-04-09",67
"2018-04-10",78
"2018-04-11",68
"2018-04-12",55
"2018-04-13",38
"2018-04-14",46
"2018-04-15",63
"2018-04-16",86
"2018-04-17",73
"2018-04-18",64
"2018-04-19",54
