네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","카밀핸드크림"
"2017-08-01",9
"2017-08-02",9
"2017-08-03",7
"2017-08-04",5
"2017-08-05",3
"2017-08-06",7
"2017-08-07",9
"2017-08-08",8
"2017-08-09",8
"2017-08-10",10
"2017-08-11",7
"2017-08-12",7
"2017-08-13",9
"2017-08-14",18
"2017-08-15",8
"2017-08-16",12
"2017-08-17",11
"2017-08-18",9
"2017-08-19",7
"2017-08-20",8
"2017-08-21",11
"2017-08-22",9
"2017-08-23",12
"2017-08-24",12
"2017-08-25",12
"2017-08-26",10
"2017-08-27",15
"2017-08-28",14
"2017-08-29",23
"2017-08-30",26
"2017-08-31",27
"2017-09-01",21
"2017-09-02",23
"2017-09-03",20
"2017-09-04",26
"2017-09-05",24
"2017-09-06",28
"2017-09-07",28
"2017-09-08",22
"2017-09-09",16
"2017-09-10",14
"2017-09-11",30
"2017-09-12",27
"2017-09-13",28
"2017-09-14",26
"2017-09-15",26
"2017-09-16",16
"2017-09-17",30
"2017-09-18",31
"2017-09-19",47
"2017-09-20",31
"2017-09-21",30
"2017-09-22",28
"2017-09-23",21
"2017-09-24",22
"2017-09-25",34
"2017-09-26",34
"2017-09-27",29
"2017-09-28",34
"2017-09-29",27
"2017-09-30",16
"2017-10-01",20
"2017-10-02",20
"2017-10-03",15
"2017-10-04",20
"2017-10-05",20
"2017-10-06",25
"2017-10-07",30
"2017-10-08",29
"2017-10-09",35
"2017-10-10",37
"2017-10-11",36
"2017-10-12",44
"2017-10-13",46
"2017-10-14",37
"2017-10-15",53
"2017-10-16",57
"2017-10-17",53
"2017-10-18",52
"2017-10-19",47
"2017-10-20",44
"2017-10-21",29
"2017-10-22",33
"2017-10-23",45
"2017-10-24",44
"2017-10-25",48
"2017-10-26",43
"2017-10-27",33
"2017-10-28",28
"2017-10-29",42
"2017-10-30",57
"2017-10-31",61
"2017-11-01",56
"2017-11-02",59
"2017-11-03",42
"2017-11-04",34
"2017-11-05",55
"2017-11-06",61
"2017-11-07",49
"2017-11-08",45
"2017-11-09",59
"2017-11-10",39
"2017-11-11",49
"2017-11-12",49
"2017-11-13",55
"2017-11-14",68
"2017-11-15",67
"2017-11-16",74
"2017-11-17",64
"2017-11-18",46
"2017-11-19",79
"2017-11-20",90
"2017-11-21",82
"2017-11-22",74
"2017-11-23",76
"2017-11-24",72
"2017-11-25",55
"2017-11-26",67
"2017-11-27",72
"2017-11-28",63
"2017-11-29",61
"2017-11-30",61
"2017-12-01",76
"2017-12-02",58
"2017-12-03",90
"2017-12-04",83
"2017-12-05",76
"2017-12-06",76
"2017-12-07",63
"2017-12-08",64
"2017-12-09",54
"2017-12-10",53
"2017-12-11",86
"2017-12-12",82
"2017-12-13",88
"2017-12-14",76
"2017-12-15",70
"2017-12-16",64
"2017-12-17",90
"2017-12-18",100
"2017-12-19",74
"2017-12-20",73
"2017-12-21",59
"2017-12-22",46
"2017-12-23",32
"2017-12-24",37
"2017-12-25",41
"2017-12-26",65
"2017-12-27",50
"2017-12-28",43
"2017-12-29",39
"2017-12-30",26
"2017-12-31",23
"2018-01-01",40
"2018-01-02",49
"2018-01-03",51
"2018-01-04",50
"2018-01-05",38
"2018-01-06",27
"2018-01-07",34
"2018-01-08",49
"2018-01-09",47
"2018-01-10",40
"2018-01-11",41
"2018-01-12",38
"2018-01-13",22
"2018-01-14",34
"2018-01-15",35
"2018-01-16",41
"2018-01-17",38
"2018-01-18",36
"2018-01-19",29
"2018-01-20",25
"2018-01-21",28
"2018-01-22",33
"2018-01-23",45
"2018-01-24",41
"2018-01-25",52
"2018-01-26",36
"2018-01-27",29
"2018-01-28",38
"2018-01-29",54
"2018-01-30",50
"2018-01-31",51
"2018-02-01",51
"2018-02-02",41
"2018-02-03",29
"2018-02-04",44
"2018-02-05",66
"2018-02-06",60
"2018-02-07",60
"2018-02-08",68
"2018-02-09",38
"2018-02-10",34
"2018-02-11",43
"2018-02-12",51
"2018-02-13",38
"2018-02-14",34
"2018-02-15",36
"2018-02-16",33
"2018-02-17",39
"2018-02-18",46
"2018-02-19",64
"2018-02-20",45
"2018-02-21",47
"2018-02-22",45
"2018-02-23",34
"2018-02-24",29
"2018-02-25",32
"2018-02-26",38
"2018-02-27",39
"2018-02-28",28
"2018-03-01",25
"2018-03-02",31
"2018-03-03",21
"2018-03-04",22
"2018-03-05",25
"2018-03-06",34
"2018-03-07",29
"2018-03-08",29
"2018-03-09",26
"2018-03-10",22
"2018-03-11",19
"2018-03-12",26
"2018-03-13",27
"2018-03-14",20
"2018-03-15",22
"2018-03-16",15
"2018-03-17",18
"2018-03-18",22
"2018-03-19",29
"2018-03-20",24
"2018-03-21",29
"2018-03-22",32
"2018-03-23",23
"2018-03-24",21
"2018-03-25",22
"2018-03-26",22
"2018-03-27",24
"2018-03-28",20
"2018-03-29",19
"2018-03-30",57
"2018-03-31",71
"2018-04-01",73
"2018-04-02",61
"2018-04-03",48
"2018-04-04",62
"2018-04-05",44
"2018-04-06",29
"2018-04-07",29
"2018-04-08",26
"2018-04-09",48
"2018-04-10",46
"2018-04-11",34
"2018-04-12",30
"2018-04-13",41
"2018-04-14",27
"2018-04-15",37
"2018-04-16",37
"2018-04-17",40
"2018-04-18",40
"2018-04-19",30
