네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","입생로랑틴트"
"2017-08-01",33
"2017-08-02",31
"2017-08-03",29
"2017-08-04",31
"2017-08-05",26
"2017-08-06",26
"2017-08-07",31
"2017-08-08",31
"2017-08-09",27
"2017-08-10",30
"2017-08-11",28
"2017-08-12",32
"2017-08-13",35
"2017-08-14",41
"2017-08-15",40
"2017-08-16",31
"2017-08-17",26
"2017-08-18",25
"2017-08-19",24
"2017-08-20",26
"2017-08-21",32
"2017-08-22",29
"2017-08-23",27
"2017-08-24",24
"2017-08-25",28
"2017-08-26",26
"2017-08-27",31
"2017-08-28",35
"2017-08-29",44
"2017-08-30",49
"2017-08-31",55
"2017-09-01",53
"2017-09-02",46
"2017-09-03",44
"2017-09-04",48
"2017-09-05",39
"2017-09-06",42
"2017-09-07",42
"2017-09-08",34
"2017-09-09",36
"2017-09-10",39
"2017-09-11",31
"2017-09-12",35
"2017-09-13",27
"2017-09-14",20
"2017-09-15",22
"2017-09-16",23
"2017-09-17",25
"2017-09-18",29
"2017-09-19",30
"2017-09-20",24
"2017-09-21",24
"2017-09-22",21
"2017-09-23",24
"2017-09-24",20
"2017-09-25",25
"2017-09-26",33
"2017-09-27",33
"2017-09-28",26
"2017-09-29",18
"2017-09-30",23
"2017-10-01",25
"2017-10-02",32
"2017-10-03",28
"2017-10-04",27
"2017-10-05",32
"2017-10-06",34
"2017-10-07",27
"2017-10-08",42
"2017-10-09",45
"2017-10-10",68
"2017-10-11",60
"2017-10-12",55
"2017-10-13",35
"2017-10-14",43
"2017-10-15",51
"2017-10-16",54
"2017-10-17",59
"2017-10-18",47
"2017-10-19",56
"2017-10-20",38
"2017-10-21",39
"2017-10-22",48
"2017-10-23",58
"2017-10-24",52
"2017-10-25",51
"2017-10-26",48
"2017-10-27",45
"2017-10-28",41
"2017-10-29",48
"2017-10-30",53
"2017-10-31",53
"2017-11-01",72
"2017-11-02",52
"2017-11-03",46
"2017-11-04",46
"2017-11-05",50
"2017-11-06",67
"2017-11-07",64
"2017-11-08",62
"2017-11-09",53
"2017-11-10",47
"2017-11-11",50
"2017-11-12",51
"2017-11-13",65
"2017-11-14",52
"2017-11-15",49
"2017-11-16",48
"2017-11-17",50
"2017-11-18",46
"2017-11-19",52
"2017-11-20",53
"2017-11-21",66
"2017-11-22",67
"2017-11-23",61
"2017-11-24",54
"2017-11-25",43
"2017-11-26",53
"2017-11-27",67
"2017-11-28",67
"2017-11-29",57
"2017-11-30",56
"2017-12-01",63
"2017-12-02",64
"2017-12-03",77
"2017-12-04",68
"2017-12-05",66
"2017-12-06",67
"2017-12-07",72
"2017-12-08",55
"2017-12-09",41
"2017-12-10",52
"2017-12-11",56
"2017-12-12",53
"2017-12-13",45
"2017-12-14",43
"2017-12-15",49
"2017-12-16",48
"2017-12-17",67
"2017-12-18",67
"2017-12-19",59
"2017-12-20",53
"2017-12-21",61
"2017-12-22",45
"2017-12-23",45
"2017-12-24",47
"2017-12-25",56
"2017-12-26",61
"2017-12-27",55
"2017-12-28",53
"2017-12-29",47
"2017-12-30",50
"2017-12-31",54
"2018-01-01",58
"2018-01-02",58
"2018-01-03",66
"2018-01-04",59
"2018-01-05",60
"2018-01-06",66
"2018-01-07",78
"2018-01-08",68
"2018-01-09",70
"2018-01-10",57
"2018-01-11",60
"2018-01-12",58
"2018-01-13",54
"2018-01-14",64
"2018-01-15",71
"2018-01-16",63
"2018-01-17",55
"2018-01-18",53
"2018-01-19",48
"2018-01-20",50
"2018-01-21",56
"2018-01-22",61
"2018-01-23",73
"2018-01-24",61
"2018-01-25",65
"2018-01-26",68
"2018-01-27",69
"2018-01-28",75
"2018-01-29",68
"2018-01-30",71
"2018-01-31",61
"2018-02-01",73
"2018-02-02",62
"2018-02-03",57
"2018-02-04",69
"2018-02-05",81
"2018-02-06",77
"2018-02-07",68
"2018-02-08",77
"2018-02-09",68
"2018-02-10",74
"2018-02-11",90
"2018-02-12",72
"2018-02-13",57
"2018-02-14",63
"2018-02-15",66
"2018-02-16",70
"2018-02-17",77
"2018-02-18",90
"2018-02-19",100
"2018-02-20",90
"2018-02-21",81
"2018-02-22",82
"2018-02-23",71
"2018-02-24",80
"2018-02-25",86
"2018-02-26",81
"2018-02-27",85
"2018-02-28",78
"2018-03-01",85
"2018-03-02",61
"2018-03-03",71
"2018-03-04",69
"2018-03-05",72
"2018-03-06",59
"2018-03-07",61
"2018-03-08",69
"2018-03-09",78
"2018-03-10",80
"2018-03-11",75
"2018-03-12",69
"2018-03-13",70
"2018-03-14",60
"2018-03-15",53
"2018-03-16",48
"2018-03-17",49
"2018-03-18",55
"2018-03-19",44
"2018-03-20",54
"2018-03-21",52
"2018-03-22",45
"2018-03-23",45
"2018-03-24",51
"2018-03-25",53
"2018-03-26",45
"2018-03-27",44
"2018-03-28",38
"2018-03-29",36
"2018-03-30",35
"2018-03-31",33
"2018-04-01",49
"2018-04-02",52
"2018-04-03",45
"2018-04-04",44
"2018-04-05",38
"2018-04-06",32
"2018-04-07",39
"2018-04-08",41
"2018-04-09",41
"2018-04-10",47
"2018-04-11",49
"2018-04-12",38
"2018-04-13",37
"2018-04-14",37
"2018-04-15",47
"2018-04-16",53
"2018-04-17",47
"2018-04-18",42
"2018-04-19",42
