네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","남자향수"
"2017-08-01",42
"2017-08-02",34
"2017-08-03",29
"2017-08-04",30
"2017-08-05",25
"2017-08-06",32
"2017-08-07",43
"2017-08-08",42
"2017-08-09",31
"2017-08-10",42
"2017-08-11",38
"2017-08-12",37
"2017-08-13",38
"2017-08-14",39
"2017-08-15",36
"2017-08-16",42
"2017-08-17",32
"2017-08-18",30
"2017-08-19",25
"2017-08-20",38
"2017-08-21",50
"2017-08-22",46
"2017-08-23",50
"2017-08-24",41
"2017-08-25",30
"2017-08-26",33
"2017-08-27",31
"2017-08-28",40
"2017-08-29",53
"2017-08-30",41
"2017-08-31",37
"2017-09-01",35
"2017-09-02",37
"2017-09-03",41
"2017-09-04",44
"2017-09-05",51
"2017-09-06",47
"2017-09-07",40
"2017-09-08",43
"2017-09-09",41
"2017-09-10",42
"2017-09-11",49
"2017-09-12",45
"2017-09-13",41
"2017-09-14",44
"2017-09-15",35
"2017-09-16",39
"2017-09-17",42
"2017-09-18",36
"2017-09-19",44
"2017-09-20",42
"2017-09-21",38
"2017-09-22",34
"2017-09-23",34
"2017-09-24",41
"2017-09-25",46
"2017-09-26",52
"2017-09-27",40
"2017-09-28",43
"2017-09-29",35
"2017-09-30",36
"2017-10-01",32
"2017-10-02",31
"2017-10-03",26
"2017-10-04",29
"2017-10-05",29
"2017-10-06",35
"2017-10-07",32
"2017-10-08",35
"2017-10-09",45
"2017-10-10",43
"2017-10-11",51
"2017-10-12",47
"2017-10-13",34
"2017-10-14",38
"2017-10-15",36
"2017-10-16",40
"2017-10-17",42
"2017-10-18",46
"2017-10-19",34
"2017-10-20",38
"2017-10-21",32
"2017-10-22",40
"2017-10-23",42
"2017-10-24",48
"2017-10-25",48
"2017-10-26",49
"2017-10-27",49
"2017-10-28",48
"2017-10-29",49
"2017-10-30",52
"2017-10-31",50
"2017-11-01",60
"2017-11-02",57
"2017-11-03",54
"2017-11-04",57
"2017-11-05",48
"2017-11-06",66
"2017-11-07",63
"2017-11-08",59
"2017-11-09",68
"2017-11-10",47
"2017-11-11",51
"2017-11-12",47
"2017-11-13",60
"2017-11-14",55
"2017-11-15",57
"2017-11-16",39
"2017-11-17",41
"2017-11-18",36
"2017-11-19",45
"2017-11-20",51
"2017-11-21",55
"2017-11-22",46
"2017-11-23",34
"2017-11-24",41
"2017-11-25",43
"2017-11-26",58
"2017-11-27",49
"2017-11-28",45
"2017-11-29",48
"2017-11-30",45
"2017-12-01",48
"2017-12-02",43
"2017-12-03",54
"2017-12-04",72
"2017-12-05",67
"2017-12-06",56
"2017-12-07",56
"2017-12-08",55
"2017-12-09",49
"2017-12-10",59
"2017-12-11",76
"2017-12-12",68
"2017-12-13",63
"2017-12-14",58
"2017-12-15",55
"2017-12-16",59
"2017-12-17",59
"2017-12-18",77
"2017-12-19",71
"2017-12-20",81
"2017-12-21",56
"2017-12-22",57
"2017-12-23",50
"2017-12-24",46
"2017-12-25",74
"2017-12-26",68
"2017-12-27",54
"2017-12-28",53
"2017-12-29",50
"2017-12-30",46
"2017-12-31",42
"2018-01-01",60
"2018-01-02",73
"2018-01-03",57
"2018-01-04",61
"2018-01-05",53
"2018-01-06",49
"2018-01-07",66
"2018-01-08",71
"2018-01-09",56
"2018-01-10",55
"2018-01-11",51
"2018-01-12",54
"2018-01-13",40
"2018-01-14",57
"2018-01-15",61
"2018-01-16",74
"2018-01-17",53
"2018-01-18",67
"2018-01-19",49
"2018-01-20",47
"2018-01-21",58
"2018-01-22",53
"2018-01-23",58
"2018-01-24",50
"2018-01-25",56
"2018-01-26",48
"2018-01-27",49
"2018-01-28",63
"2018-01-29",66
"2018-01-30",78
"2018-01-31",59
"2018-02-01",73
"2018-02-02",66
"2018-02-03",70
"2018-02-04",99
"2018-02-05",93
"2018-02-06",100
"2018-02-07",91
"2018-02-08",81
"2018-02-09",78
"2018-02-10",64
"2018-02-11",70
"2018-02-12",96
"2018-02-13",66
"2018-02-14",60
"2018-02-15",55
"2018-02-16",46
"2018-02-17",66
"2018-02-18",76
"2018-02-19",77
"2018-02-20",63
"2018-02-21",76
"2018-02-22",63
"2018-02-23",47
"2018-02-24",51
"2018-02-25",50
"2018-02-26",61
"2018-02-27",61
"2018-02-28",53
"2018-03-01",61
"2018-03-02",63
"2018-03-03",50
"2018-03-04",63
"2018-03-05",55
"2018-03-06",65
"2018-03-07",60
"2018-03-08",52
"2018-03-09",46
"2018-03-10",52
"2018-03-11",55
"2018-03-12",60
"2018-03-13",56
"2018-03-14",57
"2018-03-15",55
"2018-03-16",47
"2018-03-17",46
"2018-03-18",53
"2018-03-19",52
"2018-03-20",55
"2018-03-21",57
"2018-03-22",59
"2018-03-23",40
"2018-03-24",46
"2018-03-25",49
"2018-03-26",55
"2018-03-27",48
"2018-03-28",54
"2018-03-29",51
"2018-03-30",49
"2018-03-31",48
"2018-04-01",66
"2018-04-02",71
"2018-04-03",63
"2018-04-04",63
"2018-04-05",65
"2018-04-06",54
"2018-04-07",57
"2018-04-08",66
"2018-04-09",69
"2018-04-10",65
"2018-04-11",71
"2018-04-12",53
"2018-04-13",62
"2018-04-14",63
"2018-04-15",58
"2018-04-16",73
"2018-04-17",79
"2018-04-18",62
"2018-04-19",56
