네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아모스녹차실감샴푸"
"2017-08-01",41
"2017-08-02",37
"2017-08-03",27
"2017-08-04",26
"2017-08-05",23
"2017-08-06",38
"2017-08-07",38
"2017-08-08",50
"2017-08-09",47
"2017-08-10",36
"2017-08-11",31
"2017-08-12",33
"2017-08-13",35
"2017-08-14",36
"2017-08-15",46
"2017-08-16",38
"2017-08-17",41
"2017-08-18",33
"2017-08-19",24
"2017-08-20",42
"2017-08-21",44
"2017-08-22",39
"2017-08-23",35
"2017-08-24",43
"2017-08-25",39
"2017-08-26",37
"2017-08-27",39
"2017-08-28",44
"2017-08-29",42
"2017-08-30",41
"2017-08-31",31
"2017-09-01",34
"2017-09-02",29
"2017-09-03",42
"2017-09-04",52
"2017-09-05",38
"2017-09-06",45
"2017-09-07",40
"2017-09-08",37
"2017-09-09",26
"2017-09-10",36
"2017-09-11",45
"2017-09-12",46
"2017-09-13",45
"2017-09-14",37
"2017-09-15",32
"2017-09-16",35
"2017-09-17",36
"2017-09-18",44
"2017-09-19",49
"2017-09-20",45
"2017-09-21",46
"2017-09-22",35
"2017-09-23",31
"2017-09-24",41
"2017-09-25",68
"2017-09-26",63
"2017-09-27",63
"2017-09-28",41
"2017-09-29",32
"2017-09-30",33
"2017-10-01",33
"2017-10-02",35
"2017-10-03",33
"2017-10-04",31
"2017-10-05",45
"2017-10-06",58
"2017-10-07",65
"2017-10-08",77
"2017-10-09",96
"2017-10-10",91
"2017-10-11",85
"2017-10-12",71
"2017-10-13",60
"2017-10-14",55
"2017-10-15",63
"2017-10-16",76
"2017-10-17",80
"2017-10-18",73
"2017-10-19",68
"2017-10-20",48
"2017-10-21",48
"2017-10-22",69
"2017-10-23",80
"2017-10-24",82
"2017-10-25",66
"2017-10-26",61
"2017-10-27",52
"2017-10-28",54
"2017-10-29",72
"2017-10-30",81
"2017-10-31",65
"2017-11-01",69
"2017-11-02",70
"2017-11-03",59
"2017-11-04",56
"2017-11-05",70
"2017-11-06",82
"2017-11-07",81
"2017-11-08",87
"2017-11-09",76
"2017-11-10",64
"2017-11-11",56
"2017-11-12",77
"2017-11-13",89
"2017-11-14",83
"2017-11-15",74
"2017-11-16",69
"2017-11-17",62
"2017-11-18",57
"2017-11-19",70
"2017-11-20",100
"2017-11-21",66
"2017-11-22",63
"2017-11-23",69
"2017-11-24",69
"2017-11-25",56
"2017-11-26",77
"2017-11-27",73
"2017-11-28",70
"2017-11-29",78
"2017-11-30",93
"2017-12-01",61
"2017-12-02",61
"2017-12-03",68
"2017-12-04",99
"2017-12-05",85
"2017-12-06",87
"2017-12-07",67
"2017-12-08",54
"2017-12-09",53
"2017-12-10",60
"2017-12-11",88
"2017-12-12",80
"2017-12-13",80
"2017-12-14",62
"2017-12-15",56
"2017-12-16",52
"2017-12-17",82
"2017-12-18",75
"2017-12-19",70
"2017-12-20",70
"2017-12-21",63
"2017-12-22",50
"2017-12-23",50
"2017-12-24",57
"2017-12-25",78
"2017-12-26",91
"2017-12-27",91
"2017-12-28",83
"2017-12-29",56
"2017-12-30",69
"2017-12-31",66
"2018-01-01",62
"2018-01-02",72
"2018-01-03",49
"2018-01-04",53
"2018-01-05",41
"2018-01-06",34
"2018-01-07",52
"2018-01-08",56
"2018-01-09",50
"2018-01-10",45
"2018-01-11",54
"2018-01-12",44
"2018-01-13",38
"2018-01-14",50
"2018-01-15",53
"2018-01-16",69
"2018-01-17",71
"2018-01-18",62
"2018-01-19",52
"2018-01-20",78
"2018-01-21",82
"2018-01-22",73
"2018-01-23",67
"2018-01-24",67
"2018-01-25",51
"2018-01-26",58
"2018-01-27",40
"2018-01-28",53
"2018-01-29",56
"2018-01-30",55
"2018-01-31",57
"2018-02-01",80
"2018-02-02",67
"2018-02-03",64
"2018-02-04",86
"2018-02-05",85
"2018-02-06",85
"2018-02-07",76
"2018-02-08",69
"2018-02-09",61
"2018-02-10",53
"2018-02-11",80
"2018-02-12",70
"2018-02-13",51
"2018-02-14",41
"2018-02-15",42
"2018-02-16",40
"2018-02-17",50
"2018-02-18",79
"2018-02-19",72
"2018-02-20",67
"2018-02-21",70
"2018-02-22",58
"2018-02-23",50
"2018-02-24",51
"2018-02-25",59
"2018-02-26",77
"2018-02-27",60
"2018-02-28",70
"2018-03-01",76
"2018-03-02",61
"2018-03-03",59
"2018-03-04",81
"2018-03-05",65
"2018-03-06",58
"2018-03-07",55
"2018-03-08",64
"2018-03-09",43
"2018-03-10",47
"2018-03-11",67
"2018-03-12",69
"2018-03-13",62
"2018-03-14",66
"2018-03-15",59
"2018-03-16",46
"2018-03-17",45
"2018-03-18",66
"2018-03-19",75
"2018-03-20",63
"2018-03-21",63
"2018-03-22",50
"2018-03-23",48
"2018-03-24",50
"2018-03-25",65
"2018-03-26",65
"2018-03-27",60
"2018-03-28",56
"2018-03-29",46
"2018-03-30",34
"2018-03-31",43
"2018-04-01",52
"2018-04-02",48
"2018-04-03",46
"2018-04-04",40
"2018-04-05",45
"2018-04-06",33
"2018-04-07",33
"2018-04-08",49
"2018-04-09",56
"2018-04-10",47
"2018-04-11",46
"2018-04-12",40
"2018-04-13",28
"2018-04-14",28
"2018-04-15",31
"2018-04-16",48
"2018-04-17",47
"2018-04-18",50
"2018-04-19",46
