네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","더페이스샵잉크래스팅파운데이션"
"2017-08-01",2
"2017-08-02",3
"2017-08-03",2
"2017-08-04",3
"2017-08-05",3
"2017-08-06",2
"2017-08-07",2
"2017-08-08",1
"2017-08-09",2
"2017-08-10",2
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",2
"2017-08-15",1
"2017-08-16",1
"2017-08-17",1
"2017-08-18",3
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",4
"2017-08-26",2
"2017-08-27",2
"2017-08-28",1
"2017-08-29",2
"2017-08-30",2
"2017-08-31",3
"2017-09-01",3
"2017-09-02",3
"2017-09-03",4
"2017-09-04",2
"2017-09-05",4
"2017-09-06",2
"2017-09-07",4
"2017-09-08",2
"2017-09-09",4
"2017-09-10",5
"2017-09-11",5
"2017-09-12",4
"2017-09-13",8
"2017-09-14",5
"2017-09-15",6
"2017-09-16",6
"2017-09-17",7
"2017-09-18",7
"2017-09-19",7
"2017-09-20",5
"2017-09-21",7
"2017-09-22",9
"2017-09-23",3
"2017-09-24",4
"2017-09-25",24
"2017-09-26",24
"2017-09-27",26
"2017-09-28",16
"2017-09-29",17
"2017-09-30",31
"2017-10-01",61
"2017-10-02",48
"2017-10-03",19
"2017-10-04",15
"2017-10-05",17
"2017-10-06",18
"2017-10-07",19
"2017-10-08",19
"2017-10-09",24
"2017-10-10",36
"2017-10-11",39
"2017-10-12",32
"2017-10-13",29
"2017-10-14",21
"2017-10-15",28
"2017-10-16",25
"2017-10-17",22
"2017-10-18",25
"2017-10-19",20
"2017-10-20",21
"2017-10-21",19
"2017-10-22",19
"2017-10-23",20
"2017-10-24",17
"2017-10-25",25
"2017-10-26",46
"2017-10-27",22
"2017-10-28",27
"2017-10-29",31
"2017-10-30",22
"2017-10-31",35
"2017-11-01",30
"2017-11-02",25
"2017-11-03",24
"2017-11-04",24
"2017-11-05",23
"2017-11-06",26
"2017-11-07",26
"2017-11-08",21
"2017-11-09",14
"2017-11-10",13
"2017-11-11",15
"2017-11-12",12
"2017-11-13",17
"2017-11-14",16
"2017-11-15",13
"2017-11-16",15
"2017-11-17",21
"2017-11-18",13
"2017-11-19",20
"2017-11-20",16
"2017-11-21",19
"2017-11-22",27
"2017-11-23",14
"2017-11-24",12
"2017-11-25",10
"2017-11-26",13
"2017-11-27",13
"2017-11-28",12
"2017-11-29",14
"2017-11-30",12
"2017-12-01",11
"2017-12-02",12
"2017-12-03",13
"2017-12-04",12
"2017-12-05",14
"2017-12-06",16
"2017-12-07",12
"2017-12-08",10
"2017-12-09",10
"2017-12-10",10
"2017-12-11",10
"2017-12-12",13
"2017-12-13",14
"2017-12-14",25
"2017-12-15",11
"2017-12-16",10
"2017-12-17",14
"2017-12-18",12
"2017-12-19",14
"2017-12-20",11
"2017-12-21",10
"2017-12-22",8
"2017-12-23",7
"2017-12-24",6
"2017-12-25",7
"2017-12-26",11
"2017-12-27",8
"2017-12-28",9
"2017-12-29",10
"2017-12-30",10
"2017-12-31",10
"2018-01-01",11
"2018-01-02",13
"2018-01-03",11
"2018-01-04",10
"2018-01-05",25
"2018-01-06",17
"2018-01-07",17
"2018-01-08",20
"2018-01-09",15
"2018-01-10",23
"2018-01-11",21
"2018-01-12",17
"2018-01-13",16
"2018-01-14",18
"2018-01-15",22
"2018-01-16",19
"2018-01-17",19
"2018-01-18",18
"2018-01-19",12
"2018-01-20",13
"2018-01-21",21
"2018-01-22",15
"2018-01-23",46
"2018-01-24",90
"2018-01-25",52
"2018-01-26",45
"2018-01-27",37
"2018-01-28",44
"2018-01-29",49
"2018-01-30",53
"2018-01-31",52
"2018-02-01",50
"2018-02-02",49
"2018-02-03",36
"2018-02-04",38
"2018-02-05",41
"2018-02-06",33
"2018-02-07",30
"2018-02-08",32
"2018-02-09",33
"2018-02-10",32
"2018-02-11",34
"2018-02-12",32
"2018-02-13",24
"2018-02-14",19
"2018-02-15",23
"2018-02-16",21
"2018-02-17",30
"2018-02-18",41
"2018-02-19",57
"2018-02-20",60
"2018-02-21",59
"2018-02-22",61
"2018-02-23",56
"2018-02-24",61
"2018-02-25",64
"2018-02-26",85
"2018-02-27",81
"2018-02-28",76
"2018-03-01",73
"2018-03-02",63
"2018-03-03",44
"2018-03-04",43
"2018-03-05",38
"2018-03-06",35
"2018-03-07",34
"2018-03-08",32
"2018-03-09",31
"2018-03-10",33
"2018-03-11",42
"2018-03-12",31
"2018-03-13",25
"2018-03-14",27
"2018-03-15",34
"2018-03-16",19
"2018-03-17",26
"2018-03-18",37
"2018-03-19",39
"2018-03-20",32
"2018-03-21",30
"2018-03-22",25
"2018-03-23",23
"2018-03-24",23
"2018-03-25",21
"2018-03-26",30
"2018-03-27",23
"2018-03-28",27
"2018-03-29",22
"2018-03-30",24
"2018-03-31",26
"2018-04-01",39
"2018-04-02",34
"2018-04-03",63
"2018-04-04",41
"2018-04-05",28
"2018-04-06",29
"2018-04-07",36
"2018-04-08",49
"2018-04-09",37
"2018-04-10",44
"2018-04-11",46
"2018-04-12",100
"2018-04-13",60
"2018-04-14",52
"2018-04-15",65
"2018-04-16",74
"2018-04-17",81
"2018-04-18",63
"2018-04-19",48
