네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","조르지오아르마니쿠션"
"2017-08-01",
"2017-08-02",1
"2017-08-03",1
"2017-08-04",
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",
"2017-08-12",1
"2017-08-13",1
"2017-08-14",1
"2017-08-15",
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",2
"2017-08-22",2
"2017-08-23",2
"2017-08-24",4
"2017-08-25",12
"2017-08-26",11
"2017-08-27",10
"2017-08-28",15
"2017-08-29",28
"2017-08-30",60
"2017-08-31",100
"2017-09-01",89
"2017-09-02",73
"2017-09-03",70
"2017-09-04",73
"2017-09-05",53
"2017-09-06",58
"2017-09-07",54
"2017-09-08",48
"2017-09-09",85
"2017-09-10",63
"2017-09-11",58
"2017-09-12",58
"2017-09-13",64
"2017-09-14",54
"2017-09-15",50
"2017-09-16",47
"2017-09-17",47
"2017-09-18",40
"2017-09-19",60
"2017-09-20",69
"2017-09-21",63
"2017-09-22",42
"2017-09-23",35
"2017-09-24",50
"2017-09-25",62
"2017-09-26",67
"2017-09-27",54
"2017-09-28",33
"2017-09-29",23
"2017-09-30",30
"2017-10-01",49
"2017-10-02",44
"2017-10-03",36
"2017-10-04",33
"2017-10-05",43
"2017-10-06",51
"2017-10-07",71
"2017-10-08",64
"2017-10-09",75
"2017-10-10",62
"2017-10-11",52
"2017-10-12",59
"2017-10-13",31
"2017-10-14",31
"2017-10-15",31
"2017-10-16",31
"2017-10-17",32
"2017-10-18",33
"2017-10-19",33
"2017-10-20",22
"2017-10-21",20
"2017-10-22",31
"2017-10-23",29
"2017-10-24",24
"2017-10-25",28
"2017-10-26",24
"2017-10-27",23
"2017-10-28",21
"2017-10-29",23
"2017-10-30",25
"2017-10-31",27
"2017-11-01",38
"2017-11-02",27
"2017-11-03",23
"2017-11-04",21
"2017-11-05",35
"2017-11-06",34
"2017-11-07",26
"2017-11-08",30
"2017-11-09",25
"2017-11-10",23
"2017-11-11",31
"2017-11-12",26
"2017-11-13",34
"2017-11-14",30
"2017-11-15",24
"2017-11-16",25
"2017-11-17",20
"2017-11-18",21
"2017-11-19",30
"2017-11-20",32
"2017-11-21",29
"2017-11-22",26
"2017-11-23",31
"2017-11-24",21
"2017-11-25",21
"2017-11-26",28
"2017-11-27",26
"2017-11-28",24
"2017-11-29",19
"2017-11-30",22
"2017-12-01",24
"2017-12-02",23
"2017-12-03",27
"2017-12-04",25
"2017-12-05",28
"2017-12-06",24
"2017-12-07",18
"2017-12-08",21
"2017-12-09",20
"2017-12-10",22
"2017-12-11",21
"2017-12-12",16
"2017-12-13",15
"2017-12-14",16
"2017-12-15",15
"2017-12-16",11
"2017-12-17",16
"2017-12-18",16
"2017-12-19",13
"2017-12-20",14
"2017-12-21",17
"2017-12-22",10
"2017-12-23",13
"2017-12-24",11
"2017-12-25",13
"2017-12-26",11
"2017-12-27",16
"2017-12-28",18
"2017-12-29",15
"2017-12-30",18
"2017-12-31",18
"2018-01-01",33
"2018-01-02",30
"2018-01-03",35
"2018-01-04",28
"2018-01-05",32
"2018-01-06",33
"2018-01-07",42
"2018-01-08",40
"2018-01-09",47
"2018-01-10",44
"2018-01-11",40
"2018-01-12",29
"2018-01-13",40
"2018-01-14",38
"2018-01-15",30
"2018-01-16",38
"2018-01-17",30
"2018-01-18",47
"2018-01-19",32
"2018-01-20",35
"2018-01-21",36
"2018-01-22",36
"2018-01-23",41
"2018-01-24",35
"2018-01-25",39
"2018-01-26",30
"2018-01-27",41
"2018-01-28",49
"2018-01-29",43
"2018-01-30",35
"2018-01-31",32
"2018-02-01",45
"2018-02-02",37
"2018-02-03",35
"2018-02-04",34
"2018-02-05",42
"2018-02-06",36
"2018-02-07",27
"2018-02-08",23
"2018-02-09",24
"2018-02-10",26
"2018-02-11",33
"2018-02-12",27
"2018-02-13",19
"2018-02-14",22
"2018-02-15",21
"2018-02-16",23
"2018-02-17",24
"2018-02-18",26
"2018-02-19",28
"2018-02-20",28
"2018-02-21",23
"2018-02-22",26
"2018-02-23",18
"2018-02-24",18
"2018-02-25",17
"2018-02-26",23
"2018-02-27",26
"2018-02-28",24
"2018-03-01",29
"2018-03-02",22
"2018-03-03",28
"2018-03-04",27
"2018-03-05",21
"2018-03-06",22
"2018-03-07",21
"2018-03-08",21
"2018-03-09",15
"2018-03-10",15
"2018-03-11",18
"2018-03-12",18
"2018-03-13",20
"2018-03-14",17
"2018-03-15",20
"2018-03-16",17
"2018-03-17",14
"2018-03-18",17
"2018-03-19",16
"2018-03-20",14
"2018-03-21",19
"2018-03-22",13
"2018-03-23",13
"2018-03-24",12
"2018-03-25",14
"2018-03-26",15
"2018-03-27",13
"2018-03-28",13
"2018-03-29",14
"2018-03-30",13
"2018-03-31",10
"2018-04-01",17
"2018-04-02",15
"2018-04-03",16
"2018-04-04",21
"2018-04-05",17
"2018-04-06",16
"2018-04-07",13
"2018-04-08",21
"2018-04-09",18
"2018-04-10",15
"2018-04-11",21
"2018-04-12",16
"2018-04-13",13
"2018-04-14",19
"2018-04-15",18
"2018-04-16",15
"2018-04-17",14
"2018-04-18",13
"2018-04-19",10
