네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","퍼펙트휩"
"2017-08-01",47
"2017-08-02",93
"2017-08-03",54
"2017-08-04",33
"2017-08-05",28
"2017-08-06",37
"2017-08-07",45
"2017-08-08",86
"2017-08-09",61
"2017-08-10",48
"2017-08-11",37
"2017-08-12",36
"2017-08-13",45
"2017-08-14",39
"2017-08-15",61
"2017-08-16",40
"2017-08-17",40
"2017-08-18",32
"2017-08-19",25
"2017-08-20",39
"2017-08-21",46
"2017-08-22",42
"2017-08-23",43
"2017-08-24",36
"2017-08-25",37
"2017-08-26",25
"2017-08-27",38
"2017-08-28",40
"2017-08-29",44
"2017-08-30",40
"2017-08-31",39
"2017-09-01",34
"2017-09-02",35
"2017-09-03",48
"2017-09-04",40
"2017-09-05",45
"2017-09-06",42
"2017-09-07",36
"2017-09-08",34
"2017-09-09",30
"2017-09-10",33
"2017-09-11",38
"2017-09-12",35
"2017-09-13",43
"2017-09-14",34
"2017-09-15",27
"2017-09-16",31
"2017-09-17",32
"2017-09-18",24
"2017-09-19",45
"2017-09-20",35
"2017-09-21",39
"2017-09-22",27
"2017-09-23",21
"2017-09-24",47
"2017-09-25",42
"2017-09-26",43
"2017-09-27",38
"2017-09-28",30
"2017-09-29",27
"2017-09-30",24
"2017-10-01",27
"2017-10-02",22
"2017-10-03",40
"2017-10-04",28
"2017-10-05",33
"2017-10-06",36
"2017-10-07",40
"2017-10-08",53
"2017-10-09",79
"2017-10-10",70
"2017-10-11",69
"2017-10-12",68
"2017-10-13",55
"2017-10-14",47
"2017-10-15",62
"2017-10-16",68
"2017-10-17",68
"2017-10-18",63
"2017-10-19",61
"2017-10-20",51
"2017-10-21",45
"2017-10-22",50
"2017-10-23",50
"2017-10-24",54
"2017-10-25",56
"2017-10-26",52
"2017-10-27",43
"2017-10-28",47
"2017-10-29",62
"2017-10-30",56
"2017-10-31",55
"2017-11-01",67
"2017-11-02",62
"2017-11-03",43
"2017-11-04",50
"2017-11-05",57
"2017-11-06",66
"2017-11-07",66
"2017-11-08",65
"2017-11-09",54
"2017-11-10",50
"2017-11-11",45
"2017-11-12",60
"2017-11-13",65
"2017-11-14",59
"2017-11-15",97
"2017-11-16",53
"2017-11-17",58
"2017-11-18",44
"2017-11-19",61
"2017-11-20",77
"2017-11-21",61
"2017-11-22",63
"2017-11-23",43
"2017-11-24",42
"2017-11-25",42
"2017-11-26",62
"2017-11-27",63
"2017-11-28",67
"2017-11-29",47
"2017-11-30",44
"2017-12-01",42
"2017-12-02",42
"2017-12-03",60
"2017-12-04",64
"2017-12-05",54
"2017-12-06",53
"2017-12-07",51
"2017-12-08",42
"2017-12-09",46
"2017-12-10",59
"2017-12-11",73
"2017-12-12",58
"2017-12-13",61
"2017-12-14",50
"2017-12-15",56
"2017-12-16",52
"2017-12-17",63
"2017-12-18",67
"2017-12-19",63
"2017-12-20",60
"2017-12-21",43
"2017-12-22",36
"2017-12-23",37
"2017-12-24",40
"2017-12-25",74
"2017-12-26",68
"2017-12-27",52
"2017-12-28",58
"2017-12-29",36
"2017-12-30",40
"2017-12-31",44
"2018-01-01",61
"2018-01-02",100
"2018-01-03",77
"2018-01-04",66
"2018-01-05",82
"2018-01-06",55
"2018-01-07",72
"2018-01-08",65
"2018-01-09",69
"2018-01-10",63
"2018-01-11",69
"2018-01-12",53
"2018-01-13",45
"2018-01-14",84
"2018-01-15",76
"2018-01-16",82
"2018-01-17",70
"2018-01-18",63
"2018-01-19",63
"2018-01-20",58
"2018-01-21",73
"2018-01-22",80
"2018-01-23",74
"2018-01-24",61
"2018-01-25",75
"2018-01-26",53
"2018-01-27",63
"2018-01-28",78
"2018-01-29",74
"2018-01-30",57
"2018-01-31",68
"2018-02-01",76
"2018-02-02",57
"2018-02-03",50
"2018-02-04",56
"2018-02-05",73
"2018-02-06",61
"2018-02-07",51
"2018-02-08",52
"2018-02-09",48
"2018-02-10",55
"2018-02-11",56
"2018-02-12",41
"2018-02-13",35
"2018-02-14",27
"2018-02-15",26
"2018-02-16",31
"2018-02-17",41
"2018-02-18",69
"2018-02-19",91
"2018-02-20",75
"2018-02-21",69
"2018-02-22",90
"2018-02-23",70
"2018-02-24",46
"2018-02-25",60
"2018-02-26",73
"2018-02-27",59
"2018-02-28",61
"2018-03-01",68
"2018-03-02",54
"2018-03-03",60
"2018-03-04",69
"2018-03-05",68
"2018-03-06",72
"2018-03-07",57
"2018-03-08",69
"2018-03-09",45
"2018-03-10",35
"2018-03-11",67
"2018-03-12",67
"2018-03-13",55
"2018-03-14",45
"2018-03-15",43
"2018-03-16",32
"2018-03-17",31
"2018-03-18",48
"2018-03-19",57
"2018-03-20",75
"2018-03-21",43
"2018-03-22",49
"2018-03-23",39
"2018-03-24",37
"2018-03-25",50
"2018-03-26",57
"2018-03-27",50
"2018-03-28",45
"2018-03-29",38
"2018-03-30",40
"2018-03-31",47
"2018-04-01",59
"2018-04-02",56
"2018-04-03",54
"2018-04-04",63
"2018-04-05",49
"2018-04-06",46
"2018-04-07",46
"2018-04-08",52
"2018-04-09",57
"2018-04-10",59
"2018-04-11",59
"2018-04-12",66
"2018-04-13",48
"2018-04-14",48
"2018-04-15",70
"2018-04-16",65
"2018-04-17",62
"2018-04-18",63
"2018-04-19",55
