네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","입생로랑쿠션"
"2017-08-01",22
"2017-08-02",26
"2017-08-03",25
"2017-08-04",24
"2017-08-05",18
"2017-08-06",25
"2017-08-07",25
"2017-08-08",22
"2017-08-09",18
"2017-08-10",21
"2017-08-11",16
"2017-08-12",19
"2017-08-13",27
"2017-08-14",27
"2017-08-15",25
"2017-08-16",27
"2017-08-17",26
"2017-08-18",20
"2017-08-19",18
"2017-08-20",18
"2017-08-21",18
"2017-08-22",19
"2017-08-23",20
"2017-08-24",20
"2017-08-25",16
"2017-08-26",20
"2017-08-27",22
"2017-08-28",20
"2017-08-29",24
"2017-08-30",23
"2017-08-31",21
"2017-09-01",19
"2017-09-02",16
"2017-09-03",20
"2017-09-04",22
"2017-09-05",18
"2017-09-06",21
"2017-09-07",18
"2017-09-08",15
"2017-09-09",22
"2017-09-10",20
"2017-09-11",25
"2017-09-12",20
"2017-09-13",16
"2017-09-14",19
"2017-09-15",16
"2017-09-16",14
"2017-09-17",20
"2017-09-18",21
"2017-09-19",24
"2017-09-20",23
"2017-09-21",26
"2017-09-22",20
"2017-09-23",21
"2017-09-24",21
"2017-09-25",27
"2017-09-26",26
"2017-09-27",39
"2017-09-28",27
"2017-09-29",22
"2017-09-30",22
"2017-10-01",33
"2017-10-02",27
"2017-10-03",20
"2017-10-04",25
"2017-10-05",28
"2017-10-06",33
"2017-10-07",34
"2017-10-08",44
"2017-10-09",47
"2017-10-10",50
"2017-10-11",37
"2017-10-12",31
"2017-10-13",28
"2017-10-14",26
"2017-10-15",27
"2017-10-16",34
"2017-10-17",31
"2017-10-18",29
"2017-10-19",41
"2017-10-20",32
"2017-10-21",32
"2017-10-22",39
"2017-10-23",36
"2017-10-24",41
"2017-10-25",42
"2017-10-26",41
"2017-10-27",35
"2017-10-28",39
"2017-10-29",38
"2017-10-30",46
"2017-10-31",40
"2017-11-01",55
"2017-11-02",51
"2017-11-03",40
"2017-11-04",39
"2017-11-05",44
"2017-11-06",45
"2017-11-07",45
"2017-11-08",49
"2017-11-09",50
"2017-11-10",46
"2017-11-11",49
"2017-11-12",71
"2017-11-13",66
"2017-11-14",50
"2017-11-15",55
"2017-11-16",48
"2017-11-17",41
"2017-11-18",45
"2017-11-19",53
"2017-11-20",57
"2017-11-21",75
"2017-11-22",42
"2017-11-23",46
"2017-11-24",34
"2017-11-25",29
"2017-11-26",42
"2017-11-27",50
"2017-11-28",49
"2017-11-29",48
"2017-11-30",40
"2017-12-01",44
"2017-12-02",53
"2017-12-03",55
"2017-12-04",51
"2017-12-05",45
"2017-12-06",48
"2017-12-07",35
"2017-12-08",35
"2017-12-09",35
"2017-12-10",45
"2017-12-11",39
"2017-12-12",36
"2017-12-13",38
"2017-12-14",34
"2017-12-15",38
"2017-12-16",34
"2017-12-17",42
"2017-12-18",48
"2017-12-19",46
"2017-12-20",42
"2017-12-21",39
"2017-12-22",31
"2017-12-23",37
"2017-12-24",40
"2017-12-25",38
"2017-12-26",32
"2017-12-27",41
"2017-12-28",38
"2017-12-29",29
"2017-12-30",23
"2017-12-31",23
"2018-01-01",48
"2018-01-02",36
"2018-01-03",43
"2018-01-04",45
"2018-01-05",36
"2018-01-06",38
"2018-01-07",39
"2018-01-08",38
"2018-01-09",38
"2018-01-10",40
"2018-01-11",40
"2018-01-12",37
"2018-01-13",40
"2018-01-14",45
"2018-01-15",45
"2018-01-16",45
"2018-01-17",41
"2018-01-18",37
"2018-01-19",33
"2018-01-20",30
"2018-01-21",42
"2018-01-22",38
"2018-01-23",33
"2018-01-24",35
"2018-01-25",30
"2018-01-26",33
"2018-01-27",31
"2018-01-28",34
"2018-01-29",33
"2018-01-30",31
"2018-01-31",33
"2018-02-01",41
"2018-02-02",39
"2018-02-03",29
"2018-02-04",43
"2018-02-05",42
"2018-02-06",35
"2018-02-07",39
"2018-02-08",36
"2018-02-09",27
"2018-02-10",28
"2018-02-11",39
"2018-02-12",30
"2018-02-13",27
"2018-02-14",25
"2018-02-15",32
"2018-02-16",26
"2018-02-17",35
"2018-02-18",48
"2018-02-19",43
"2018-02-20",43
"2018-02-21",29
"2018-02-22",33
"2018-02-23",26
"2018-02-24",23
"2018-02-25",31
"2018-02-26",46
"2018-02-27",42
"2018-02-28",52
"2018-03-01",100
"2018-03-02",68
"2018-03-03",73
"2018-03-04",81
"2018-03-05",63
"2018-03-06",54
"2018-03-07",61
"2018-03-08",56
"2018-03-09",44
"2018-03-10",42
"2018-03-11",46
"2018-03-12",44
"2018-03-13",46
"2018-03-14",40
"2018-03-15",48
"2018-03-16",42
"2018-03-17",38
"2018-03-18",44
"2018-03-19",40
"2018-03-20",42
"2018-03-21",47
"2018-03-22",33
"2018-03-23",33
"2018-03-24",29
"2018-03-25",46
"2018-03-26",47
"2018-03-27",43
"2018-03-28",49
"2018-03-29",44
"2018-03-30",37
"2018-03-31",36
"2018-04-01",42
"2018-04-02",44
"2018-04-03",48
"2018-04-04",44
"2018-04-05",46
"2018-04-06",36
"2018-04-07",28
"2018-04-08",38
"2018-04-09",34
"2018-04-10",31
"2018-04-11",35
"2018-04-12",41
"2018-04-13",33
"2018-04-14",38
"2018-04-15",38
"2018-04-16",47
"2018-04-17",41
"2018-04-18",44
"2018-04-19",41
