네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","맥립스틱"
"2017-08-01",42
"2017-08-02",41
"2017-08-03",38
"2017-08-04",36
"2017-08-05",37
"2017-08-06",42
"2017-08-07",41
"2017-08-08",35
"2017-08-09",40
"2017-08-10",45
"2017-08-11",43
"2017-08-12",46
"2017-08-13",49
"2017-08-14",49
"2017-08-15",52
"2017-08-16",51
"2017-08-17",52
"2017-08-18",46
"2017-08-19",48
"2017-08-20",64
"2017-08-21",54
"2017-08-22",54
"2017-08-23",50
"2017-08-24",55
"2017-08-25",59
"2017-08-26",61
"2017-08-27",62
"2017-08-28",55
"2017-08-29",52
"2017-08-30",65
"2017-08-31",82
"2017-09-01",73
"2017-09-02",75
"2017-09-03",76
"2017-09-04",53
"2017-09-05",55
"2017-09-06",48
"2017-09-07",49
"2017-09-08",44
"2017-09-09",51
"2017-09-10",63
"2017-09-11",51
"2017-09-12",50
"2017-09-13",55
"2017-09-14",41
"2017-09-15",40
"2017-09-16",49
"2017-09-17",55
"2017-09-18",52
"2017-09-19",58
"2017-09-20",52
"2017-09-21",43
"2017-09-22",42
"2017-09-23",54
"2017-09-24",55
"2017-09-25",51
"2017-09-26",53
"2017-09-27",49
"2017-09-28",41
"2017-09-29",40
"2017-09-30",45
"2017-10-01",51
"2017-10-02",48
"2017-10-03",44
"2017-10-04",52
"2017-10-05",61
"2017-10-06",70
"2017-10-07",66
"2017-10-08",77
"2017-10-09",72
"2017-10-10",63
"2017-10-11",56
"2017-10-12",55
"2017-10-13",48
"2017-10-14",51
"2017-10-15",55
"2017-10-16",52
"2017-10-17",44
"2017-10-18",52
"2017-10-19",49
"2017-10-20",40
"2017-10-21",51
"2017-10-22",52
"2017-10-23",52
"2017-10-24",52
"2017-10-25",44
"2017-10-26",43
"2017-10-27",36
"2017-10-28",38
"2017-10-29",45
"2017-10-30",39
"2017-10-31",45
"2017-11-01",59
"2017-11-02",55
"2017-11-03",50
"2017-11-04",57
"2017-11-05",55
"2017-11-06",60
"2017-11-07",50
"2017-11-08",45
"2017-11-09",49
"2017-11-10",49
"2017-11-11",57
"2017-11-12",52
"2017-11-13",57
"2017-11-14",50
"2017-11-15",41
"2017-11-16",42
"2017-11-17",49
"2017-11-18",45
"2017-11-19",48
"2017-11-20",50
"2017-11-21",52
"2017-11-22",45
"2017-11-23",39
"2017-11-24",43
"2017-11-25",50
"2017-11-26",47
"2017-11-27",51
"2017-11-28",42
"2017-11-29",44
"2017-11-30",51
"2017-12-01",46
"2017-12-02",54
"2017-12-03",70
"2017-12-04",60
"2017-12-05",52
"2017-12-06",52
"2017-12-07",55
"2017-12-08",47
"2017-12-09",39
"2017-12-10",49
"2017-12-11",48
"2017-12-12",48
"2017-12-13",44
"2017-12-14",41
"2017-12-15",38
"2017-12-16",44
"2017-12-17",51
"2017-12-18",47
"2017-12-19",45
"2017-12-20",43
"2017-12-21",47
"2017-12-22",40
"2017-12-23",37
"2017-12-24",53
"2017-12-25",54
"2017-12-26",49
"2017-12-27",47
"2017-12-28",43
"2017-12-29",39
"2017-12-30",50
"2017-12-31",39
"2018-01-01",49
"2018-01-02",45
"2018-01-03",63
"2018-01-04",56
"2018-01-05",61
"2018-01-06",82
"2018-01-07",73
"2018-01-08",59
"2018-01-09",71
"2018-01-10",62
"2018-01-11",64
"2018-01-12",65
"2018-01-13",57
"2018-01-14",69
"2018-01-15",67
"2018-01-16",74
"2018-01-17",86
"2018-01-18",83
"2018-01-19",73
"2018-01-20",79
"2018-01-21",86
"2018-01-22",92
"2018-01-23",80
"2018-01-24",76
"2018-01-25",80
"2018-01-26",69
"2018-01-27",79
"2018-01-28",94
"2018-01-29",83
"2018-01-30",100
"2018-01-31",73
"2018-02-01",80
"2018-02-02",76
"2018-02-03",81
"2018-02-04",77
"2018-02-05",75
"2018-02-06",78
"2018-02-07",77
"2018-02-08",68
"2018-02-09",62
"2018-02-10",71
"2018-02-11",72
"2018-02-12",59
"2018-02-13",56
"2018-02-14",48
"2018-02-15",50
"2018-02-16",56
"2018-02-17",70
"2018-02-18",80
"2018-02-19",74
"2018-02-20",72
"2018-02-21",65
"2018-02-22",58
"2018-02-23",51
"2018-02-24",58
"2018-02-25",64
"2018-02-26",63
"2018-02-27",59
"2018-02-28",56
"2018-03-01",65
"2018-03-02",50
"2018-03-03",53
"2018-03-04",60
"2018-03-05",54
"2018-03-06",42
"2018-03-07",53
"2018-03-08",54
"2018-03-09",50
"2018-03-10",53
"2018-03-11",57
"2018-03-12",51
"2018-03-13",41
"2018-03-14",42
"2018-03-15",42
"2018-03-16",40
"2018-03-17",46
"2018-03-18",52
"2018-03-19",48
"2018-03-20",47
"2018-03-21",44
"2018-03-22",41
"2018-03-23",40
"2018-03-24",59
"2018-03-25",64
"2018-03-26",39
"2018-03-27",43
"2018-03-28",48
"2018-03-29",41
"2018-03-30",31
"2018-03-31",42
"2018-04-01",56
"2018-04-02",45
"2018-04-03",40
"2018-04-04",45
"2018-04-05",36
"2018-04-06",38
"2018-04-07",38
"2018-04-08",43
"2018-04-09",44
"2018-04-10",41
"2018-04-11",38
"2018-04-12",43
"2018-04-13",36
"2018-04-14",39
"2018-04-15",53
"2018-04-16",51
"2018-04-17",42
"2018-04-18",52
"2018-04-19",39
