네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","입생로랑루쥬볼립떼샤인"
"2017-08-01",26
"2017-08-02",23
"2017-08-03",18
"2017-08-04",25
"2017-08-05",17
"2017-08-06",32
"2017-08-07",28
"2017-08-08",26
"2017-08-09",28
"2017-08-10",24
"2017-08-11",23
"2017-08-12",20
"2017-08-13",26
"2017-08-14",31
"2017-08-15",29
"2017-08-16",27
"2017-08-17",22
"2017-08-18",28
"2017-08-19",21
"2017-08-20",30
"2017-08-21",27
"2017-08-22",29
"2017-08-23",23
"2017-08-24",18
"2017-08-25",16
"2017-08-26",19
"2017-08-27",21
"2017-08-28",17
"2017-08-29",20
"2017-08-30",21
"2017-08-31",11
"2017-09-01",19
"2017-09-02",19
"2017-09-03",18
"2017-09-04",22
"2017-09-05",27
"2017-09-06",18
"2017-09-07",14
"2017-09-08",17
"2017-09-09",19
"2017-09-10",22
"2017-09-11",19
"2017-09-12",20
"2017-09-13",15
"2017-09-14",17
"2017-09-15",16
"2017-09-16",19
"2017-09-17",16
"2017-09-18",20
"2017-09-19",20
"2017-09-20",20
"2017-09-21",15
"2017-09-22",14
"2017-09-23",21
"2017-09-24",22
"2017-09-25",18
"2017-09-26",19
"2017-09-27",12
"2017-09-28",19
"2017-09-29",21
"2017-09-30",20
"2017-10-01",21
"2017-10-02",18
"2017-10-03",20
"2017-10-04",22
"2017-10-05",23
"2017-10-06",28
"2017-10-07",25
"2017-10-08",21
"2017-10-09",26
"2017-10-10",22
"2017-10-11",29
"2017-10-12",20
"2017-10-13",15
"2017-10-14",20
"2017-10-15",23
"2017-10-16",19
"2017-10-17",13
"2017-10-18",31
"2017-10-19",17
"2017-10-20",22
"2017-10-21",20
"2017-10-22",29
"2017-10-23",35
"2017-10-24",24
"2017-10-25",23
"2017-10-26",21
"2017-10-27",19
"2017-10-28",18
"2017-10-29",21
"2017-10-30",27
"2017-10-31",22
"2017-11-01",27
"2017-11-02",21
"2017-11-03",22
"2017-11-04",22
"2017-11-05",28
"2017-11-06",21
"2017-11-07",26
"2017-11-08",22
"2017-11-09",20
"2017-11-10",17
"2017-11-11",25
"2017-11-12",26
"2017-11-13",23
"2017-11-14",22
"2017-11-15",18
"2017-11-16",20
"2017-11-17",21
"2017-11-18",20
"2017-11-19",26
"2017-11-20",28
"2017-11-21",24
"2017-11-22",22
"2017-11-23",26
"2017-11-24",26
"2017-11-25",28
"2017-11-26",33
"2017-11-27",32
"2017-11-28",44
"2017-11-29",45
"2017-11-30",34
"2017-12-01",29
"2017-12-02",36
"2017-12-03",36
"2017-12-04",41
"2017-12-05",33
"2017-12-06",33
"2017-12-07",25
"2017-12-08",25
"2017-12-09",42
"2017-12-10",45
"2017-12-11",48
"2017-12-12",38
"2017-12-13",32
"2017-12-14",34
"2017-12-15",37
"2017-12-16",24
"2017-12-17",34
"2017-12-18",38
"2017-12-19",37
"2017-12-20",40
"2017-12-21",32
"2017-12-22",24
"2017-12-23",27
"2017-12-24",33
"2017-12-25",32
"2017-12-26",33
"2017-12-27",33
"2017-12-28",26
"2017-12-29",29
"2017-12-30",26
"2017-12-31",24
"2018-01-01",34
"2018-01-02",34
"2018-01-03",29
"2018-01-04",30
"2018-01-05",27
"2018-01-06",35
"2018-01-07",37
"2018-01-08",32
"2018-01-09",41
"2018-01-10",36
"2018-01-11",34
"2018-01-12",31
"2018-01-13",32
"2018-01-14",34
"2018-01-15",35
"2018-01-16",38
"2018-01-17",40
"2018-01-18",39
"2018-01-19",29
"2018-01-20",35
"2018-01-21",64
"2018-01-22",77
"2018-01-23",50
"2018-01-24",41
"2018-01-25",46
"2018-01-26",41
"2018-01-27",54
"2018-01-28",69
"2018-01-29",52
"2018-01-30",55
"2018-01-31",54
"2018-02-01",50
"2018-02-02",42
"2018-02-03",37
"2018-02-04",53
"2018-02-05",60
"2018-02-06",68
"2018-02-07",49
"2018-02-08",57
"2018-02-09",51
"2018-02-10",62
"2018-02-11",75
"2018-02-12",63
"2018-02-13",52
"2018-02-14",58
"2018-02-15",59
"2018-02-16",56
"2018-02-17",70
"2018-02-18",100
"2018-02-19",71
"2018-02-20",62
"2018-02-21",75
"2018-02-22",59
"2018-02-23",46
"2018-02-24",53
"2018-02-25",56
"2018-02-26",58
"2018-02-27",59
"2018-02-28",47
"2018-03-01",55
"2018-03-02",45
"2018-03-03",46
"2018-03-04",63
"2018-03-05",48
"2018-03-06",35
"2018-03-07",40
"2018-03-08",32
"2018-03-09",43
"2018-03-10",46
"2018-03-11",53
"2018-03-12",45
"2018-03-13",46
"2018-03-14",47
"2018-03-15",53
"2018-03-16",36
"2018-03-17",42
"2018-03-18",49
"2018-03-19",47
"2018-03-20",41
"2018-03-21",43
"2018-03-22",34
"2018-03-23",29
"2018-03-24",31
"2018-03-25",42
"2018-03-26",32
"2018-03-27",27
"2018-03-28",28
"2018-03-29",26
"2018-03-30",30
"2018-03-31",22
"2018-04-01",30
"2018-04-02",31
"2018-04-03",33
"2018-04-04",22
"2018-04-05",22
"2018-04-06",22
"2018-04-07",25
"2018-04-08",28
"2018-04-09",25
"2018-04-10",25
"2018-04-11",24
"2018-04-12",23
"2018-04-13",25
"2018-04-14",30
"2018-04-15",34
"2018-04-16",33
"2018-04-17",33
"2018-04-18",22
"2018-04-19",31
