네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","세타필크림"
"2017-08-01",5
"2017-08-02",5
"2017-08-03",4
"2017-08-04",4
"2017-08-05",4
"2017-08-06",4
"2017-08-07",4
"2017-08-08",4
"2017-08-09",4
"2017-08-10",5
"2017-08-11",4
"2017-08-12",5
"2017-08-13",6
"2017-08-14",7
"2017-08-15",9
"2017-08-16",5
"2017-08-17",6
"2017-08-18",7
"2017-08-19",5
"2017-08-20",5
"2017-08-21",7
"2017-08-22",6
"2017-08-23",4
"2017-08-24",5
"2017-08-25",5
"2017-08-26",8
"2017-08-27",7
"2017-08-28",9
"2017-08-29",11
"2017-08-30",19
"2017-08-31",17
"2017-09-01",14
"2017-09-02",12
"2017-09-03",14
"2017-09-04",19
"2017-09-05",14
"2017-09-06",12
"2017-09-07",13
"2017-09-08",7
"2017-09-09",9
"2017-09-10",11
"2017-09-11",14
"2017-09-12",14
"2017-09-13",16
"2017-09-14",13
"2017-09-15",15
"2017-09-16",14
"2017-09-17",13
"2017-09-18",23
"2017-09-19",18
"2017-09-20",17
"2017-09-21",17
"2017-09-22",16
"2017-09-23",11
"2017-09-24",13
"2017-09-25",20
"2017-09-26",19
"2017-09-27",15
"2017-09-28",17
"2017-09-29",14
"2017-09-30",14
"2017-10-01",16
"2017-10-02",14
"2017-10-03",13
"2017-10-04",15
"2017-10-05",17
"2017-10-06",20
"2017-10-07",22
"2017-10-08",24
"2017-10-09",30
"2017-10-10",34
"2017-10-11",31
"2017-10-12",28
"2017-10-13",25
"2017-10-14",26
"2017-10-15",36
"2017-10-16",41
"2017-10-17",40
"2017-10-18",43
"2017-10-19",29
"2017-10-20",24
"2017-10-21",24
"2017-10-22",27
"2017-10-23",36
"2017-10-24",38
"2017-10-25",34
"2017-10-26",25
"2017-10-27",20
"2017-10-28",59
"2017-10-29",27
"2017-10-30",37
"2017-10-31",43
"2017-11-01",38
"2017-11-02",35
"2017-11-03",26
"2017-11-04",24
"2017-11-05",51
"2017-11-06",37
"2017-11-07",34
"2017-11-08",27
"2017-11-09",30
"2017-11-10",24
"2017-11-11",34
"2017-11-12",41
"2017-11-13",43
"2017-11-14",42
"2017-11-15",37
"2017-11-16",38
"2017-11-17",33
"2017-11-18",52
"2017-11-19",48
"2017-11-20",64
"2017-11-21",55
"2017-11-22",51
"2017-11-23",44
"2017-11-24",39
"2017-11-25",32
"2017-11-26",72
"2017-11-27",50
"2017-11-28",39
"2017-11-29",44
"2017-11-30",44
"2017-12-01",43
"2017-12-02",39
"2017-12-03",49
"2017-12-04",51
"2017-12-05",53
"2017-12-06",57
"2017-12-07",46
"2017-12-08",34
"2017-12-09",54
"2017-12-10",46
"2017-12-11",54
"2017-12-12",53
"2017-12-13",51
"2017-12-14",50
"2017-12-15",43
"2017-12-16",40
"2017-12-17",100
"2017-12-18",56
"2017-12-19",60
"2017-12-20",50
"2017-12-21",43
"2017-12-22",30
"2017-12-23",29
"2017-12-24",24
"2017-12-25",54
"2017-12-26",49
"2017-12-27",34
"2017-12-28",34
"2017-12-29",27
"2017-12-30",23
"2017-12-31",21
"2018-01-01",44
"2018-01-02",41
"2018-01-03",46
"2018-01-04",44
"2018-01-05",38
"2018-01-06",23
"2018-01-07",34
"2018-01-08",43
"2018-01-09",39
"2018-01-10",39
"2018-01-11",40
"2018-01-12",38
"2018-01-13",25
"2018-01-14",43
"2018-01-15",34
"2018-01-16",37
"2018-01-17",31
"2018-01-18",27
"2018-01-19",22
"2018-01-20",55
"2018-01-21",33
"2018-01-22",35
"2018-01-23",31
"2018-01-24",31
"2018-01-25",27
"2018-01-26",33
"2018-01-27",28
"2018-01-28",32
"2018-01-29",51
"2018-01-30",39
"2018-01-31",42
"2018-02-01",34
"2018-02-02",26
"2018-02-03",27
"2018-02-04",34
"2018-02-05",44
"2018-02-06",42
"2018-02-07",37
"2018-02-08",29
"2018-02-09",21
"2018-02-10",23
"2018-02-11",33
"2018-02-12",26
"2018-02-13",19
"2018-02-14",14
"2018-02-15",12
"2018-02-16",22
"2018-02-17",24
"2018-02-18",35
"2018-02-19",45
"2018-02-20",32
"2018-02-21",34
"2018-02-22",25
"2018-02-23",19
"2018-02-24",26
"2018-02-25",23
"2018-02-26",30
"2018-02-27",26
"2018-02-28",20
"2018-03-01",33
"2018-03-02",23
"2018-03-03",20
"2018-03-04",23
"2018-03-05",33
"2018-03-06",25
"2018-03-07",22
"2018-03-08",19
"2018-03-09",14
"2018-03-10",12
"2018-03-11",14
"2018-03-12",18
"2018-03-13",18
"2018-03-14",14
"2018-03-15",14
"2018-03-16",12
"2018-03-17",12
"2018-03-18",16
"2018-03-19",19
"2018-03-20",21
"2018-03-21",19
"2018-03-22",17
"2018-03-23",16
"2018-03-24",13
"2018-03-25",20
"2018-03-26",21
"2018-03-27",19
"2018-03-28",16
"2018-03-29",15
"2018-03-30",11
"2018-03-31",12
"2018-04-01",16
"2018-04-02",19
"2018-04-03",15
"2018-04-04",15
"2018-04-05",14
"2018-04-06",10
"2018-04-07",10
"2018-04-08",13
"2018-04-09",17
"2018-04-10",20
"2018-04-11",21
"2018-04-12",19
"2018-04-13",15
"2018-04-14",14
"2018-04-15",18
"2018-04-16",16
"2018-04-17",20
"2018-04-18",21
"2018-04-19",22
