네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","슈에무라마뜨로즈"
"2017-08-01",4
"2017-08-02",4
"2017-08-03",3
"2017-08-04",3
"2017-08-05",3
"2017-08-06",3
"2017-08-07",3
"2017-08-08",3
"2017-08-09",4
"2017-08-10",3
"2017-08-11",5
"2017-08-12",4
"2017-08-13",5
"2017-08-14",5
"2017-08-15",5
"2017-08-16",3
"2017-08-17",5
"2017-08-18",5
"2017-08-19",4
"2017-08-20",5
"2017-08-21",3
"2017-08-22",3
"2017-08-23",4
"2017-08-24",5
"2017-08-25",4
"2017-08-26",4
"2017-08-27",5
"2017-08-28",3
"2017-08-29",5
"2017-08-30",4
"2017-08-31",4
"2017-09-01",5
"2017-09-02",4
"2017-09-03",4
"2017-09-04",4
"2017-09-05",4
"2017-09-06",10
"2017-09-07",7
"2017-09-08",13
"2017-09-09",7
"2017-09-10",7
"2017-09-11",5
"2017-09-12",4
"2017-09-13",4
"2017-09-14",3
"2017-09-15",2
"2017-09-16",3
"2017-09-17",3
"2017-09-18",3
"2017-09-19",3
"2017-09-20",4
"2017-09-21",3
"2017-09-22",4
"2017-09-23",3
"2017-09-24",3
"2017-09-25",3
"2017-09-26",4
"2017-09-27",2
"2017-09-28",2
"2017-09-29",3
"2017-09-30",3
"2017-10-01",4
"2017-10-02",3
"2017-10-03",3
"2017-10-04",2
"2017-10-05",7
"2017-10-06",3
"2017-10-07",6
"2017-10-08",4
"2017-10-09",3
"2017-10-10",3
"2017-10-11",2
"2017-10-12",2
"2017-10-13",2
"2017-10-14",2
"2017-10-15",3
"2017-10-16",2
"2017-10-17",2
"2017-10-18",2
"2017-10-19",2
"2017-10-20",2
"2017-10-21",2
"2017-10-22",2
"2017-10-23",2
"2017-10-24",1
"2017-10-25",1
"2017-10-26",1
"2017-10-27",1
"2017-10-28",1
"2017-10-29",1
"2017-10-30",2
"2017-10-31",2
"2017-11-01",2
"2017-11-02",2
"2017-11-03",2
"2017-11-04",1
"2017-11-05",2
"2017-11-06",1
"2017-11-07",1
"2017-11-08",1
"2017-11-09",20
"2017-11-10",28
"2017-11-11",28
"2017-11-12",44
"2017-11-13",52
"2017-11-14",47
"2017-11-15",40
"2017-11-16",44
"2017-11-17",74
"2017-11-18",54
"2017-11-19",44
"2017-11-20",42
"2017-11-21",37
"2017-11-22",29
"2017-11-23",27
"2017-11-24",18
"2017-11-25",21
"2017-11-26",26
"2017-11-27",20
"2017-11-28",21
"2017-11-29",20
"2017-11-30",16
"2017-12-01",14
"2017-12-02",27
"2017-12-03",33
"2017-12-04",25
"2017-12-05",17
"2017-12-06",17
"2017-12-07",15
"2017-12-08",14
"2017-12-09",13
"2017-12-10",18
"2017-12-11",12
"2017-12-12",15
"2017-12-13",16
"2017-12-14",15
"2017-12-15",13
"2017-12-16",14
"2017-12-17",12
"2017-12-18",9
"2017-12-19",10
"2017-12-20",16
"2017-12-21",37
"2017-12-22",14
"2017-12-23",50
"2017-12-24",22
"2017-12-25",26
"2017-12-26",100
"2017-12-27",43
"2017-12-28",21
"2017-12-29",17
"2017-12-30",16
"2017-12-31",20
"2018-01-01",17
"2018-01-02",16
"2018-01-03",22
"2018-01-04",15
"2018-01-05",13
"2018-01-06",16
"2018-01-07",14
"2018-01-08",15
"2018-01-09",14
"2018-01-10",8
"2018-01-11",10
"2018-01-12",10
"2018-01-13",8
"2018-01-14",8
"2018-01-15",8
"2018-01-16",9
"2018-01-17",8
"2018-01-18",8
"2018-01-19",8
"2018-01-20",9
"2018-01-21",7
"2018-01-22",8
"2018-01-23",7
"2018-01-24",7
"2018-01-25",7
"2018-01-26",7
"2018-01-27",26
"2018-01-28",13
"2018-01-29",15
"2018-01-30",11
"2018-01-31",9
"2018-02-01",9
"2018-02-02",8
"2018-02-03",8
"2018-02-04",10
"2018-02-05",9
"2018-02-06",9
"2018-02-07",5
"2018-02-08",10
"2018-02-09",54
"2018-02-10",63
"2018-02-11",46
"2018-02-12",48
"2018-02-13",40
"2018-02-14",37
"2018-02-15",32
"2018-02-16",34
"2018-02-17",38
"2018-02-18",42
"2018-02-19",33
"2018-02-20",27
"2018-02-21",25
"2018-02-22",18
"2018-02-23",18
"2018-02-24",13
"2018-02-25",13
"2018-02-26",13
"2018-02-27",14
"2018-02-28",11
"2018-03-01",12
"2018-03-02",12
"2018-03-03",10
"2018-03-04",15
"2018-03-05",10
"2018-03-06",8
"2018-03-07",9
"2018-03-08",8
"2018-03-09",7
"2018-03-10",12
"2018-03-11",13
"2018-03-12",8
"2018-03-13",7
"2018-03-14",6
"2018-03-15",9
"2018-03-16",6
"2018-03-17",7
"2018-03-18",7
"2018-03-19",5
"2018-03-20",5
"2018-03-21",5
"2018-03-22",4
"2018-03-23",4
"2018-03-24",4
"2018-03-25",5
"2018-03-26",4
"2018-03-27",3
"2018-03-28",3
"2018-03-29",3
"2018-03-30",2
"2018-03-31",4
"2018-04-01",5
"2018-04-02",3
"2018-04-03",5
"2018-04-04",4
"2018-04-05",6
"2018-04-06",4
"2018-04-07",3
"2018-04-08",5
"2018-04-09",5
"2018-04-10",3
"2018-04-11",3
"2018-04-12",4
"2018-04-13",3
"2018-04-14",7
"2018-04-15",3
"2018-04-16",5
"2018-04-17",5
"2018-04-18",4
"2018-04-19",3
