네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","vt콜라겐팩트"
"2017-08-01",28
"2017-08-02",19
"2017-08-03",17
"2017-08-04",18
"2017-08-05",13
"2017-08-06",15
"2017-08-07",17
"2017-08-08",53
"2017-08-09",20
"2017-08-10",21
"2017-08-11",16
"2017-08-12",15
"2017-08-13",15
"2017-08-14",15
"2017-08-15",19
"2017-08-16",18
"2017-08-17",46
"2017-08-18",19
"2017-08-19",10
"2017-08-20",11
"2017-08-21",13
"2017-08-22",14
"2017-08-23",18
"2017-08-24",14
"2017-08-25",11
"2017-08-26",9
"2017-08-27",42
"2017-08-28",13
"2017-08-29",19
"2017-08-30",22
"2017-08-31",23
"2017-09-01",21
"2017-09-02",13
"2017-09-03",20
"2017-09-04",19
"2017-09-05",18
"2017-09-06",17
"2017-09-07",15
"2017-09-08",10
"2017-09-09",7
"2017-09-10",17
"2017-09-11",16
"2017-09-12",13
"2017-09-13",17
"2017-09-14",14
"2017-09-15",17
"2017-09-16",10
"2017-09-17",14
"2017-09-18",16
"2017-09-19",15
"2017-09-20",20
"2017-09-21",16
"2017-09-22",14
"2017-09-23",11
"2017-09-24",20
"2017-09-25",21
"2017-09-26",19
"2017-09-27",16
"2017-09-28",14
"2017-09-29",10
"2017-09-30",36
"2017-10-01",15
"2017-10-02",17
"2017-10-03",14
"2017-10-04",18
"2017-10-05",17
"2017-10-06",19
"2017-10-07",17
"2017-10-08",18
"2017-10-09",23
"2017-10-10",29
"2017-10-11",22
"2017-10-12",24
"2017-10-13",16
"2017-10-14",22
"2017-10-15",56
"2017-10-16",28
"2017-10-17",23
"2017-10-18",29
"2017-10-19",27
"2017-10-20",22
"2017-10-21",12
"2017-10-22",20
"2017-10-23",22
"2017-10-24",26
"2017-10-25",20
"2017-10-26",23
"2017-10-27",15
"2017-10-28",31
"2017-10-29",15
"2017-10-30",22
"2017-10-31",21
"2017-11-01",25
"2017-11-02",26
"2017-11-03",26
"2017-11-04",21
"2017-11-05",20
"2017-11-06",28
"2017-11-07",25
"2017-11-08",44
"2017-11-09",30
"2017-11-10",24
"2017-11-11",24
"2017-11-12",65
"2017-11-13",38
"2017-11-14",29
"2017-11-15",26
"2017-11-16",24
"2017-11-17",20
"2017-11-18",19
"2017-11-19",29
"2017-11-20",41
"2017-11-21",34
"2017-11-22",35
"2017-11-23",25
"2017-11-24",18
"2017-11-25",38
"2017-11-26",44
"2017-11-27",24
"2017-11-28",29
"2017-11-29",33
"2017-11-30",24
"2017-12-01",23
"2017-12-02",23
"2017-12-03",30
"2017-12-04",28
"2017-12-05",31
"2017-12-06",22
"2017-12-07",22
"2017-12-08",17
"2017-12-09",19
"2017-12-10",24
"2017-12-11",23
"2017-12-12",25
"2017-12-13",24
"2017-12-14",22
"2017-12-15",20
"2017-12-16",20
"2017-12-17",45
"2017-12-18",29
"2017-12-19",22
"2017-12-20",21
"2017-12-21",23
"2017-12-22",18
"2017-12-23",13
"2017-12-24",14
"2017-12-25",29
"2017-12-26",20
"2017-12-27",24
"2017-12-28",20
"2017-12-29",18
"2017-12-30",16
"2017-12-31",14
"2018-01-01",19
"2018-01-02",17
"2018-01-03",18
"2018-01-04",19
"2018-01-05",13
"2018-01-06",14
"2018-01-07",13
"2018-01-08",16
"2018-01-09",16
"2018-01-10",18
"2018-01-11",18
"2018-01-12",12
"2018-01-13",14
"2018-01-14",42
"2018-01-15",24
"2018-01-16",16
"2018-01-17",18
"2018-01-18",15
"2018-01-19",13
"2018-01-20",12
"2018-01-21",16
"2018-01-22",17
"2018-01-23",20
"2018-01-24",24
"2018-01-25",24
"2018-01-26",16
"2018-01-27",18
"2018-01-28",23
"2018-01-29",24
"2018-01-30",46
"2018-01-31",23
"2018-02-01",31
"2018-02-02",19
"2018-02-03",20
"2018-02-04",25
"2018-02-05",87
"2018-02-06",39
"2018-02-07",30
"2018-02-08",27
"2018-02-09",19
"2018-02-10",16
"2018-02-11",30
"2018-02-12",29
"2018-02-13",17
"2018-02-14",15
"2018-02-15",17
"2018-02-16",20
"2018-02-17",69
"2018-02-18",39
"2018-02-19",33
"2018-02-20",30
"2018-02-21",26
"2018-02-22",32
"2018-02-23",24
"2018-02-24",20
"2018-02-25",29
"2018-02-26",31
"2018-02-27",100
"2018-02-28",33
"2018-03-01",30
"2018-03-02",22
"2018-03-03",27
"2018-03-04",30
"2018-03-05",25
"2018-03-06",30
"2018-03-07",29
"2018-03-08",25
"2018-03-09",17
"2018-03-10",17
"2018-03-11",64
"2018-03-12",40
"2018-03-13",29
"2018-03-14",31
"2018-03-15",28
"2018-03-16",24
"2018-03-17",17
"2018-03-18",22
"2018-03-19",20
"2018-03-20",28
"2018-03-21",28
"2018-03-22",28
"2018-03-23",25
"2018-03-24",19
"2018-03-25",31
"2018-03-26",68
"2018-03-27",44
"2018-03-28",33
"2018-03-29",31
"2018-03-30",25
"2018-03-31",16
"2018-04-01",23
"2018-04-02",29
"2018-04-03",26
"2018-04-04",26
"2018-04-05",26
"2018-04-06",20
"2018-04-07",20
"2018-04-08",26
"2018-04-09",21
"2018-04-10",58
"2018-04-11",25
"2018-04-12",23
"2018-04-13",25
"2018-04-14",23
"2018-04-15",23
"2018-04-16",33
"2018-04-17",29
"2018-04-18",32
"2018-04-19",59
