네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","탈모샴푸"
"2017-08-01",43
"2017-08-02",38
"2017-08-03",32
"2017-08-04",29
"2017-08-05",29
"2017-08-06",34
"2017-08-07",48
"2017-08-08",43
"2017-08-09",45
"2017-08-10",38
"2017-08-11",37
"2017-08-12",40
"2017-08-13",51
"2017-08-14",48
"2017-08-15",49
"2017-08-16",42
"2017-08-17",44
"2017-08-18",31
"2017-08-19",35
"2017-08-20",44
"2017-08-21",47
"2017-08-22",43
"2017-08-23",42
"2017-08-24",37
"2017-08-25",30
"2017-08-26",36
"2017-08-27",38
"2017-08-28",33
"2017-08-29",35
"2017-08-30",36
"2017-08-31",32
"2017-09-01",28
"2017-09-02",37
"2017-09-03",37
"2017-09-04",53
"2017-09-05",37
"2017-09-06",42
"2017-09-07",37
"2017-09-08",38
"2017-09-09",27
"2017-09-10",47
"2017-09-11",46
"2017-09-12",47
"2017-09-13",39
"2017-09-14",38
"2017-09-15",24
"2017-09-16",22
"2017-09-17",38
"2017-09-18",32
"2017-09-19",33
"2017-09-20",34
"2017-09-21",31
"2017-09-22",26
"2017-09-23",23
"2017-09-24",31
"2017-09-25",51
"2017-09-26",67
"2017-09-27",61
"2017-09-28",41
"2017-09-29",26
"2017-09-30",37
"2017-10-01",46
"2017-10-02",33
"2017-10-03",31
"2017-10-04",37
"2017-10-05",36
"2017-10-06",57
"2017-10-07",44
"2017-10-08",61
"2017-10-09",71
"2017-10-10",65
"2017-10-11",64
"2017-10-12",56
"2017-10-13",48
"2017-10-14",37
"2017-10-15",43
"2017-10-16",53
"2017-10-17",54
"2017-10-18",53
"2017-10-19",50
"2017-10-20",38
"2017-10-21",41
"2017-10-22",53
"2017-10-23",57
"2017-10-24",65
"2017-10-25",46
"2017-10-26",43
"2017-10-27",36
"2017-10-28",35
"2017-10-29",51
"2017-10-30",66
"2017-10-31",57
"2017-11-01",70
"2017-11-02",64
"2017-11-03",56
"2017-11-04",59
"2017-11-05",68
"2017-11-06",73
"2017-11-07",75
"2017-11-08",78
"2017-11-09",67
"2017-11-10",67
"2017-11-11",52
"2017-11-12",67
"2017-11-13",82
"2017-11-14",73
"2017-11-15",56
"2017-11-16",58
"2017-11-17",61
"2017-11-18",58
"2017-11-19",77
"2017-11-20",100
"2017-11-21",71
"2017-11-22",70
"2017-11-23",64
"2017-11-24",61
"2017-11-25",60
"2017-11-26",73
"2017-11-27",75
"2017-11-28",60
"2017-11-29",64
"2017-11-30",58
"2017-12-01",48
"2017-12-02",49
"2017-12-03",53
"2017-12-04",54
"2017-12-05",56
"2017-12-06",54
"2017-12-07",60
"2017-12-08",45
"2017-12-09",45
"2017-12-10",66
"2017-12-11",54
"2017-12-12",48
"2017-12-13",48
"2017-12-14",46
"2017-12-15",30
"2017-12-16",39
"2017-12-17",45
"2017-12-18",45
"2017-12-19",58
"2017-12-20",49
"2017-12-21",43
"2017-12-22",36
"2017-12-23",35
"2017-12-24",44
"2017-12-25",46
"2017-12-26",61
"2017-12-27",52
"2017-12-28",52
"2017-12-29",41
"2017-12-30",54
"2017-12-31",47
"2018-01-01",58
"2018-01-02",79
"2018-01-03",68
"2018-01-04",65
"2018-01-05",52
"2018-01-06",59
"2018-01-07",69
"2018-01-08",59
"2018-01-09",57
"2018-01-10",51
"2018-01-11",58
"2018-01-12",51
"2018-01-13",47
"2018-01-14",64
"2018-01-15",71
"2018-01-16",63
"2018-01-17",46
"2018-01-18",45
"2018-01-19",39
"2018-01-20",46
"2018-01-21",67
"2018-01-22",56
"2018-01-23",55
"2018-01-24",63
"2018-01-25",52
"2018-01-26",41
"2018-01-27",39
"2018-01-28",52
"2018-01-29",44
"2018-01-30",57
"2018-01-31",53
"2018-02-01",55
"2018-02-02",42
"2018-02-03",47
"2018-02-04",69
"2018-02-05",57
"2018-02-06",51
"2018-02-07",55
"2018-02-08",41
"2018-02-09",38
"2018-02-10",42
"2018-02-11",44
"2018-02-12",44
"2018-02-13",42
"2018-02-14",33
"2018-02-15",30
"2018-02-16",34
"2018-02-17",44
"2018-02-18",58
"2018-02-19",84
"2018-02-20",55
"2018-02-21",53
"2018-02-22",59
"2018-02-23",35
"2018-02-24",48
"2018-02-25",51
"2018-02-26",55
"2018-02-27",54
"2018-02-28",45
"2018-03-01",48
"2018-03-02",40
"2018-03-03",43
"2018-03-04",68
"2018-03-05",54
"2018-03-06",59
"2018-03-07",52
"2018-03-08",51
"2018-03-09",46
"2018-03-10",53
"2018-03-11",73
"2018-03-12",64
"2018-03-13",46
"2018-03-14",48
"2018-03-15",54
"2018-03-16",42
"2018-03-17",40
"2018-03-18",67
"2018-03-19",74
"2018-03-20",80
"2018-03-21",72
"2018-03-22",60
"2018-03-23",50
"2018-03-24",77
"2018-03-25",73
"2018-03-26",58
"2018-03-27",63
"2018-03-28",54
"2018-03-29",58
"2018-03-30",39
"2018-03-31",40
"2018-04-01",50
"2018-04-02",55
"2018-04-03",50
"2018-04-04",48
"2018-04-05",51
"2018-04-06",39
"2018-04-07",40
"2018-04-08",57
"2018-04-09",57
"2018-04-10",54
"2018-04-11",48
"2018-04-12",57
"2018-04-13",39
"2018-04-14",37
"2018-04-15",41
"2018-04-16",46
"2018-04-17",49
"2018-04-18",51
"2018-04-19",41
