네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","메디큐브레드이레이징크림"
"2017-08-01",10
"2017-08-02",10
"2017-08-03",9
"2017-08-04",8
"2017-08-05",8
"2017-08-06",8
"2017-08-07",11
"2017-08-08",13
"2017-08-09",12
"2017-08-10",11
"2017-08-11",9
"2017-08-12",9
"2017-08-13",7
"2017-08-14",11
"2017-08-15",11
"2017-08-16",11
"2017-08-17",10
"2017-08-18",9
"2017-08-19",10
"2017-08-20",15
"2017-08-21",12
"2017-08-22",11
"2017-08-23",12
"2017-08-24",11
"2017-08-25",9
"2017-08-26",9
"2017-08-27",11
"2017-08-28",9
"2017-08-29",12
"2017-08-30",7
"2017-08-31",12
"2017-09-01",11
"2017-09-02",12
"2017-09-03",14
"2017-09-04",13
"2017-09-05",10
"2017-09-06",9
"2017-09-07",7
"2017-09-08",9
"2017-09-09",10
"2017-09-10",15
"2017-09-11",13
"2017-09-12",9
"2017-09-13",7
"2017-09-14",8
"2017-09-15",8
"2017-09-16",8
"2017-09-17",12
"2017-09-18",11
"2017-09-19",7
"2017-09-20",8
"2017-09-21",7
"2017-09-22",7
"2017-09-23",7
"2017-09-24",10
"2017-09-25",16
"2017-09-26",15
"2017-09-27",18
"2017-09-28",12
"2017-09-29",16
"2017-09-30",19
"2017-10-01",21
"2017-10-02",19
"2017-10-03",20
"2017-10-04",26
"2017-10-05",31
"2017-10-06",38
"2017-10-07",37
"2017-10-08",60
"2017-10-09",74
"2017-10-10",43
"2017-10-11",31
"2017-10-12",22
"2017-10-13",23
"2017-10-14",16
"2017-10-15",17
"2017-10-16",29
"2017-10-17",23
"2017-10-18",27
"2017-10-19",25
"2017-10-20",18
"2017-10-21",19
"2017-10-22",18
"2017-10-23",25
"2017-10-24",25
"2017-10-25",20
"2017-10-26",17
"2017-10-27",12
"2017-10-28",10
"2017-10-29",13
"2017-10-30",15
"2017-10-31",14
"2017-11-01",19
"2017-11-02",13
"2017-11-03",9
"2017-11-04",12
"2017-11-05",12
"2017-11-06",13
"2017-11-07",14
"2017-11-08",14
"2017-11-09",10
"2017-11-10",11
"2017-11-11",12
"2017-11-12",15
"2017-11-13",18
"2017-11-14",13
"2017-11-15",11
"2017-11-16",14
"2017-11-17",11
"2017-11-18",9
"2017-11-19",14
"2017-11-20",17
"2017-11-21",17
"2017-11-22",18
"2017-11-23",18
"2017-11-24",15
"2017-11-25",16
"2017-11-26",24
"2017-11-27",34
"2017-11-28",21
"2017-11-29",13
"2017-11-30",16
"2017-12-01",20
"2017-12-02",18
"2017-12-03",24
"2017-12-04",24
"2017-12-05",22
"2017-12-06",20
"2017-12-07",17
"2017-12-08",21
"2017-12-09",24
"2017-12-10",20
"2017-12-11",22
"2017-12-12",17
"2017-12-13",18
"2017-12-14",16
"2017-12-15",12
"2017-12-16",16
"2017-12-17",15
"2017-12-18",19
"2017-12-19",13
"2017-12-20",11
"2017-12-21",11
"2017-12-22",9
"2017-12-23",11
"2017-12-24",10
"2017-12-25",17
"2017-12-26",12
"2017-12-27",13
"2017-12-28",12
"2017-12-29",11
"2017-12-30",11
"2017-12-31",15
"2018-01-01",15
"2018-01-02",19
"2018-01-03",23
"2018-01-04",19
"2018-01-05",16
"2018-01-06",16
"2018-01-07",18
"2018-01-08",19
"2018-01-09",22
"2018-01-10",22
"2018-01-11",25
"2018-01-12",22
"2018-01-13",18
"2018-01-14",25
"2018-01-15",32
"2018-01-16",28
"2018-01-17",23
"2018-01-18",24
"2018-01-19",21
"2018-01-20",20
"2018-01-21",23
"2018-01-22",26
"2018-01-23",25
"2018-01-24",20
"2018-01-25",22
"2018-01-26",23
"2018-01-27",22
"2018-01-28",30
"2018-01-29",25
"2018-01-30",24
"2018-01-31",22
"2018-02-01",29
"2018-02-02",33
"2018-02-03",47
"2018-02-04",44
"2018-02-05",42
"2018-02-06",40
"2018-02-07",39
"2018-02-08",26
"2018-02-09",24
"2018-02-10",28
"2018-02-11",34
"2018-02-12",35
"2018-02-13",26
"2018-02-14",26
"2018-02-15",18
"2018-02-16",40
"2018-02-17",48
"2018-02-18",59
"2018-02-19",70
"2018-02-20",64
"2018-02-21",59
"2018-02-22",49
"2018-02-23",45
"2018-02-24",47
"2018-02-25",59
"2018-02-26",58
"2018-02-27",57
"2018-02-28",61
"2018-03-01",81
"2018-03-02",46
"2018-03-03",64
"2018-03-04",76
"2018-03-05",74
"2018-03-06",73
"2018-03-07",64
"2018-03-08",59
"2018-03-09",38
"2018-03-10",91
"2018-03-11",100
"2018-03-12",62
"2018-03-13",49
"2018-03-14",48
"2018-03-15",54
"2018-03-16",43
"2018-03-17",57
"2018-03-18",82
"2018-03-19",60
"2018-03-20",45
"2018-03-21",39
"2018-03-22",39
"2018-03-23",30
"2018-03-24",29
"2018-03-25",37
"2018-03-26",43
"2018-03-27",41
"2018-03-28",33
"2018-03-29",21
"2018-03-30",19
"2018-03-31",27
"2018-04-01",42
"2018-04-02",31
"2018-04-03",25
"2018-04-04",27
"2018-04-05",26
"2018-04-06",18
"2018-04-07",20
"2018-04-08",34
"2018-04-09",30
"2018-04-10",32
"2018-04-11",38
"2018-04-12",16
"2018-04-13",21
"2018-04-14",28
"2018-04-15",28
"2018-04-16",28
"2018-04-17",23
"2018-04-18",25
"2018-04-19",23
