네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","샤넬향수"
"2017-08-01",42
"2017-08-02",39
"2017-08-03",27
"2017-08-04",33
"2017-08-05",32
"2017-08-06",28
"2017-08-07",33
"2017-08-08",36
"2017-08-09",35
"2017-08-10",27
"2017-08-11",30
"2017-08-12",35
"2017-08-13",30
"2017-08-14",31
"2017-08-15",36
"2017-08-16",32
"2017-08-17",38
"2017-08-18",38
"2017-08-19",36
"2017-08-20",42
"2017-08-21",34
"2017-08-22",35
"2017-08-23",33
"2017-08-24",37
"2017-08-25",32
"2017-08-26",37
"2017-08-27",37
"2017-08-28",30
"2017-08-29",31
"2017-08-30",36
"2017-08-31",28
"2017-09-01",40
"2017-09-02",39
"2017-09-03",38
"2017-09-04",34
"2017-09-05",39
"2017-09-06",34
"2017-09-07",35
"2017-09-08",27
"2017-09-09",38
"2017-09-10",33
"2017-09-11",38
"2017-09-12",37
"2017-09-13",37
"2017-09-14",34
"2017-09-15",38
"2017-09-16",36
"2017-09-17",37
"2017-09-18",36
"2017-09-19",36
"2017-09-20",38
"2017-09-21",34
"2017-09-22",35
"2017-09-23",37
"2017-09-24",32
"2017-09-25",53
"2017-09-26",57
"2017-09-27",56
"2017-09-28",55
"2017-09-29",56
"2017-09-30",53
"2017-10-01",56
"2017-10-02",51
"2017-10-03",37
"2017-10-04",45
"2017-10-05",56
"2017-10-06",58
"2017-10-07",51
"2017-10-08",52
"2017-10-09",57
"2017-10-10",65
"2017-10-11",60
"2017-10-12",56
"2017-10-13",61
"2017-10-14",67
"2017-10-15",65
"2017-10-16",63
"2017-10-17",57
"2017-10-18",49
"2017-10-19",56
"2017-10-20",51
"2017-10-21",51
"2017-10-22",60
"2017-10-23",58
"2017-10-24",53
"2017-10-25",45
"2017-10-26",44
"2017-10-27",48
"2017-10-28",56
"2017-10-29",63
"2017-10-30",61
"2017-10-31",51
"2017-11-01",69
"2017-11-02",73
"2017-11-03",76
"2017-11-04",69
"2017-11-05",70
"2017-11-06",89
"2017-11-07",86
"2017-11-08",80
"2017-11-09",71
"2017-11-10",64
"2017-11-11",67
"2017-11-12",65
"2017-11-13",66
"2017-11-14",63
"2017-11-15",57
"2017-11-16",66
"2017-11-17",65
"2017-11-18",52
"2017-11-19",59
"2017-11-20",63
"2017-11-21",58
"2017-11-22",55
"2017-11-23",52
"2017-11-24",57
"2017-11-25",51
"2017-11-26",64
"2017-11-27",63
"2017-11-28",55
"2017-11-29",66
"2017-11-30",65
"2017-12-01",64
"2017-12-02",53
"2017-12-03",68
"2017-12-04",77
"2017-12-05",77
"2017-12-06",73
"2017-12-07",63
"2017-12-08",80
"2017-12-09",100
"2017-12-10",84
"2017-12-11",89
"2017-12-12",80
"2017-12-13",83
"2017-12-14",74
"2017-12-15",72
"2017-12-16",57
"2017-12-17",68
"2017-12-18",84
"2017-12-19",72
"2017-12-20",91
"2017-12-21",80
"2017-12-22",78
"2017-12-23",71
"2017-12-24",87
"2017-12-25",85
"2017-12-26",85
"2017-12-27",66
"2017-12-28",59
"2017-12-29",62
"2017-12-30",68
"2017-12-31",63
"2018-01-01",59
"2018-01-02",66
"2018-01-03",62
"2018-01-04",56
"2018-01-05",50
"2018-01-06",59
"2018-01-07",65
"2018-01-08",61
"2018-01-09",62
"2018-01-10",69
"2018-01-11",65
"2018-01-12",57
"2018-01-13",71
"2018-01-14",64
"2018-01-15",65
"2018-01-16",67
"2018-01-17",66
"2018-01-18",61
"2018-01-19",61
"2018-01-20",70
"2018-01-21",64
"2018-01-22",63
"2018-01-23",77
"2018-01-24",63
"2018-01-25",67
"2018-01-26",64
"2018-01-27",59
"2018-01-28",86
"2018-01-29",84
"2018-01-30",75
"2018-01-31",85
"2018-02-01",82
"2018-02-02",85
"2018-02-03",72
"2018-02-04",88
"2018-02-05",69
"2018-02-06",72
"2018-02-07",86
"2018-02-08",87
"2018-02-09",61
"2018-02-10",63
"2018-02-11",69
"2018-02-12",55
"2018-02-13",74
"2018-02-14",68
"2018-02-15",54
"2018-02-16",62
"2018-02-17",75
"2018-02-18",94
"2018-02-19",80
"2018-02-20",81
"2018-02-21",80
"2018-02-22",83
"2018-02-23",71
"2018-02-24",81
"2018-02-25",76
"2018-02-26",69
"2018-02-27",80
"2018-02-28",78
"2018-03-01",81
"2018-03-02",92
"2018-03-03",77
"2018-03-04",92
"2018-03-05",87
"2018-03-06",78
"2018-03-07",80
"2018-03-08",81
"2018-03-09",80
"2018-03-10",80
"2018-03-11",89
"2018-03-12",90
"2018-03-13",87
"2018-03-14",94
"2018-03-15",76
"2018-03-16",65
"2018-03-17",60
"2018-03-18",72
"2018-03-19",78
"2018-03-20",80
"2018-03-21",66
"2018-03-22",74
"2018-03-23",68
"2018-03-24",73
"2018-03-25",80
"2018-03-26",78
"2018-03-27",80
"2018-03-28",78
"2018-03-29",65
"2018-03-30",65
"2018-03-31",62
"2018-04-01",68
"2018-04-02",68
"2018-04-03",74
"2018-04-04",80
"2018-04-05",75
"2018-04-06",65
"2018-04-07",59
"2018-04-08",68
"2018-04-09",62
"2018-04-10",65
"2018-04-11",69
"2018-04-12",58
"2018-04-13",58
"2018-04-14",66
"2018-04-15",68
"2018-04-16",58
"2018-04-17",65
"2018-04-18",66
"2018-04-19",60
