네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","헤어에센스"
"2017-08-01",27
"2017-08-02",34
"2017-08-03",34
"2017-08-04",28
"2017-08-05",26
"2017-08-06",37
"2017-08-07",48
"2017-08-08",34
"2017-08-09",43
"2017-08-10",34
"2017-08-11",24
"2017-08-12",25
"2017-08-13",32
"2017-08-14",31
"2017-08-15",34
"2017-08-16",33
"2017-08-17",43
"2017-08-18",29
"2017-08-19",31
"2017-08-20",36
"2017-08-21",36
"2017-08-22",34
"2017-08-23",40
"2017-08-24",34
"2017-08-25",28
"2017-08-26",36
"2017-08-27",31
"2017-08-28",32
"2017-08-29",27
"2017-08-30",38
"2017-08-31",31
"2017-09-01",23
"2017-09-02",27
"2017-09-03",27
"2017-09-04",35
"2017-09-05",33
"2017-09-06",20
"2017-09-07",27
"2017-09-08",20
"2017-09-09",25
"2017-09-10",30
"2017-09-11",35
"2017-09-12",35
"2017-09-13",35
"2017-09-14",33
"2017-09-15",28
"2017-09-16",26
"2017-09-17",35
"2017-09-18",47
"2017-09-19",35
"2017-09-20",32
"2017-09-21",22
"2017-09-22",23
"2017-09-23",26
"2017-09-24",28
"2017-09-25",48
"2017-09-26",48
"2017-09-27",47
"2017-09-28",39
"2017-09-29",27
"2017-09-30",24
"2017-10-01",33
"2017-10-02",26
"2017-10-03",25
"2017-10-04",28
"2017-10-05",26
"2017-10-06",37
"2017-10-07",39
"2017-10-08",50
"2017-10-09",47
"2017-10-10",53
"2017-10-11",51
"2017-10-12",53
"2017-10-13",36
"2017-10-14",30
"2017-10-15",47
"2017-10-16",44
"2017-10-17",51
"2017-10-18",54
"2017-10-19",53
"2017-10-20",44
"2017-10-21",28
"2017-10-22",52
"2017-10-23",53
"2017-10-24",50
"2017-10-25",51
"2017-10-26",47
"2017-10-27",41
"2017-10-28",41
"2017-10-29",44
"2017-10-30",57
"2017-10-31",56
"2017-11-01",65
"2017-11-02",49
"2017-11-03",54
"2017-11-04",39
"2017-11-05",55
"2017-11-06",70
"2017-11-07",61
"2017-11-08",59
"2017-11-09",56
"2017-11-10",46
"2017-11-11",35
"2017-11-12",55
"2017-11-13",64
"2017-11-14",55
"2017-11-15",49
"2017-11-16",51
"2017-11-17",45
"2017-11-18",51
"2017-11-19",63
"2017-11-20",58
"2017-11-21",58
"2017-11-22",59
"2017-11-23",58
"2017-11-24",48
"2017-11-25",61
"2017-11-26",66
"2017-11-27",76
"2017-11-28",64
"2017-11-29",65
"2017-11-30",66
"2017-12-01",58
"2017-12-02",51
"2017-12-03",65
"2017-12-04",79
"2017-12-05",76
"2017-12-06",70
"2017-12-07",63
"2017-12-08",49
"2017-12-09",47
"2017-12-10",59
"2017-12-11",70
"2017-12-12",65
"2017-12-13",70
"2017-12-14",56
"2017-12-15",51
"2017-12-16",56
"2017-12-17",58
"2017-12-18",75
"2017-12-19",61
"2017-12-20",66
"2017-12-21",48
"2017-12-22",40
"2017-12-23",37
"2017-12-24",40
"2017-12-25",54
"2017-12-26",57
"2017-12-27",54
"2017-12-28",55
"2017-12-29",53
"2017-12-30",52
"2017-12-31",44
"2018-01-01",76
"2018-01-02",81
"2018-01-03",72
"2018-01-04",70
"2018-01-05",62
"2018-01-06",58
"2018-01-07",70
"2018-01-08",75
"2018-01-09",74
"2018-01-10",69
"2018-01-11",61
"2018-01-12",58
"2018-01-13",58
"2018-01-14",66
"2018-01-15",73
"2018-01-16",69
"2018-01-17",64
"2018-01-18",65
"2018-01-19",60
"2018-01-20",54
"2018-01-21",56
"2018-01-22",67
"2018-01-23",70
"2018-01-24",62
"2018-01-25",53
"2018-01-26",45
"2018-01-27",50
"2018-01-28",72
"2018-01-29",72
"2018-01-30",76
"2018-01-31",72
"2018-02-01",78
"2018-02-02",59
"2018-02-03",71
"2018-02-04",80
"2018-02-05",100
"2018-02-06",92
"2018-02-07",87
"2018-02-08",78
"2018-02-09",49
"2018-02-10",48
"2018-02-11",65
"2018-02-12",68
"2018-02-13",52
"2018-02-14",41
"2018-02-15",44
"2018-02-16",37
"2018-02-17",54
"2018-02-18",71
"2018-02-19",84
"2018-02-20",84
"2018-02-21",75
"2018-02-22",81
"2018-02-23",71
"2018-02-24",63
"2018-02-25",79
"2018-02-26",74
"2018-02-27",63
"2018-02-28",79
"2018-03-01",75
"2018-03-02",65
"2018-03-03",60
"2018-03-04",90
"2018-03-05",63
"2018-03-06",75
"2018-03-07",76
"2018-03-08",64
"2018-03-09",48
"2018-03-10",67
"2018-03-11",81
"2018-03-12",94
"2018-03-13",71
"2018-03-14",76
"2018-03-15",66
"2018-03-16",54
"2018-03-17",49
"2018-03-18",75
"2018-03-19",79
"2018-03-20",62
"2018-03-21",61
"2018-03-22",63
"2018-03-23",52
"2018-03-24",64
"2018-03-25",73
"2018-03-26",82
"2018-03-27",94
"2018-03-28",68
"2018-03-29",70
"2018-03-30",54
"2018-03-31",51
"2018-04-01",62
"2018-04-02",75
"2018-04-03",79
"2018-04-04",87
"2018-04-05",69
"2018-04-06",66
"2018-04-07",53
"2018-04-08",76
"2018-04-09",84
"2018-04-10",81
"2018-04-11",85
"2018-04-12",72
"2018-04-13",51
"2018-04-14",56
"2018-04-15",70
"2018-04-16",88
"2018-04-17",71
"2018-04-18",76
"2018-04-19",71
