네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","디올어딕트립글로우"
"2017-08-01",23
"2017-08-02",25
"2017-08-03",26
"2017-08-04",14
"2017-08-05",17
"2017-08-06",21
"2017-08-07",25
"2017-08-08",27
"2017-08-09",29
"2017-08-10",30
"2017-08-11",27
"2017-08-12",18
"2017-08-13",26
"2017-08-14",27
"2017-08-15",23
"2017-08-16",25
"2017-08-17",24
"2017-08-18",20
"2017-08-19",19
"2017-08-20",24
"2017-08-21",27
"2017-08-22",24
"2017-08-23",23
"2017-08-24",21
"2017-08-25",19
"2017-08-26",19
"2017-08-27",20
"2017-08-28",24
"2017-08-29",31
"2017-08-30",31
"2017-08-31",27
"2017-09-01",24
"2017-09-02",21
"2017-09-03",26
"2017-09-04",25
"2017-09-05",28
"2017-09-06",22
"2017-09-07",22
"2017-09-08",24
"2017-09-09",23
"2017-09-10",24
"2017-09-11",31
"2017-09-12",24
"2017-09-13",30
"2017-09-14",25
"2017-09-15",23
"2017-09-16",21
"2017-09-17",23
"2017-09-18",30
"2017-09-19",33
"2017-09-20",32
"2017-09-21",30
"2017-09-22",29
"2017-09-23",24
"2017-09-24",26
"2017-09-25",33
"2017-09-26",29
"2017-09-27",24
"2017-09-28",22
"2017-09-29",20
"2017-09-30",18
"2017-10-01",18
"2017-10-02",20
"2017-10-03",15
"2017-10-04",24
"2017-10-05",23
"2017-10-06",23
"2017-10-07",23
"2017-10-08",25
"2017-10-09",31
"2017-10-10",35
"2017-10-11",28
"2017-10-12",31
"2017-10-13",26
"2017-10-14",22
"2017-10-15",31
"2017-10-16",35
"2017-10-17",32
"2017-10-18",33
"2017-10-19",29
"2017-10-20",31
"2017-10-21",24
"2017-10-22",29
"2017-10-23",33
"2017-10-24",31
"2017-10-25",29
"2017-10-26",28
"2017-10-27",23
"2017-10-28",22
"2017-10-29",24
"2017-10-30",31
"2017-10-31",23
"2017-11-01",34
"2017-11-02",35
"2017-11-03",33
"2017-11-04",23
"2017-11-05",25
"2017-11-06",40
"2017-11-07",37
"2017-11-08",37
"2017-11-09",31
"2017-11-10",31
"2017-11-11",34
"2017-11-12",30
"2017-11-13",40
"2017-11-14",37
"2017-11-15",34
"2017-11-16",44
"2017-11-17",32
"2017-11-18",28
"2017-11-19",45
"2017-11-20",40
"2017-11-21",41
"2017-11-22",36
"2017-11-23",34
"2017-11-24",28
"2017-11-25",21
"2017-11-26",29
"2017-11-27",33
"2017-11-28",32
"2017-11-29",31
"2017-11-30",30
"2017-12-01",28
"2017-12-02",25
"2017-12-03",34
"2017-12-04",34
"2017-12-05",38
"2017-12-06",30
"2017-12-07",33
"2017-12-08",31
"2017-12-09",30
"2017-12-10",34
"2017-12-11",39
"2017-12-12",38
"2017-12-13",36
"2017-12-14",42
"2017-12-15",34
"2017-12-16",34
"2017-12-17",44
"2017-12-18",44
"2017-12-19",39
"2017-12-20",41
"2017-12-21",39
"2017-12-22",29
"2017-12-23",26
"2017-12-24",30
"2017-12-25",34
"2017-12-26",44
"2017-12-27",41
"2017-12-28",41
"2017-12-29",26
"2017-12-30",27
"2017-12-31",27
"2018-01-01",36
"2018-01-02",44
"2018-01-03",46
"2018-01-04",50
"2018-01-05",48
"2018-01-06",47
"2018-01-07",46
"2018-01-08",55
"2018-01-09",60
"2018-01-10",61
"2018-01-11",65
"2018-01-12",54
"2018-01-13",64
"2018-01-14",54
"2018-01-15",81
"2018-01-16",59
"2018-01-17",63
"2018-01-18",63
"2018-01-19",61
"2018-01-20",48
"2018-01-21",69
"2018-01-22",100
"2018-01-23",82
"2018-01-24",63
"2018-01-25",62
"2018-01-26",51
"2018-01-27",55
"2018-01-28",62
"2018-01-29",65
"2018-01-30",88
"2018-01-31",71
"2018-02-01",69
"2018-02-02",67
"2018-02-03",67
"2018-02-04",67
"2018-02-05",83
"2018-02-06",80
"2018-02-07",89
"2018-02-08",77
"2018-02-09",69
"2018-02-10",64
"2018-02-11",77
"2018-02-12",68
"2018-02-13",53
"2018-02-14",51
"2018-02-15",43
"2018-02-16",38
"2018-02-17",43
"2018-02-18",63
"2018-02-19",100
"2018-02-20",94
"2018-02-21",88
"2018-02-22",75
"2018-02-23",69
"2018-02-24",53
"2018-02-25",56
"2018-02-26",65
"2018-02-27",64
"2018-02-28",58
"2018-03-01",55
"2018-03-02",41
"2018-03-03",43
"2018-03-04",52
"2018-03-05",53
"2018-03-06",50
"2018-03-07",50
"2018-03-08",49
"2018-03-09",44
"2018-03-10",44
"2018-03-11",55
"2018-03-12",54
"2018-03-13",54
"2018-03-14",45
"2018-03-15",37
"2018-03-16",30
"2018-03-17",39
"2018-03-18",43
"2018-03-19",32
"2018-03-20",37
"2018-03-21",46
"2018-03-22",43
"2018-03-23",39
"2018-03-24",39
"2018-03-25",41
"2018-03-26",40
"2018-03-27",38
"2018-03-28",41
"2018-03-29",33
"2018-03-30",29
"2018-03-31",33
"2018-04-01",41
"2018-04-02",39
"2018-04-03",36
"2018-04-04",31
"2018-04-05",36
"2018-04-06",34
"2018-04-07",34
"2018-04-08",45
"2018-04-09",42
"2018-04-10",42
"2018-04-11",45
"2018-04-12",46
"2018-04-13",39
"2018-04-14",40
"2018-04-15",45
"2018-04-16",48
"2018-04-17",42
"2018-04-18",37
"2018-04-19",39
