네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","러쉬더티스프레이"
"2017-08-01",44
"2017-08-02",33
"2017-08-03",32
"2017-08-04",28
"2017-08-05",27
"2017-08-06",35
"2017-08-07",41
"2017-08-08",34
"2017-08-09",33
"2017-08-10",34
"2017-08-11",30
"2017-08-12",29
"2017-08-13",33
"2017-08-14",42
"2017-08-15",38
"2017-08-16",39
"2017-08-17",38
"2017-08-18",41
"2017-08-19",30
"2017-08-20",47
"2017-08-21",55
"2017-08-22",45
"2017-08-23",49
"2017-08-24",50
"2017-08-25",39
"2017-08-26",37
"2017-08-27",37
"2017-08-28",37
"2017-08-29",34
"2017-08-30",38
"2017-08-31",32
"2017-09-01",37
"2017-09-02",36
"2017-09-03",35
"2017-09-04",40
"2017-09-05",55
"2017-09-06",43
"2017-09-07",43
"2017-09-08",34
"2017-09-09",54
"2017-09-10",46
"2017-09-11",47
"2017-09-12",41
"2017-09-13",43
"2017-09-14",33
"2017-09-15",30
"2017-09-16",33
"2017-09-17",37
"2017-09-18",40
"2017-09-19",30
"2017-09-20",32
"2017-09-21",30
"2017-09-22",25
"2017-09-23",28
"2017-09-24",44
"2017-09-25",35
"2017-09-26",41
"2017-09-27",38
"2017-09-28",32
"2017-09-29",26
"2017-09-30",23
"2017-10-01",35
"2017-10-02",39
"2017-10-03",34
"2017-10-04",26
"2017-10-05",36
"2017-10-06",41
"2017-10-07",32
"2017-10-08",37
"2017-10-09",63
"2017-10-10",56
"2017-10-11",57
"2017-10-12",48
"2017-10-13",39
"2017-10-14",35
"2017-10-15",50
"2017-10-16",55
"2017-10-17",44
"2017-10-18",51
"2017-10-19",51
"2017-10-20",42
"2017-10-21",39
"2017-10-22",41
"2017-10-23",42
"2017-10-24",39
"2017-10-25",39
"2017-10-26",35
"2017-10-27",35
"2017-10-28",33
"2017-10-29",38
"2017-10-30",42
"2017-10-31",33
"2017-11-01",41
"2017-11-02",46
"2017-11-03",29
"2017-11-04",28
"2017-11-05",49
"2017-11-06",50
"2017-11-07",39
"2017-11-08",43
"2017-11-09",27
"2017-11-10",28
"2017-11-11",32
"2017-11-12",45
"2017-11-13",54
"2017-11-14",52
"2017-11-15",45
"2017-11-16",37
"2017-11-17",38
"2017-11-18",21
"2017-11-19",34
"2017-11-20",43
"2017-11-21",35
"2017-11-22",31
"2017-11-23",44
"2017-11-24",43
"2017-11-25",53
"2017-11-26",54
"2017-11-27",78
"2017-11-28",53
"2017-11-29",53
"2017-11-30",46
"2017-12-01",33
"2017-12-02",38
"2017-12-03",47
"2017-12-04",51
"2017-12-05",47
"2017-12-06",45
"2017-12-07",31
"2017-12-08",36
"2017-12-09",36
"2017-12-10",41
"2017-12-11",41
"2017-12-12",38
"2017-12-13",35
"2017-12-14",42
"2017-12-15",27
"2017-12-16",42
"2017-12-17",40
"2017-12-18",51
"2017-12-19",50
"2017-12-20",41
"2017-12-21",41
"2017-12-22",28
"2017-12-23",30
"2017-12-24",28
"2017-12-25",36
"2017-12-26",39
"2017-12-27",30
"2017-12-28",32
"2017-12-29",30
"2017-12-30",28
"2017-12-31",26
"2018-01-01",40
"2018-01-02",41
"2018-01-03",35
"2018-01-04",36
"2018-01-05",32
"2018-01-06",31
"2018-01-07",33
"2018-01-08",46
"2018-01-09",38
"2018-01-10",48
"2018-01-11",44
"2018-01-12",43
"2018-01-13",34
"2018-01-14",34
"2018-01-15",42
"2018-01-16",34
"2018-01-17",41
"2018-01-18",42
"2018-01-19",38
"2018-01-20",40
"2018-01-21",54
"2018-01-22",45
"2018-01-23",51
"2018-01-24",47
"2018-01-25",40
"2018-01-26",40
"2018-01-27",49
"2018-01-28",55
"2018-01-29",77
"2018-01-30",70
"2018-01-31",70
"2018-02-01",66
"2018-02-02",56
"2018-02-03",55
"2018-02-04",72
"2018-02-05",77
"2018-02-06",78
"2018-02-07",57
"2018-02-08",58
"2018-02-09",47
"2018-02-10",60
"2018-02-11",61
"2018-02-12",57
"2018-02-13",40
"2018-02-14",38
"2018-02-15",52
"2018-02-16",52
"2018-02-17",62
"2018-02-18",60
"2018-02-19",82
"2018-02-20",74
"2018-02-21",67
"2018-02-22",74
"2018-02-23",70
"2018-02-24",60
"2018-02-25",89
"2018-02-26",100
"2018-02-27",74
"2018-02-28",56
"2018-03-01",66
"2018-03-02",60
"2018-03-03",63
"2018-03-04",66
"2018-03-05",64
"2018-03-06",77
"2018-03-07",74
"2018-03-08",58
"2018-03-09",60
"2018-03-10",57
"2018-03-11",65
"2018-03-12",69
"2018-03-13",63
"2018-03-14",56
"2018-03-15",53
"2018-03-16",40
"2018-03-17",35
"2018-03-18",51
"2018-03-19",49
"2018-03-20",45
"2018-03-21",49
"2018-03-22",47
"2018-03-23",43
"2018-03-24",34
"2018-03-25",55
"2018-03-26",48
"2018-03-27",40
"2018-03-28",41
"2018-03-29",60
"2018-03-30",43
"2018-03-31",31
"2018-04-01",57
"2018-04-02",68
"2018-04-03",52
"2018-04-04",50
"2018-04-05",49
"2018-04-06",46
"2018-04-07",46
"2018-04-08",64
"2018-04-09",67
"2018-04-10",61
"2018-04-11",46
"2018-04-12",82
"2018-04-13",63
"2018-04-14",48
"2018-04-15",73
"2018-04-16",60
"2018-04-17",56
"2018-04-18",47
"2018-04-19",51
