네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스틸라키튼카르마"
"2017-08-01",15
"2017-08-02",14
"2017-08-03",14
"2017-08-04",21
"2017-08-05",14
"2017-08-06",12
"2017-08-07",19
"2017-08-08",26
"2017-08-09",16
"2017-08-10",13
"2017-08-11",11
"2017-08-12",10
"2017-08-13",9
"2017-08-14",10
"2017-08-15",13
"2017-08-16",15
"2017-08-17",14
"2017-08-18",14
"2017-08-19",18
"2017-08-20",27
"2017-08-21",23
"2017-08-22",15
"2017-08-23",13
"2017-08-24",12
"2017-08-25",11
"2017-08-26",12
"2017-08-27",13
"2017-08-28",15
"2017-08-29",17
"2017-08-30",15
"2017-08-31",21
"2017-09-01",16
"2017-09-02",12
"2017-09-03",13
"2017-09-04",9
"2017-09-05",12
"2017-09-06",10
"2017-09-07",14
"2017-09-08",12
"2017-09-09",11
"2017-09-10",11
"2017-09-11",15
"2017-09-12",11
"2017-09-13",12
"2017-09-14",9
"2017-09-15",7
"2017-09-16",8
"2017-09-17",12
"2017-09-18",7
"2017-09-19",8
"2017-09-20",8
"2017-09-21",8
"2017-09-22",9
"2017-09-23",12
"2017-09-24",12
"2017-09-25",16
"2017-09-26",9
"2017-09-27",12
"2017-09-28",15
"2017-09-29",10
"2017-09-30",13
"2017-10-01",15
"2017-10-02",11
"2017-10-03",15
"2017-10-04",14
"2017-10-05",34
"2017-10-06",25
"2017-10-07",37
"2017-10-08",37
"2017-10-09",30
"2017-10-10",29
"2017-10-11",25
"2017-10-12",19
"2017-10-13",17
"2017-10-14",17
"2017-10-15",19
"2017-10-16",26
"2017-10-17",21
"2017-10-18",24
"2017-10-19",25
"2017-10-20",20
"2017-10-21",16
"2017-10-22",18
"2017-10-23",17
"2017-10-24",19
"2017-10-25",22
"2017-10-26",21
"2017-10-27",20
"2017-10-28",20
"2017-10-29",26
"2017-10-30",20
"2017-10-31",25
"2017-11-01",24
"2017-11-02",22
"2017-11-03",25
"2017-11-04",22
"2017-11-05",21
"2017-11-06",27
"2017-11-07",19
"2017-11-08",18
"2017-11-09",23
"2017-11-10",17
"2017-11-11",17
"2017-11-12",26
"2017-11-13",18
"2017-11-14",18
"2017-11-15",17
"2017-11-16",22
"2017-11-17",21
"2017-11-18",14
"2017-11-19",18
"2017-11-20",20
"2017-11-21",29
"2017-11-22",26
"2017-11-23",33
"2017-11-24",26
"2017-11-25",17
"2017-11-26",20
"2017-11-27",22
"2017-11-28",23
"2017-11-29",19
"2017-11-30",31
"2017-12-01",32
"2017-12-02",39
"2017-12-03",48
"2017-12-04",48
"2017-12-05",41
"2017-12-06",50
"2017-12-07",60
"2017-12-08",34
"2017-12-09",37
"2017-12-10",44
"2017-12-11",62
"2017-12-12",42
"2017-12-13",36
"2017-12-14",41
"2017-12-15",35
"2017-12-16",36
"2017-12-17",41
"2017-12-18",33
"2017-12-19",29
"2017-12-20",41
"2017-12-21",34
"2017-12-22",40
"2017-12-23",34
"2017-12-24",55
"2017-12-25",52
"2017-12-26",72
"2017-12-27",51
"2017-12-28",39
"2017-12-29",31
"2017-12-30",33
"2017-12-31",71
"2018-01-01",70
"2018-01-02",51
"2018-01-03",43
"2018-01-04",52
"2018-01-05",55
"2018-01-06",64
"2018-01-07",60
"2018-01-08",56
"2018-01-09",55
"2018-01-10",40
"2018-01-11",44
"2018-01-12",42
"2018-01-13",40
"2018-01-14",47
"2018-01-15",49
"2018-01-16",40
"2018-01-17",40
"2018-01-18",42
"2018-01-19",36
"2018-01-20",35
"2018-01-21",36
"2018-01-22",46
"2018-01-23",50
"2018-01-24",53
"2018-01-25",44
"2018-01-26",41
"2018-01-27",44
"2018-01-28",41
"2018-01-29",52
"2018-01-30",58
"2018-01-31",51
"2018-02-01",81
"2018-02-02",58
"2018-02-03",54
"2018-02-04",68
"2018-02-05",88
"2018-02-06",82
"2018-02-07",61
"2018-02-08",51
"2018-02-09",47
"2018-02-10",40
"2018-02-11",53
"2018-02-12",70
"2018-02-13",49
"2018-02-14",43
"2018-02-15",35
"2018-02-16",55
"2018-02-17",61
"2018-02-18",69
"2018-02-19",72
"2018-02-20",61
"2018-02-21",46
"2018-02-22",64
"2018-02-23",48
"2018-02-24",48
"2018-02-25",56
"2018-02-26",53
"2018-02-27",55
"2018-02-28",67
"2018-03-01",100
"2018-03-02",81
"2018-03-03",67
"2018-03-04",87
"2018-03-05",83
"2018-03-06",59
"2018-03-07",53
"2018-03-08",53
"2018-03-09",38
"2018-03-10",53
"2018-03-11",55
"2018-03-12",51
"2018-03-13",58
"2018-03-14",55
"2018-03-15",43
"2018-03-16",41
"2018-03-17",42
"2018-03-18",44
"2018-03-19",40
"2018-03-20",46
"2018-03-21",32
"2018-03-22",30
"2018-03-23",36
"2018-03-24",36
"2018-03-25",34
"2018-03-26",38
"2018-03-27",35
"2018-03-28",33
"2018-03-29",40
"2018-03-30",31
"2018-03-31",31
"2018-04-01",40
"2018-04-02",33
"2018-04-03",29
"2018-04-04",30
"2018-04-05",39
"2018-04-06",30
"2018-04-07",29
"2018-04-08",28
"2018-04-09",31
"2018-04-10",25
"2018-04-11",29
"2018-04-12",38
"2018-04-13",25
"2018-04-14",24
"2018-04-15",32
"2018-04-16",25
"2018-04-17",27
"2018-04-18",31
"2018-04-19",31
