네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키다이나모프리"
"2017-08-01",7
"2017-08-02",7
"2017-08-03",9
"2017-08-04",4
"2017-08-05",9
"2017-08-06",10
"2017-08-07",9
"2017-08-08",9
"2017-08-09",11
"2017-08-10",15
"2017-08-11",14
"2017-08-12",10
"2017-08-13",15
"2017-08-14",20
"2017-08-15",20
"2017-08-16",23
"2017-08-17",23
"2017-08-18",20
"2017-08-19",22
"2017-08-20",27
"2017-08-21",36
"2017-08-22",33
"2017-08-23",31
"2017-08-24",22
"2017-08-25",26
"2017-08-26",28
"2017-08-27",34
"2017-08-28",32
"2017-08-29",43
"2017-08-30",62
"2017-08-31",74
"2017-09-01",53
"2017-09-02",51
"2017-09-03",65
"2017-09-04",54
"2017-09-05",48
"2017-09-06",50
"2017-09-07",42
"2017-09-08",37
"2017-09-09",53
"2017-09-10",48
"2017-09-11",51
"2017-09-12",47
"2017-09-13",43
"2017-09-14",36
"2017-09-15",37
"2017-09-16",44
"2017-09-17",51
"2017-09-18",57
"2017-09-19",45
"2017-09-20",41
"2017-09-21",44
"2017-09-22",50
"2017-09-23",50
"2017-09-24",70
"2017-09-25",63
"2017-09-26",49
"2017-09-27",42
"2017-09-28",33
"2017-09-29",29
"2017-09-30",37
"2017-10-01",45
"2017-10-02",39
"2017-10-03",37
"2017-10-04",27
"2017-10-05",42
"2017-10-06",45
"2017-10-07",54
"2017-10-08",59
"2017-10-09",68
"2017-10-10",70
"2017-10-11",55
"2017-10-12",50
"2017-10-13",42
"2017-10-14",52
"2017-10-15",70
"2017-10-16",66
"2017-10-17",55
"2017-10-18",55
"2017-10-19",52
"2017-10-20",44
"2017-10-21",48
"2017-10-22",51
"2017-10-23",63
"2017-10-24",43
"2017-10-25",51
"2017-10-26",43
"2017-10-27",33
"2017-10-28",37
"2017-10-29",45
"2017-10-30",48
"2017-10-31",40
"2017-11-01",39
"2017-11-02",35
"2017-11-03",36
"2017-11-04",38
"2017-11-05",45
"2017-11-06",39
"2017-11-07",33
"2017-11-08",55
"2017-11-09",38
"2017-11-10",33
"2017-11-11",32
"2017-11-12",37
"2017-11-13",31
"2017-11-14",30
"2017-11-15",33
"2017-11-16",32
"2017-11-17",31
"2017-11-18",22
"2017-11-19",32
"2017-11-20",31
"2017-11-21",36
"2017-11-22",33
"2017-11-23",28
"2017-11-24",30
"2017-11-25",31
"2017-11-26",34
"2017-11-27",31
"2017-11-28",26
"2017-11-29",22
"2017-11-30",19
"2017-12-01",21
"2017-12-02",16
"2017-12-03",21
"2017-12-04",23
"2017-12-05",16
"2017-12-06",17
"2017-12-07",16
"2017-12-08",13
"2017-12-09",16
"2017-12-10",21
"2017-12-11",21
"2017-12-12",16
"2017-12-13",17
"2017-12-14",13
"2017-12-15",12
"2017-12-16",14
"2017-12-17",20
"2017-12-18",19
"2017-12-19",16
"2017-12-20",14
"2017-12-21",16
"2017-12-22",15
"2017-12-23",20
"2017-12-24",25
"2017-12-25",24
"2017-12-26",27
"2017-12-27",31
"2017-12-28",22
"2017-12-29",23
"2017-12-30",19
"2017-12-31",23
"2018-01-01",20
"2018-01-02",22
"2018-01-03",30
"2018-01-04",24
"2018-01-05",28
"2018-01-06",35
"2018-01-07",34
"2018-01-08",28
"2018-01-09",39
"2018-01-10",25
"2018-01-11",29
"2018-01-12",38
"2018-01-13",31
"2018-01-14",39
"2018-01-15",31
"2018-01-16",33
"2018-01-17",31
"2018-01-18",28
"2018-01-19",29
"2018-01-20",35
"2018-01-21",39
"2018-01-22",35
"2018-01-23",42
"2018-01-24",27
"2018-01-25",27
"2018-01-26",25
"2018-01-27",29
"2018-01-28",40
"2018-01-29",35
"2018-01-30",40
"2018-01-31",28
"2018-02-01",38
"2018-02-02",34
"2018-02-03",39
"2018-02-04",52
"2018-02-05",36
"2018-02-06",34
"2018-02-07",39
"2018-02-08",37
"2018-02-09",31
"2018-02-10",37
"2018-02-11",48
"2018-02-12",33
"2018-02-13",33
"2018-02-14",32
"2018-02-15",30
"2018-02-16",22
"2018-02-17",46
"2018-02-18",71
"2018-02-19",67
"2018-02-20",64
"2018-02-21",60
"2018-02-22",59
"2018-02-23",45
"2018-02-24",62
"2018-02-25",97
"2018-02-26",90
"2018-02-27",74
"2018-02-28",78
"2018-03-01",100
"2018-03-02",72
"2018-03-03",78
"2018-03-04",98
"2018-03-05",84
"2018-03-06",75
"2018-03-07",75
"2018-03-08",74
"2018-03-09",57
"2018-03-10",77
"2018-03-11",85
"2018-03-12",73
"2018-03-13",66
"2018-03-14",64
"2018-03-15",55
"2018-03-16",39
"2018-03-17",55
"2018-03-18",91
"2018-03-19",84
"2018-03-20",75
"2018-03-21",62
"2018-03-22",68
"2018-03-23",59
"2018-03-24",61
"2018-03-25",64
"2018-03-26",60
"2018-03-27",56
"2018-03-28",42
"2018-03-29",40
"2018-03-30",30
"2018-03-31",44
"2018-04-01",55
"2018-04-02",52
"2018-04-03",54
"2018-04-04",56
"2018-04-05",62
"2018-04-06",40
"2018-04-07",48
"2018-04-08",53
"2018-04-09",55
"2018-04-10",54
"2018-04-11",50
"2018-04-12",44
"2018-04-13",28
"2018-04-14",43
"2018-04-15",52
"2018-04-16",50
"2018-04-17",50
"2018-04-18",48
"2018-04-19",50
