네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","블루독베이비"
"2017-08-01",32
"2017-08-02",29
"2017-08-03",28
"2017-08-04",20
"2017-08-05",17
"2017-08-06",26
"2017-08-07",26
"2017-08-08",35
"2017-08-09",22
"2017-08-10",26
"2017-08-11",27
"2017-08-12",26
"2017-08-13",29
"2017-08-14",36
"2017-08-15",32
"2017-08-16",36
"2017-08-17",41
"2017-08-18",37
"2017-08-19",34
"2017-08-20",40
"2017-08-21",47
"2017-08-22",35
"2017-08-23",36
"2017-08-24",37
"2017-08-25",30
"2017-08-26",34
"2017-08-27",37
"2017-08-28",45
"2017-08-29",60
"2017-08-30",70
"2017-08-31",63
"2017-09-01",53
"2017-09-02",67
"2017-09-03",58
"2017-09-04",59
"2017-09-05",59
"2017-09-06",52
"2017-09-07",59
"2017-09-08",45
"2017-09-09",45
"2017-09-10",53
"2017-09-11",70
"2017-09-12",65
"2017-09-13",67
"2017-09-14",58
"2017-09-15",55
"2017-09-16",51
"2017-09-17",68
"2017-09-18",71
"2017-09-19",75
"2017-09-20",55
"2017-09-21",73
"2017-09-22",69
"2017-09-23",70
"2017-09-24",84
"2017-09-25",86
"2017-09-26",85
"2017-09-27",83
"2017-09-28",66
"2017-09-29",55
"2017-09-30",58
"2017-10-01",66
"2017-10-02",64
"2017-10-03",46
"2017-10-04",42
"2017-10-05",54
"2017-10-06",81
"2017-10-07",70
"2017-10-08",73
"2017-10-09",67
"2017-10-10",75
"2017-10-11",64
"2017-10-12",85
"2017-10-13",65
"2017-10-14",54
"2017-10-15",58
"2017-10-16",64
"2017-10-17",63
"2017-10-18",59
"2017-10-19",43
"2017-10-20",53
"2017-10-21",55
"2017-10-22",68
"2017-10-23",61
"2017-10-24",66
"2017-10-25",59
"2017-10-26",67
"2017-10-27",51
"2017-10-28",56
"2017-10-29",52
"2017-10-30",67
"2017-10-31",66
"2017-11-01",74
"2017-11-02",67
"2017-11-03",65
"2017-11-04",59
"2017-11-05",76
"2017-11-06",68
"2017-11-07",71
"2017-11-08",79
"2017-11-09",78
"2017-11-10",88
"2017-11-11",73
"2017-11-12",89
"2017-11-13",84
"2017-11-14",93
"2017-11-15",78
"2017-11-16",84
"2017-11-17",74
"2017-11-18",65
"2017-11-19",65
"2017-11-20",87
"2017-11-21",87
"2017-11-22",70
"2017-11-23",66
"2017-11-24",56
"2017-11-25",50
"2017-11-26",72
"2017-11-27",69
"2017-11-28",63
"2017-11-29",56
"2017-11-30",61
"2017-12-01",64
"2017-12-02",53
"2017-12-03",74
"2017-12-04",74
"2017-12-05",63
"2017-12-06",56
"2017-12-07",54
"2017-12-08",49
"2017-12-09",42
"2017-12-10",50
"2017-12-11",57
"2017-12-12",59
"2017-12-13",31
"2017-12-14",27
"2017-12-15",27
"2017-12-16",27
"2017-12-17",30
"2017-12-18",45
"2017-12-19",47
"2017-12-20",36
"2017-12-21",31
"2017-12-22",31
"2017-12-23",29
"2017-12-24",25
"2017-12-25",29
"2017-12-26",42
"2017-12-27",32
"2017-12-28",32
"2017-12-29",26
"2017-12-30",32
"2017-12-31",28
"2018-01-01",34
"2018-01-02",34
"2018-01-03",45
"2018-01-04",44
"2018-01-05",37
"2018-01-06",36
"2018-01-07",37
"2018-01-08",41
"2018-01-09",40
"2018-01-10",38
"2018-01-11",46
"2018-01-12",35
"2018-01-13",44
"2018-01-14",32
"2018-01-15",39
"2018-01-16",44
"2018-01-17",40
"2018-01-18",40
"2018-01-19",36
"2018-01-20",39
"2018-01-21",47
"2018-01-22",53
"2018-01-23",42
"2018-01-24",48
"2018-01-25",59
"2018-01-26",47
"2018-01-27",47
"2018-01-28",58
"2018-01-29",59
"2018-01-30",50
"2018-01-31",50
"2018-02-01",47
"2018-02-02",53
"2018-02-03",54
"2018-02-04",77
"2018-02-05",74
"2018-02-06",71
"2018-02-07",80
"2018-02-08",65
"2018-02-09",61
"2018-02-10",55
"2018-02-11",68
"2018-02-12",70
"2018-02-13",47
"2018-02-14",49
"2018-02-15",34
"2018-02-16",35
"2018-02-17",52
"2018-02-18",64
"2018-02-19",75
"2018-02-20",56
"2018-02-21",71
"2018-02-22",71
"2018-02-23",61
"2018-02-24",60
"2018-02-25",66
"2018-02-26",74
"2018-02-27",67
"2018-02-28",68
"2018-03-01",77
"2018-03-02",63
"2018-03-03",73
"2018-03-04",85
"2018-03-05",91
"2018-03-06",73
"2018-03-07",79
"2018-03-08",75
"2018-03-09",65
"2018-03-10",60
"2018-03-11",69
"2018-03-12",92
"2018-03-13",100
"2018-03-14",85
"2018-03-15",78
"2018-03-16",79
"2018-03-17",69
"2018-03-18",84
"2018-03-19",93
"2018-03-20",80
"2018-03-21",81
"2018-03-22",59
"2018-03-23",63
"2018-03-24",69
"2018-03-25",78
"2018-03-26",84
"2018-03-27",82
"2018-03-28",76
"2018-03-29",67
"2018-03-30",63
"2018-03-31",54
"2018-04-01",68
"2018-04-02",86
"2018-04-03",82
"2018-04-04",74
"2018-04-05",70
"2018-04-06",58
"2018-04-07",56
"2018-04-08",59
"2018-04-09",61
"2018-04-10",65
"2018-04-11",57
"2018-04-12",52
"2018-04-13",52
"2018-04-14",55
"2018-04-15",56
"2018-04-16",68
"2018-04-17",65
"2018-04-18",59
"2018-04-19",61
