네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아디다스슈퍼스타360"
"2017-08-01",5
"2017-08-02",7
"2017-08-03",5
"2017-08-04",5
"2017-08-05",4
"2017-08-06",5
"2017-08-07",7
"2017-08-08",8
"2017-08-09",9
"2017-08-10",9
"2017-08-11",6
"2017-08-12",6
"2017-08-13",9
"2017-08-14",15
"2017-08-15",18
"2017-08-16",16
"2017-08-17",25
"2017-08-18",14
"2017-08-19",12
"2017-08-20",14
"2017-08-21",19
"2017-08-22",18
"2017-08-23",22
"2017-08-24",11
"2017-08-25",14
"2017-08-26",14
"2017-08-27",26
"2017-08-28",26
"2017-08-29",45
"2017-08-30",68
"2017-08-31",60
"2017-09-01",52
"2017-09-02",40
"2017-09-03",51
"2017-09-04",60
"2017-09-05",62
"2017-09-06",63
"2017-09-07",54
"2017-09-08",43
"2017-09-09",71
"2017-09-10",62
"2017-09-11",56
"2017-09-12",53
"2017-09-13",69
"2017-09-14",47
"2017-09-15",47
"2017-09-16",52
"2017-09-17",74
"2017-09-18",79
"2017-09-19",60
"2017-09-20",74
"2017-09-21",69
"2017-09-22",61
"2017-09-23",60
"2017-09-24",72
"2017-09-25",76
"2017-09-26",66
"2017-09-27",69
"2017-09-28",54
"2017-09-29",34
"2017-09-30",35
"2017-10-01",40
"2017-10-02",34
"2017-10-03",37
"2017-10-04",40
"2017-10-05",45
"2017-10-06",51
"2017-10-07",49
"2017-10-08",58
"2017-10-09",81
"2017-10-10",97
"2017-10-11",76
"2017-10-12",75
"2017-10-13",57
"2017-10-14",55
"2017-10-15",58
"2017-10-16",66
"2017-10-17",59
"2017-10-18",61
"2017-10-19",57
"2017-10-20",45
"2017-10-21",43
"2017-10-22",62
"2017-10-23",63
"2017-10-24",54
"2017-10-25",58
"2017-10-26",43
"2017-10-27",43
"2017-10-28",35
"2017-10-29",43
"2017-10-30",42
"2017-10-31",34
"2017-11-01",42
"2017-11-02",40
"2017-11-03",27
"2017-11-04",36
"2017-11-05",38
"2017-11-06",52
"2017-11-07",40
"2017-11-08",45
"2017-11-09",32
"2017-11-10",34
"2017-11-11",30
"2017-11-12",29
"2017-11-13",40
"2017-11-14",32
"2017-11-15",26
"2017-11-16",25
"2017-11-17",26
"2017-11-18",20
"2017-11-19",20
"2017-11-20",27
"2017-11-21",28
"2017-11-22",25
"2017-11-23",22
"2017-11-24",17
"2017-11-25",20
"2017-11-26",24
"2017-11-27",24
"2017-11-28",19
"2017-11-29",18
"2017-11-30",9
"2017-12-01",10
"2017-12-02",11
"2017-12-03",18
"2017-12-04",24
"2017-12-05",14
"2017-12-06",18
"2017-12-07",12
"2017-12-08",13
"2017-12-09",13
"2017-12-10",16
"2017-12-11",16
"2017-12-12",10
"2017-12-13",11
"2017-12-14",11
"2017-12-15",10
"2017-12-16",10
"2017-12-17",12
"2017-12-18",9
"2017-12-19",10
"2017-12-20",10
"2017-12-21",12
"2017-12-22",10
"2017-12-23",11
"2017-12-24",7
"2017-12-25",12
"2017-12-26",17
"2017-12-27",13
"2017-12-28",9
"2017-12-29",13
"2017-12-30",10
"2017-12-31",10
"2018-01-01",20
"2018-01-02",14
"2018-01-03",15
"2018-01-04",19
"2018-01-05",20
"2018-01-06",26
"2018-01-07",22
"2018-01-08",30
"2018-01-09",21
"2018-01-10",27
"2018-01-11",18
"2018-01-12",24
"2018-01-13",17
"2018-01-14",18
"2018-01-15",20
"2018-01-16",22
"2018-01-17",19
"2018-01-18",21
"2018-01-19",20
"2018-01-20",20
"2018-01-21",27
"2018-01-22",25
"2018-01-23",29
"2018-01-24",23
"2018-01-25",26
"2018-01-26",20
"2018-01-27",22
"2018-01-28",24
"2018-01-29",32
"2018-01-30",23
"2018-01-31",25
"2018-02-01",31
"2018-02-02",27
"2018-02-03",33
"2018-02-04",35
"2018-02-05",35
"2018-02-06",27
"2018-02-07",32
"2018-02-08",29
"2018-02-09",41
"2018-02-10",30
"2018-02-11",40
"2018-02-12",25
"2018-02-13",34
"2018-02-14",36
"2018-02-15",24
"2018-02-16",25
"2018-02-17",47
"2018-02-18",62
"2018-02-19",54
"2018-02-20",45
"2018-02-21",77
"2018-02-22",57
"2018-02-23",47
"2018-02-24",59
"2018-02-25",70
"2018-02-26",76
"2018-02-27",68
"2018-02-28",70
"2018-03-01",85
"2018-03-02",67
"2018-03-03",89
"2018-03-04",97
"2018-03-05",95
"2018-03-06",100
"2018-03-07",86
"2018-03-08",78
"2018-03-09",66
"2018-03-10",84
"2018-03-11",90
"2018-03-12",89
"2018-03-13",78
"2018-03-14",87
"2018-03-15",74
"2018-03-16",58
"2018-03-17",75
"2018-03-18",95
"2018-03-19",77
"2018-03-20",64
"2018-03-21",66
"2018-03-22",57
"2018-03-23",46
"2018-03-24",54
"2018-03-25",53
"2018-03-26",54
"2018-03-27",42
"2018-03-28",46
"2018-03-29",46
"2018-03-30",42
"2018-03-31",37
"2018-04-01",52
"2018-04-02",44
"2018-04-03",45
"2018-04-04",39
"2018-04-05",52
"2018-04-06",33
"2018-04-07",22
"2018-04-08",38
"2018-04-09",39
"2018-04-10",31
"2018-04-11",35
"2018-04-12",29
"2018-04-13",22
"2018-04-14",21
"2018-04-15",28
"2018-04-16",28
"2018-04-17",41
"2018-04-18",38
"2018-04-19",33
