네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","휴대용유모차"
"2017-08-01",69
"2017-08-02",63
"2017-08-03",56
"2017-08-04",58
"2017-08-05",51
"2017-08-06",52
"2017-08-07",55
"2017-08-08",64
"2017-08-09",60
"2017-08-10",55
"2017-08-11",47
"2017-08-12",57
"2017-08-13",65
"2017-08-14",72
"2017-08-15",69
"2017-08-16",72
"2017-08-17",66
"2017-08-18",70
"2017-08-19",71
"2017-08-20",72
"2017-08-21",70
"2017-08-22",74
"2017-08-23",70
"2017-08-24",65
"2017-08-25",65
"2017-08-26",66
"2017-08-27",81
"2017-08-28",69
"2017-08-29",88
"2017-08-30",75
"2017-08-31",64
"2017-09-01",55
"2017-09-02",59
"2017-09-03",73
"2017-09-04",68
"2017-09-05",64
"2017-09-06",59
"2017-09-07",55
"2017-09-08",58
"2017-09-09",55
"2017-09-10",67
"2017-09-11",67
"2017-09-12",61
"2017-09-13",62
"2017-09-14",57
"2017-09-15",54
"2017-09-16",54
"2017-09-17",69
"2017-09-18",66
"2017-09-19",64
"2017-09-20",63
"2017-09-21",62
"2017-09-22",50
"2017-09-23",53
"2017-09-24",66
"2017-09-25",67
"2017-09-26",68
"2017-09-27",68
"2017-09-28",47
"2017-09-29",47
"2017-09-30",50
"2017-10-01",51
"2017-10-02",39
"2017-10-03",34
"2017-10-04",34
"2017-10-05",51
"2017-10-06",50
"2017-10-07",63
"2017-10-08",93
"2017-10-09",99
"2017-10-10",83
"2017-10-11",64
"2017-10-12",57
"2017-10-13",59
"2017-10-14",62
"2017-10-15",62
"2017-10-16",63
"2017-10-17",56
"2017-10-18",47
"2017-10-19",43
"2017-10-20",45
"2017-10-21",44
"2017-10-22",53
"2017-10-23",53
"2017-10-24",50
"2017-10-25",48
"2017-10-26",44
"2017-10-27",44
"2017-10-28",46
"2017-10-29",53
"2017-10-30",57
"2017-10-31",41
"2017-11-01",38
"2017-11-02",49
"2017-11-03",44
"2017-11-04",50
"2017-11-05",54
"2017-11-06",57
"2017-11-07",51
"2017-11-08",49
"2017-11-09",48
"2017-11-10",39
"2017-11-11",46
"2017-11-12",50
"2017-11-13",52
"2017-11-14",40
"2017-11-15",34
"2017-11-16",36
"2017-11-17",29
"2017-11-18",26
"2017-11-19",34
"2017-11-20",41
"2017-11-21",35
"2017-11-22",36
"2017-11-23",29
"2017-11-24",28
"2017-11-25",30
"2017-11-26",40
"2017-11-27",34
"2017-11-28",29
"2017-11-29",34
"2017-11-30",33
"2017-12-01",25
"2017-12-02",30
"2017-12-03",31
"2017-12-04",33
"2017-12-05",32
"2017-12-06",33
"2017-12-07",28
"2017-12-08",30
"2017-12-09",30
"2017-12-10",37
"2017-12-11",29
"2017-12-12",24
"2017-12-13",30
"2017-12-14",30
"2017-12-15",20
"2017-12-16",30
"2017-12-17",29
"2017-12-18",28
"2017-12-19",29
"2017-12-20",27
"2017-12-21",30
"2017-12-22",21
"2017-12-23",21
"2017-12-24",26
"2017-12-25",29
"2017-12-26",33
"2017-12-27",29
"2017-12-28",32
"2017-12-29",23
"2017-12-30",29
"2017-12-31",27
"2018-01-01",32
"2018-01-02",41
"2018-01-03",32
"2018-01-04",30
"2018-01-05",34
"2018-01-06",31
"2018-01-07",29
"2018-01-08",40
"2018-01-09",36
"2018-01-10",34
"2018-01-11",24
"2018-01-12",27
"2018-01-13",35
"2018-01-14",38
"2018-01-15",37
"2018-01-16",39
"2018-01-17",36
"2018-01-18",35
"2018-01-19",36
"2018-01-20",33
"2018-01-21",47
"2018-01-22",43
"2018-01-23",37
"2018-01-24",30
"2018-01-25",33
"2018-01-26",24
"2018-01-27",30
"2018-01-28",34
"2018-01-29",37
"2018-01-30",32
"2018-01-31",29
"2018-02-01",31
"2018-02-02",44
"2018-02-03",38
"2018-02-04",47
"2018-02-05",40
"2018-02-06",43
"2018-02-07",41
"2018-02-08",33
"2018-02-09",31
"2018-02-10",36
"2018-02-11",43
"2018-02-12",38
"2018-02-13",35
"2018-02-14",39
"2018-02-15",23
"2018-02-16",21
"2018-02-17",33
"2018-02-18",54
"2018-02-19",56
"2018-02-20",54
"2018-02-21",60
"2018-02-22",50
"2018-02-23",50
"2018-02-24",56
"2018-02-25",79
"2018-02-26",82
"2018-02-27",71
"2018-02-28",59
"2018-03-01",59
"2018-03-02",55
"2018-03-03",72
"2018-03-04",88
"2018-03-05",92
"2018-03-06",91
"2018-03-07",72
"2018-03-08",65
"2018-03-09",65
"2018-03-10",64
"2018-03-11",90
"2018-03-12",92
"2018-03-13",85
"2018-03-14",96
"2018-03-15",71
"2018-03-16",68
"2018-03-17",78
"2018-03-18",87
"2018-03-19",84
"2018-03-20",76
"2018-03-21",68
"2018-03-22",77
"2018-03-23",78
"2018-03-24",73
"2018-03-25",100
"2018-03-26",88
"2018-03-27",83
"2018-03-28",77
"2018-03-29",78
"2018-03-30",74
"2018-03-31",69
"2018-04-01",96
"2018-04-02",86
"2018-04-03",88
"2018-04-04",69
"2018-04-05",80
"2018-04-06",66
"2018-04-07",55
"2018-04-08",74
"2018-04-09",78
"2018-04-10",65
"2018-04-11",57
"2018-04-12",78
"2018-04-13",79
"2018-04-14",66
"2018-04-15",76
"2018-04-16",83
"2018-04-17",85
"2018-04-18",76
"2018-04-19",67
