네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","낮잠이불"
"2017-08-01",4
"2017-08-02",4
"2017-08-03",4
"2017-08-04",4
"2017-08-05",2
"2017-08-06",3
"2017-08-07",9
"2017-08-08",8
"2017-08-09",6
"2017-08-10",6
"2017-08-11",7
"2017-08-12",4
"2017-08-13",6
"2017-08-14",6
"2017-08-15",6
"2017-08-16",8
"2017-08-17",9
"2017-08-18",9
"2017-08-19",9
"2017-08-20",7
"2017-08-21",12
"2017-08-22",10
"2017-08-23",7
"2017-08-24",10
"2017-08-25",9
"2017-08-26",8
"2017-08-27",7
"2017-08-28",13
"2017-08-29",11
"2017-08-30",14
"2017-08-31",14
"2017-09-01",15
"2017-09-02",10
"2017-09-03",11
"2017-09-04",18
"2017-09-05",16
"2017-09-06",17
"2017-09-07",14
"2017-09-08",12
"2017-09-09",7
"2017-09-10",11
"2017-09-11",14
"2017-09-12",14
"2017-09-13",14
"2017-09-14",12
"2017-09-15",12
"2017-09-16",8
"2017-09-17",10
"2017-09-18",12
"2017-09-19",13
"2017-09-20",9
"2017-09-21",10
"2017-09-22",9
"2017-09-23",6
"2017-09-24",7
"2017-09-25",10
"2017-09-26",10
"2017-09-27",8
"2017-09-28",8
"2017-09-29",7
"2017-09-30",6
"2017-10-01",8
"2017-10-02",6
"2017-10-03",4
"2017-10-04",2
"2017-10-05",4
"2017-10-06",6
"2017-10-07",8
"2017-10-08",8
"2017-10-09",10
"2017-10-10",21
"2017-10-11",20
"2017-10-12",20
"2017-10-13",17
"2017-10-14",12
"2017-10-15",13
"2017-10-16",20
"2017-10-17",17
"2017-10-18",16
"2017-10-19",14
"2017-10-20",14
"2017-10-21",12
"2017-10-22",11
"2017-10-23",17
"2017-10-24",16
"2017-10-25",14
"2017-10-26",11
"2017-10-27",11
"2017-10-28",9
"2017-10-29",9
"2017-10-30",15
"2017-10-31",13
"2017-11-01",12
"2017-11-02",12
"2017-11-03",15
"2017-11-04",8
"2017-11-05",9
"2017-11-06",15
"2017-11-07",11
"2017-11-08",12
"2017-11-09",10
"2017-11-10",9
"2017-11-11",8
"2017-11-12",6
"2017-11-13",13
"2017-11-14",10
"2017-11-15",9
"2017-11-16",9
"2017-11-17",8
"2017-11-18",8
"2017-11-19",7
"2017-11-20",11
"2017-11-21",11
"2017-11-22",8
"2017-11-23",7
"2017-11-24",6
"2017-11-25",6
"2017-11-26",7
"2017-11-27",8
"2017-11-28",9
"2017-11-29",10
"2017-11-30",8
"2017-12-01",9
"2017-12-02",6
"2017-12-03",8
"2017-12-04",13
"2017-12-05",10
"2017-12-06",10
"2017-12-07",9
"2017-12-08",8
"2017-12-09",9
"2017-12-10",8
"2017-12-11",9
"2017-12-12",8
"2017-12-13",8
"2017-12-14",5
"2017-12-15",7
"2017-12-16",9
"2017-12-17",5
"2017-12-18",7
"2017-12-19",7
"2017-12-20",6
"2017-12-21",7
"2017-12-22",6
"2017-12-23",5
"2017-12-24",4
"2017-12-25",5
"2017-12-26",8
"2017-12-27",8
"2017-12-28",10
"2017-12-29",6
"2017-12-30",5
"2017-12-31",4
"2018-01-01",6
"2018-01-02",9
"2018-01-03",12
"2018-01-04",9
"2018-01-05",9
"2018-01-06",8
"2018-01-07",10
"2018-01-08",14
"2018-01-09",12
"2018-01-10",15
"2018-01-11",14
"2018-01-12",13
"2018-01-13",10
"2018-01-14",14
"2018-01-15",16
"2018-01-16",16
"2018-01-17",18
"2018-01-18",17
"2018-01-19",17
"2018-01-20",12
"2018-01-21",14
"2018-01-22",19
"2018-01-23",16
"2018-01-24",16
"2018-01-25",16
"2018-01-26",17
"2018-01-27",15
"2018-01-28",15
"2018-01-29",22
"2018-01-30",22
"2018-01-31",24
"2018-02-01",30
"2018-02-02",25
"2018-02-03",24
"2018-02-04",24
"2018-02-05",33
"2018-02-06",34
"2018-02-07",32
"2018-02-08",37
"2018-02-09",38
"2018-02-10",44
"2018-02-11",42
"2018-02-12",43
"2018-02-13",36
"2018-02-14",28
"2018-02-15",15
"2018-02-16",15
"2018-02-17",17
"2018-02-18",31
"2018-02-19",53
"2018-02-20",55
"2018-02-21",58
"2018-02-22",64
"2018-02-23",66
"2018-02-24",79
"2018-02-25",74
"2018-02-26",100
"2018-02-27",89
"2018-02-28",82
"2018-03-01",72
"2018-03-02",81
"2018-03-03",56
"2018-03-04",61
"2018-03-05",83
"2018-03-06",77
"2018-03-07",63
"2018-03-08",54
"2018-03-09",40
"2018-03-10",25
"2018-03-11",26
"2018-03-12",39
"2018-03-13",37
"2018-03-14",29
"2018-03-15",28
"2018-03-16",23
"2018-03-17",16
"2018-03-18",16
"2018-03-19",29
"2018-03-20",28
"2018-03-21",22
"2018-03-22",18
"2018-03-23",16
"2018-03-24",13
"2018-03-25",14
"2018-03-26",19
"2018-03-27",20
"2018-03-28",18
"2018-03-29",14
"2018-03-30",14
"2018-03-31",12
"2018-04-01",14
"2018-04-02",23
"2018-04-03",17
"2018-04-04",16
"2018-04-05",14
"2018-04-06",12
"2018-04-07",9
"2018-04-08",9
"2018-04-09",12
"2018-04-10",16
"2018-04-11",12
"2018-04-12",11
"2018-04-13",9
"2018-04-14",9
"2018-04-15",9
"2018-04-16",13
"2018-04-17",10
"2018-04-18",12
"2018-04-19",9
