네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아기띠워머"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",2
"2017-08-15",2
"2017-08-16",2
"2017-08-17",2
"2017-08-18",2
"2017-08-19",1
"2017-08-20",1
"2017-08-21",3
"2017-08-22",2
"2017-08-23",2
"2017-08-24",2
"2017-08-25",2
"2017-08-26",2
"2017-08-27",3
"2017-08-28",3
"2017-08-29",6
"2017-08-30",10
"2017-08-31",9
"2017-09-01",6
"2017-09-02",8
"2017-09-03",6
"2017-09-04",7
"2017-09-05",6
"2017-09-06",9
"2017-09-07",9
"2017-09-08",7
"2017-09-09",6
"2017-09-10",6
"2017-09-11",9
"2017-09-12",8
"2017-09-13",7
"2017-09-14",8
"2017-09-15",9
"2017-09-16",10
"2017-09-17",7
"2017-09-18",11
"2017-09-19",7
"2017-09-20",11
"2017-09-21",17
"2017-09-22",12
"2017-09-23",7
"2017-09-24",7
"2017-09-25",7
"2017-09-26",9
"2017-09-27",13
"2017-09-28",15
"2017-09-29",24
"2017-09-30",17
"2017-10-01",16
"2017-10-02",13
"2017-10-03",14
"2017-10-04",12
"2017-10-05",26
"2017-10-06",44
"2017-10-07",22
"2017-10-08",19
"2017-10-09",25
"2017-10-10",21
"2017-10-11",45
"2017-10-12",76
"2017-10-13",73
"2017-10-14",56
"2017-10-15",58
"2017-10-16",66
"2017-10-17",54
"2017-10-18",56
"2017-10-19",46
"2017-10-20",50
"2017-10-21",31
"2017-10-22",38
"2017-10-23",55
"2017-10-24",52
"2017-10-25",49
"2017-10-26",43
"2017-10-27",37
"2017-10-28",27
"2017-10-29",50
"2017-10-30",100
"2017-10-31",77
"2017-11-01",56
"2017-11-02",47
"2017-11-03",55
"2017-11-04",55
"2017-11-05",51
"2017-11-06",63
"2017-11-07",52
"2017-11-08",47
"2017-11-09",41
"2017-11-10",45
"2017-11-11",37
"2017-11-12",44
"2017-11-13",61
"2017-11-14",64
"2017-11-15",66
"2017-11-16",72
"2017-11-17",56
"2017-11-18",44
"2017-11-19",52
"2017-11-20",57
"2017-11-21",52
"2017-11-22",45
"2017-11-23",44
"2017-11-24",35
"2017-11-25",23
"2017-11-26",25
"2017-11-27",32
"2017-11-28",24
"2017-11-29",26
"2017-11-30",34
"2017-12-01",30
"2017-12-02",22
"2017-12-03",21
"2017-12-04",30
"2017-12-05",33
"2017-12-06",28
"2017-12-07",27
"2017-12-08",27
"2017-12-09",19
"2017-12-10",22
"2017-12-11",34
"2017-12-12",30
"2017-12-13",33
"2017-12-14",26
"2017-12-15",20
"2017-12-16",15
"2017-12-17",20
"2017-12-18",19
"2017-12-19",17
"2017-12-20",20
"2017-12-21",14
"2017-12-22",9
"2017-12-23",8
"2017-12-24",8
"2017-12-25",8
"2017-12-26",13
"2017-12-27",14
"2017-12-28",11
"2017-12-29",12
"2017-12-30",9
"2017-12-31",8
"2018-01-01",9
"2018-01-02",12
"2018-01-03",14
"2018-01-04",11
"2018-01-05",13
"2018-01-06",10
"2018-01-07",11
"2018-01-08",12
"2018-01-09",14
"2018-01-10",15
"2018-01-11",13
"2018-01-12",12
"2018-01-13",11
"2018-01-14",10
"2018-01-15",9
"2018-01-16",9
"2018-01-17",8
"2018-01-18",7
"2018-01-19",9
"2018-01-20",7
"2018-01-21",6
"2018-01-22",10
"2018-01-23",9
"2018-01-24",10
"2018-01-25",11
"2018-01-26",8
"2018-01-27",6
"2018-01-28",7
"2018-01-29",9
"2018-01-30",9
"2018-01-31",9
"2018-02-01",9
"2018-02-02",8
"2018-02-03",6
"2018-02-04",8
"2018-02-05",9
"2018-02-06",10
"2018-02-07",8
"2018-02-08",9
"2018-02-09",7
"2018-02-10",6
"2018-02-11",5
"2018-02-12",8
"2018-02-13",5
"2018-02-14",4
"2018-02-15",4
"2018-02-16",2
"2018-02-17",3
"2018-02-18",5
"2018-02-19",7
"2018-02-20",9
"2018-02-21",6
"2018-02-22",6
"2018-02-23",7
"2018-02-24",5
"2018-02-25",4
"2018-02-26",7
"2018-02-27",6
"2018-02-28",6
"2018-03-01",7
"2018-03-02",8
"2018-03-03",6
"2018-03-04",6
"2018-03-05",9
"2018-03-06",7
"2018-03-07",6
"2018-03-08",5
"2018-03-09",5
"2018-03-10",4
"2018-03-11",6
"2018-03-12",6
"2018-03-13",7
"2018-03-14",5
"2018-03-15",5
"2018-03-16",5
"2018-03-17",4
"2018-03-18",3
"2018-03-19",5
"2018-03-20",6
"2018-03-21",5
"2018-03-22",7
"2018-03-23",4
"2018-03-24",4
"2018-03-25",5
"2018-03-26",4
"2018-03-27",4
"2018-03-28",6
"2018-03-29",4
"2018-03-30",4
"2018-03-31",4
"2018-04-01",3
"2018-04-02",3
"2018-04-03",3
"2018-04-04",4
"2018-04-05",5
"2018-04-06",4
"2018-04-07",2
"2018-04-08",2
"2018-04-09",4
"2018-04-10",4
"2018-04-11",3
"2018-04-12",4
"2018-04-13",4
"2018-04-14",3
"2018-04-15",4
"2018-04-16",4
"2018-04-17",4
"2018-04-18",4
"2018-04-19",4
