네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","물티슈"
"2017-08-01",49
"2017-08-02",44
"2017-08-03",41
"2017-08-04",38
"2017-08-05",30
"2017-08-06",39
"2017-08-07",58
"2017-08-08",59
"2017-08-09",54
"2017-08-10",44
"2017-08-11",32
"2017-08-12",26
"2017-08-13",42
"2017-08-14",53
"2017-08-15",51
"2017-08-16",47
"2017-08-17",48
"2017-08-18",38
"2017-08-19",31
"2017-08-20",46
"2017-08-21",52
"2017-08-22",48
"2017-08-23",46
"2017-08-24",40
"2017-08-25",34
"2017-08-26",32
"2017-08-27",42
"2017-08-28",43
"2017-08-29",47
"2017-08-30",42
"2017-08-31",39
"2017-09-01",36
"2017-09-02",31
"2017-09-03",40
"2017-09-04",55
"2017-09-05",46
"2017-09-06",41
"2017-09-07",39
"2017-09-08",32
"2017-09-09",25
"2017-09-10",37
"2017-09-11",44
"2017-09-12",44
"2017-09-13",39
"2017-09-14",38
"2017-09-15",32
"2017-09-16",28
"2017-09-17",40
"2017-09-18",54
"2017-09-19",40
"2017-09-20",42
"2017-09-21",36
"2017-09-22",32
"2017-09-23",24
"2017-09-24",34
"2017-09-25",46
"2017-09-26",47
"2017-09-27",33
"2017-09-28",28
"2017-09-29",16
"2017-09-30",18
"2017-10-01",21
"2017-10-02",20
"2017-10-03",16
"2017-10-04",20
"2017-10-05",24
"2017-10-06",33
"2017-10-07",43
"2017-10-08",58
"2017-10-09",74
"2017-10-10",74
"2017-10-11",63
"2017-10-12",59
"2017-10-13",44
"2017-10-14",32
"2017-10-15",52
"2017-10-16",59
"2017-10-17",56
"2017-10-18",50
"2017-10-19",51
"2017-10-20",38
"2017-10-21",33
"2017-10-22",46
"2017-10-23",58
"2017-10-24",51
"2017-10-25",54
"2017-10-26",49
"2017-10-27",35
"2017-10-28",33
"2017-10-29",46
"2017-10-30",59
"2017-10-31",52
"2017-11-01",58
"2017-11-02",47
"2017-11-03",37
"2017-11-04",30
"2017-11-05",44
"2017-11-06",60
"2017-11-07",52
"2017-11-08",48
"2017-11-09",47
"2017-11-10",37
"2017-11-11",32
"2017-11-12",38
"2017-11-13",56
"2017-11-14",49
"2017-11-15",48
"2017-11-16",42
"2017-11-17",35
"2017-11-18",29
"2017-11-19",46
"2017-11-20",52
"2017-11-21",48
"2017-11-22",43
"2017-11-23",41
"2017-11-24",36
"2017-11-25",32
"2017-11-26",43
"2017-11-27",49
"2017-11-28",50
"2017-11-29",43
"2017-11-30",42
"2017-12-01",42
"2017-12-02",31
"2017-12-03",49
"2017-12-04",55
"2017-12-05",55
"2017-12-06",44
"2017-12-07",42
"2017-12-08",37
"2017-12-09",30
"2017-12-10",46
"2017-12-11",52
"2017-12-12",50
"2017-12-13",45
"2017-12-14",40
"2017-12-15",31
"2017-12-16",28
"2017-12-17",40
"2017-12-18",51
"2017-12-19",52
"2017-12-20",41
"2017-12-21",48
"2017-12-22",28
"2017-12-23",27
"2017-12-24",30
"2017-12-25",43
"2017-12-26",52
"2017-12-27",51
"2017-12-28",42
"2017-12-29",32
"2017-12-30",26
"2017-12-31",30
"2018-01-01",57
"2018-01-02",70
"2018-01-03",65
"2018-01-04",52
"2018-01-05",44
"2018-01-06",37
"2018-01-07",47
"2018-01-08",63
"2018-01-09",60
"2018-01-10",51
"2018-01-11",44
"2018-01-12",42
"2018-01-13",34
"2018-01-14",51
"2018-01-15",60
"2018-01-16",57
"2018-01-17",54
"2018-01-18",53
"2018-01-19",40
"2018-01-20",35
"2018-01-21",53
"2018-01-22",60
"2018-01-23",53
"2018-01-24",52
"2018-01-25",47
"2018-01-26",41
"2018-01-27",37
"2018-01-28",50
"2018-01-29",64
"2018-01-30",58
"2018-01-31",53
"2018-02-01",57
"2018-02-02",48
"2018-02-03",36
"2018-02-04",60
"2018-02-05",66
"2018-02-06",63
"2018-02-07",55
"2018-02-08",53
"2018-02-09",38
"2018-02-10",38
"2018-02-11",53
"2018-02-12",50
"2018-02-13",31
"2018-02-14",24
"2018-02-15",21
"2018-02-16",27
"2018-02-17",37
"2018-02-18",65
"2018-02-19",91
"2018-02-20",74
"2018-02-21",69
"2018-02-22",85
"2018-02-23",56
"2018-02-24",51
"2018-02-25",66
"2018-02-26",90
"2018-02-27",89
"2018-02-28",67
"2018-03-01",85
"2018-03-02",88
"2018-03-03",64
"2018-03-04",91
"2018-03-05",100
"2018-03-06",74
"2018-03-07",74
"2018-03-08",66
"2018-03-09",50
"2018-03-10",44
"2018-03-11",57
"2018-03-12",77
"2018-03-13",66
"2018-03-14",60
"2018-03-15",61
"2018-03-16",43
"2018-03-17",34
"2018-03-18",45
"2018-03-19",57
"2018-03-20",57
"2018-03-21",59
"2018-03-22",53
"2018-03-23",44
"2018-03-24",40
"2018-03-25",47
"2018-03-26",64
"2018-03-27",58
"2018-03-28",51
"2018-03-29",51
"2018-03-30",39
"2018-03-31",33
"2018-04-01",57
"2018-04-02",68
"2018-04-03",53
"2018-04-04",56
"2018-04-05",51
"2018-04-06",40
"2018-04-07",33
"2018-04-08",47
"2018-04-09",56
"2018-04-10",62
"2018-04-11",59
"2018-04-12",49
"2018-04-13",47
"2018-04-14",38
"2018-04-15",53
"2018-04-16",76
"2018-04-17",55
"2018-04-18",54
"2018-04-19",51
