네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아기모자"
"2017-08-01",22
"2017-08-02",24
"2017-08-03",20
"2017-08-04",31
"2017-08-05",18
"2017-08-06",20
"2017-08-07",26
"2017-08-08",28
"2017-08-09",31
"2017-08-10",21
"2017-08-11",17
"2017-08-12",17
"2017-08-13",15
"2017-08-14",22
"2017-08-15",15
"2017-08-16",21
"2017-08-17",17
"2017-08-18",26
"2017-08-19",17
"2017-08-20",14
"2017-08-21",24
"2017-08-22",23
"2017-08-23",27
"2017-08-24",24
"2017-08-25",25
"2017-08-26",21
"2017-08-27",24
"2017-08-28",27
"2017-08-29",32
"2017-08-30",52
"2017-08-31",49
"2017-09-01",43
"2017-09-02",28
"2017-09-03",41
"2017-09-04",48
"2017-09-05",47
"2017-09-06",55
"2017-09-07",48
"2017-09-08",39
"2017-09-09",29
"2017-09-10",51
"2017-09-11",53
"2017-09-12",53
"2017-09-13",46
"2017-09-14",51
"2017-09-15",48
"2017-09-16",37
"2017-09-17",43
"2017-09-18",64
"2017-09-19",53
"2017-09-20",47
"2017-09-21",47
"2017-09-22",54
"2017-09-23",42
"2017-09-24",36
"2017-09-25",45
"2017-09-26",41
"2017-09-27",44
"2017-09-28",28
"2017-09-29",32
"2017-09-30",20
"2017-10-01",36
"2017-10-02",29
"2017-10-03",18
"2017-10-04",14
"2017-10-05",22
"2017-10-06",31
"2017-10-07",34
"2017-10-08",38
"2017-10-09",36
"2017-10-10",43
"2017-10-11",40
"2017-10-12",61
"2017-10-13",59
"2017-10-14",39
"2017-10-15",55
"2017-10-16",94
"2017-10-17",73
"2017-10-18",69
"2017-10-19",52
"2017-10-20",55
"2017-10-21",40
"2017-10-22",48
"2017-10-23",72
"2017-10-24",68
"2017-10-25",65
"2017-10-26",73
"2017-10-27",54
"2017-10-28",57
"2017-10-29",46
"2017-10-30",99
"2017-10-31",79
"2017-11-01",67
"2017-11-02",61
"2017-11-03",68
"2017-11-04",65
"2017-11-05",59
"2017-11-06",92
"2017-11-07",76
"2017-11-08",80
"2017-11-09",76
"2017-11-10",70
"2017-11-11",47
"2017-11-12",70
"2017-11-13",91
"2017-11-14",84
"2017-11-15",78
"2017-11-16",89
"2017-11-17",68
"2017-11-18",55
"2017-11-19",74
"2017-11-20",100
"2017-11-21",85
"2017-11-22",79
"2017-11-23",90
"2017-11-24",81
"2017-11-25",52
"2017-11-26",58
"2017-11-27",65
"2017-11-28",65
"2017-11-29",67
"2017-11-30",70
"2017-12-01",64
"2017-12-02",49
"2017-12-03",49
"2017-12-04",67
"2017-12-05",82
"2017-12-06",61
"2017-12-07",71
"2017-12-08",58
"2017-12-09",43
"2017-12-10",69
"2017-12-11",91
"2017-12-12",78
"2017-12-13",77
"2017-12-14",54
"2017-12-15",58
"2017-12-16",38
"2017-12-17",52
"2017-12-18",81
"2017-12-19",62
"2017-12-20",57
"2017-12-21",34
"2017-12-22",39
"2017-12-23",33
"2017-12-24",28
"2017-12-25",30
"2017-12-26",42
"2017-12-27",44
"2017-12-28",38
"2017-12-29",35
"2017-12-30",22
"2017-12-31",20
"2018-01-01",26
"2018-01-02",37
"2018-01-03",36
"2018-01-04",36
"2018-01-05",29
"2018-01-06",24
"2018-01-07",31
"2018-01-08",44
"2018-01-09",42
"2018-01-10",50
"2018-01-11",32
"2018-01-12",31
"2018-01-13",23
"2018-01-14",24
"2018-01-15",30
"2018-01-16",27
"2018-01-17",25
"2018-01-18",24
"2018-01-19",19
"2018-01-20",15
"2018-01-21",18
"2018-01-22",28
"2018-01-23",30
"2018-01-24",27
"2018-01-25",21
"2018-01-26",19
"2018-01-27",20
"2018-01-28",18
"2018-01-29",24
"2018-01-30",31
"2018-01-31",23
"2018-02-01",29
"2018-02-02",22
"2018-02-03",22
"2018-02-04",23
"2018-02-05",34
"2018-02-06",32
"2018-02-07",30
"2018-02-08",28
"2018-02-09",25
"2018-02-10",22
"2018-02-11",22
"2018-02-12",24
"2018-02-13",21
"2018-02-14",24
"2018-02-15",16
"2018-02-16",12
"2018-02-17",18
"2018-02-18",19
"2018-02-19",32
"2018-02-20",21
"2018-02-21",31
"2018-02-22",30
"2018-02-23",34
"2018-02-24",24
"2018-02-25",27
"2018-02-26",41
"2018-02-27",44
"2018-02-28",40
"2018-03-01",40
"2018-03-02",38
"2018-03-03",31
"2018-03-04",51
"2018-03-05",44
"2018-03-06",58
"2018-03-07",60
"2018-03-08",50
"2018-03-09",38
"2018-03-10",39
"2018-03-11",42
"2018-03-12",57
"2018-03-13",68
"2018-03-14",75
"2018-03-15",65
"2018-03-16",58
"2018-03-17",53
"2018-03-18",60
"2018-03-19",58
"2018-03-20",62
"2018-03-21",50
"2018-03-22",61
"2018-03-23",59
"2018-03-24",48
"2018-03-25",56
"2018-03-26",53
"2018-03-27",70
"2018-03-28",64
"2018-03-29",68
"2018-03-30",53
"2018-03-31",52
"2018-04-01",75
"2018-04-02",78
"2018-04-03",64
"2018-04-04",63
"2018-04-05",44
"2018-04-06",50
"2018-04-07",36
"2018-04-08",44
"2018-04-09",63
"2018-04-10",69
"2018-04-11",58
"2018-04-12",61
"2018-04-13",50
"2018-04-14",43
"2018-04-15",45
"2018-04-16",68
"2018-04-17",71
"2018-04-18",72
"2018-04-19",61
