네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아기침대"
"2017-08-01",36
"2017-08-02",32
"2017-08-03",33
"2017-08-04",36
"2017-08-05",34
"2017-08-06",42
"2017-08-07",38
"2017-08-08",43
"2017-08-09",37
"2017-08-10",51
"2017-08-11",37
"2017-08-12",33
"2017-08-13",44
"2017-08-14",47
"2017-08-15",46
"2017-08-16",43
"2017-08-17",39
"2017-08-18",35
"2017-08-19",39
"2017-08-20",51
"2017-08-21",47
"2017-08-22",33
"2017-08-23",36
"2017-08-24",40
"2017-08-25",37
"2017-08-26",35
"2017-08-27",41
"2017-08-28",43
"2017-08-29",35
"2017-08-30",40
"2017-08-31",34
"2017-09-01",37
"2017-09-02",36
"2017-09-03",38
"2017-09-04",44
"2017-09-05",37
"2017-09-06",33
"2017-09-07",38
"2017-09-08",38
"2017-09-09",35
"2017-09-10",45
"2017-09-11",46
"2017-09-12",39
"2017-09-13",39
"2017-09-14",32
"2017-09-15",35
"2017-09-16",36
"2017-09-17",45
"2017-09-18",42
"2017-09-19",37
"2017-09-20",35
"2017-09-21",36
"2017-09-22",33
"2017-09-23",37
"2017-09-24",41
"2017-09-25",47
"2017-09-26",50
"2017-09-27",60
"2017-09-28",50
"2017-09-29",42
"2017-09-30",52
"2017-10-01",58
"2017-10-02",54
"2017-10-03",38
"2017-10-04",37
"2017-10-05",57
"2017-10-06",64
"2017-10-07",67
"2017-10-08",76
"2017-10-09",83
"2017-10-10",71
"2017-10-11",65
"2017-10-12",65
"2017-10-13",55
"2017-10-14",58
"2017-10-15",70
"2017-10-16",69
"2017-10-17",59
"2017-10-18",61
"2017-10-19",58
"2017-10-20",67
"2017-10-21",57
"2017-10-22",82
"2017-10-23",70
"2017-10-24",64
"2017-10-25",68
"2017-10-26",71
"2017-10-27",63
"2017-10-28",61
"2017-10-29",77
"2017-10-30",88
"2017-10-31",73
"2017-11-01",69
"2017-11-02",62
"2017-11-03",69
"2017-11-04",71
"2017-11-05",84
"2017-11-06",77
"2017-11-07",62
"2017-11-08",63
"2017-11-09",52
"2017-11-10",51
"2017-11-11",58
"2017-11-12",73
"2017-11-13",63
"2017-11-14",66
"2017-11-15",51
"2017-11-16",49
"2017-11-17",51
"2017-11-18",51
"2017-11-19",72
"2017-11-20",58
"2017-11-21",53
"2017-11-22",55
"2017-11-23",49
"2017-11-24",54
"2017-11-25",63
"2017-11-26",70
"2017-11-27",66
"2017-11-28",45
"2017-11-29",40
"2017-11-30",51
"2017-12-01",64
"2017-12-02",61
"2017-12-03",70
"2017-12-04",71
"2017-12-05",66
"2017-12-06",64
"2017-12-07",55
"2017-12-08",59
"2017-12-09",61
"2017-12-10",78
"2017-12-11",62
"2017-12-12",57
"2017-12-13",54
"2017-12-14",56
"2017-12-15",55
"2017-12-16",63
"2017-12-17",70
"2017-12-18",63
"2017-12-19",62
"2017-12-20",56
"2017-12-21",59
"2017-12-22",50
"2017-12-23",54
"2017-12-24",50
"2017-12-25",57
"2017-12-26",100
"2017-12-27",75
"2017-12-28",64
"2017-12-29",70
"2017-12-30",64
"2017-12-31",59
"2018-01-01",71
"2018-01-02",73
"2018-01-03",73
"2018-01-04",63
"2018-01-05",53
"2018-01-06",71
"2018-01-07",81
"2018-01-08",84
"2018-01-09",75
"2018-01-10",85
"2018-01-11",86
"2018-01-12",66
"2018-01-13",65
"2018-01-14",78
"2018-01-15",85
"2018-01-16",66
"2018-01-17",66
"2018-01-18",64
"2018-01-19",58
"2018-01-20",58
"2018-01-21",69
"2018-01-22",66
"2018-01-23",60
"2018-01-24",56
"2018-01-25",64
"2018-01-26",51
"2018-01-27",54
"2018-01-28",74
"2018-01-29",60
"2018-01-30",53
"2018-01-31",51
"2018-02-01",55
"2018-02-02",48
"2018-02-03",56
"2018-02-04",64
"2018-02-05",61
"2018-02-06",58
"2018-02-07",48
"2018-02-08",46
"2018-02-09",46
"2018-02-10",47
"2018-02-11",60
"2018-02-12",58
"2018-02-13",43
"2018-02-14",39
"2018-02-15",41
"2018-02-16",42
"2018-02-17",55
"2018-02-18",79
"2018-02-19",69
"2018-02-20",53
"2018-02-21",54
"2018-02-22",58
"2018-02-23",52
"2018-02-24",65
"2018-02-25",74
"2018-02-26",69
"2018-02-27",68
"2018-02-28",61
"2018-03-01",70
"2018-03-02",62
"2018-03-03",54
"2018-03-04",68
"2018-03-05",59
"2018-03-06",54
"2018-03-07",66
"2018-03-08",60
"2018-03-09",52
"2018-03-10",59
"2018-03-11",80
"2018-03-12",76
"2018-03-13",57
"2018-03-14",61
"2018-03-15",57
"2018-03-16",55
"2018-03-17",64
"2018-03-18",80
"2018-03-19",65
"2018-03-20",55
"2018-03-21",59
"2018-03-22",64
"2018-03-23",61
"2018-03-24",65
"2018-03-25",67
"2018-03-26",63
"2018-03-27",58
"2018-03-28",55
"2018-03-29",58
"2018-03-30",45
"2018-03-31",47
"2018-04-01",62
"2018-04-02",62
"2018-04-03",54
"2018-04-04",61
"2018-04-05",62
"2018-04-06",56
"2018-04-07",49
"2018-04-08",63
"2018-04-09",55
"2018-04-10",54
"2018-04-11",50
"2018-04-12",51
"2018-04-13",52
"2018-04-14",57
"2018-04-15",66
"2018-04-16",71
"2018-04-17",66
"2018-04-18",56
"2018-04-19",55
