네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스와비넥스공갈젖꼭지"
"2017-08-01",41
"2017-08-02",46
"2017-08-03",36
"2017-08-04",38
"2017-08-05",30
"2017-08-06",33
"2017-08-07",34
"2017-08-08",41
"2017-08-09",51
"2017-08-10",43
"2017-08-11",39
"2017-08-12",29
"2017-08-13",41
"2017-08-14",38
"2017-08-15",47
"2017-08-16",44
"2017-08-17",43
"2017-08-18",43
"2017-08-19",33
"2017-08-20",32
"2017-08-21",37
"2017-08-22",45
"2017-08-23",45
"2017-08-24",40
"2017-08-25",36
"2017-08-26",30
"2017-08-27",48
"2017-08-28",35
"2017-08-29",40
"2017-08-30",37
"2017-08-31",40
"2017-09-01",27
"2017-09-02",27
"2017-09-03",33
"2017-09-04",38
"2017-09-05",41
"2017-09-06",37
"2017-09-07",32
"2017-09-08",40
"2017-09-09",30
"2017-09-10",29
"2017-09-11",47
"2017-09-12",53
"2017-09-13",37
"2017-09-14",42
"2017-09-15",37
"2017-09-16",27
"2017-09-17",40
"2017-09-18",50
"2017-09-19",46
"2017-09-20",46
"2017-09-21",41
"2017-09-22",43
"2017-09-23",29
"2017-09-24",47
"2017-09-25",72
"2017-09-26",86
"2017-09-27",69
"2017-09-28",46
"2017-09-29",46
"2017-09-30",34
"2017-10-01",43
"2017-10-02",42
"2017-10-03",33
"2017-10-04",33
"2017-10-05",45
"2017-10-06",63
"2017-10-07",54
"2017-10-08",74
"2017-10-09",85
"2017-10-10",86
"2017-10-11",75
"2017-10-12",81
"2017-10-13",66
"2017-10-14",55
"2017-10-15",73
"2017-10-16",61
"2017-10-17",72
"2017-10-18",62
"2017-10-19",60
"2017-10-20",58
"2017-10-21",47
"2017-10-22",62
"2017-10-23",73
"2017-10-24",80
"2017-10-25",71
"2017-10-26",74
"2017-10-27",87
"2017-10-28",56
"2017-10-29",74
"2017-10-30",69
"2017-10-31",65
"2017-11-01",66
"2017-11-02",61
"2017-11-03",58
"2017-11-04",48
"2017-11-05",62
"2017-11-06",70
"2017-11-07",80
"2017-11-08",88
"2017-11-09",77
"2017-11-10",59
"2017-11-11",53
"2017-11-12",66
"2017-11-13",87
"2017-11-14",76
"2017-11-15",73
"2017-11-16",64
"2017-11-17",65
"2017-11-18",62
"2017-11-19",64
"2017-11-20",82
"2017-11-21",78
"2017-11-22",80
"2017-11-23",64
"2017-11-24",66
"2017-11-25",53
"2017-11-26",64
"2017-11-27",75
"2017-11-28",56
"2017-11-29",55
"2017-11-30",58
"2017-12-01",67
"2017-12-02",50
"2017-12-03",70
"2017-12-04",76
"2017-12-05",97
"2017-12-06",70
"2017-12-07",59
"2017-12-08",55
"2017-12-09",53
"2017-12-10",66
"2017-12-11",70
"2017-12-12",64
"2017-12-13",70
"2017-12-14",63
"2017-12-15",56
"2017-12-16",33
"2017-12-17",56
"2017-12-18",63
"2017-12-19",60
"2017-12-20",56
"2017-12-21",64
"2017-12-22",50
"2017-12-23",48
"2017-12-24",51
"2017-12-25",47
"2017-12-26",72
"2017-12-27",70
"2017-12-28",62
"2017-12-29",53
"2017-12-30",50
"2017-12-31",42
"2018-01-01",52
"2018-01-02",65
"2018-01-03",69
"2018-01-04",69
"2018-01-05",56
"2018-01-06",40
"2018-01-07",54
"2018-01-08",62
"2018-01-09",70
"2018-01-10",66
"2018-01-11",56
"2018-01-12",56
"2018-01-13",54
"2018-01-14",53
"2018-01-15",71
"2018-01-16",55
"2018-01-17",51
"2018-01-18",58
"2018-01-19",61
"2018-01-20",56
"2018-01-21",62
"2018-01-22",70
"2018-01-23",56
"2018-01-24",60
"2018-01-25",71
"2018-01-26",64
"2018-01-27",59
"2018-01-28",69
"2018-01-29",81
"2018-01-30",70
"2018-01-31",68
"2018-02-01",63
"2018-02-02",60
"2018-02-03",58
"2018-02-04",66
"2018-02-05",75
"2018-02-06",64
"2018-02-07",70
"2018-02-08",69
"2018-02-09",61
"2018-02-10",50
"2018-02-11",52
"2018-02-12",54
"2018-02-13",48
"2018-02-14",43
"2018-02-15",32
"2018-02-16",49
"2018-02-17",50
"2018-02-18",93
"2018-02-19",100
"2018-02-20",75
"2018-02-21",84
"2018-02-22",83
"2018-02-23",59
"2018-02-24",59
"2018-02-25",71
"2018-02-26",74
"2018-02-27",87
"2018-02-28",79
"2018-03-01",88
"2018-03-02",76
"2018-03-03",57
"2018-03-04",78
"2018-03-05",84
"2018-03-06",77
"2018-03-07",78
"2018-03-08",68
"2018-03-09",62
"2018-03-10",48
"2018-03-11",62
"2018-03-12",68
"2018-03-13",80
"2018-03-14",71
"2018-03-15",65
"2018-03-16",54
"2018-03-17",50
"2018-03-18",69
"2018-03-19",69
"2018-03-20",79
"2018-03-21",67
"2018-03-22",76
"2018-03-23",64
"2018-03-24",44
"2018-03-25",56
"2018-03-26",74
"2018-03-27",75
"2018-03-28",77
"2018-03-29",75
"2018-03-30",63
"2018-03-31",50
"2018-04-01",54
"2018-04-02",77
"2018-04-03",66
"2018-04-04",63
"2018-04-05",62
"2018-04-06",77
"2018-04-07",53
"2018-04-08",68
"2018-04-09",75
"2018-04-10",70
"2018-04-11",76
"2018-04-12",51
"2018-04-13",54
"2018-04-14",50
"2018-04-15",58
"2018-04-16",79
"2018-04-17",63
"2018-04-18",62
"2018-04-19",68
