네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","레핀"
"2017-08-01",7
"2017-08-02",12
"2017-08-03",9
"2017-08-04",12
"2017-08-05",13
"2017-08-06",11
"2017-08-07",11
"2017-08-08",11
"2017-08-09",12
"2017-08-10",11
"2017-08-11",9
"2017-08-12",10
"2017-08-13",18
"2017-08-14",14
"2017-08-15",17
"2017-08-16",10
"2017-08-17",10
"2017-08-18",8
"2017-08-19",8
"2017-08-20",15
"2017-08-21",12
"2017-08-22",8
"2017-08-23",13
"2017-08-24",11
"2017-08-25",9
"2017-08-26",14
"2017-08-27",16
"2017-08-28",11
"2017-08-29",13
"2017-08-30",12
"2017-08-31",19
"2017-09-01",13
"2017-09-02",13
"2017-09-03",18
"2017-09-04",11
"2017-09-05",12
"2017-09-06",24
"2017-09-07",23
"2017-09-08",21
"2017-09-09",20
"2017-09-10",26
"2017-09-11",19
"2017-09-12",17
"2017-09-13",15
"2017-09-14",13
"2017-09-15",10
"2017-09-16",13
"2017-09-17",17
"2017-09-18",12
"2017-09-19",17
"2017-09-20",50
"2017-09-21",37
"2017-09-22",20
"2017-09-23",20
"2017-09-24",31
"2017-09-25",18
"2017-09-26",22
"2017-09-27",32
"2017-09-28",14
"2017-09-29",16
"2017-09-30",18
"2017-10-01",25
"2017-10-02",25
"2017-10-03",26
"2017-10-04",32
"2017-10-05",34
"2017-10-06",75
"2017-10-07",100
"2017-10-08",46
"2017-10-09",42
"2017-10-10",43
"2017-10-11",43
"2017-10-12",32
"2017-10-13",21
"2017-10-14",24
"2017-10-15",29
"2017-10-16",21
"2017-10-17",21
"2017-10-18",17
"2017-10-19",16
"2017-10-20",18
"2017-10-21",23
"2017-10-22",30
"2017-10-23",22
"2017-10-24",29
"2017-10-25",26
"2017-10-26",19
"2017-10-27",17
"2017-10-28",23
"2017-10-29",22
"2017-10-30",18
"2017-10-31",20
"2017-11-01",18
"2017-11-02",18
"2017-11-03",15
"2017-11-04",20
"2017-11-05",27
"2017-11-06",24
"2017-11-07",20
"2017-11-08",21
"2017-11-09",30
"2017-11-10",23
"2017-11-11",19
"2017-11-12",28
"2017-11-13",19
"2017-11-14",19
"2017-11-15",16
"2017-11-16",10
"2017-11-17",14
"2017-11-18",17
"2017-11-19",26
"2017-11-20",21
"2017-11-21",14
"2017-11-22",17
"2017-11-23",18
"2017-11-24",14
"2017-11-25",19
"2017-11-26",24
"2017-11-27",23
"2017-11-28",21
"2017-11-29",19
"2017-11-30",21
"2017-12-01",30
"2017-12-02",55
"2017-12-03",40
"2017-12-04",34
"2017-12-05",30
"2017-12-06",33
"2017-12-07",25
"2017-12-08",27
"2017-12-09",42
"2017-12-10",47
"2017-12-11",36
"2017-12-12",29
"2017-12-13",37
"2017-12-14",32
"2017-12-15",42
"2017-12-16",35
"2017-12-17",43
"2017-12-18",39
"2017-12-19",37
"2017-12-20",33
"2017-12-21",28
"2017-12-22",24
"2017-12-23",24
"2017-12-24",33
"2017-12-25",47
"2017-12-26",30
"2017-12-27",30
"2017-12-28",23
"2017-12-29",28
"2017-12-30",31
"2017-12-31",35
"2018-01-01",44
"2018-01-02",34
"2018-01-03",30
"2018-01-04",29
"2018-01-05",28
"2018-01-06",33
"2018-01-07",38
"2018-01-08",38
"2018-01-09",34
"2018-01-10",29
"2018-01-11",24
"2018-01-12",29
"2018-01-13",29
"2018-01-14",34
"2018-01-15",24
"2018-01-16",27
"2018-01-17",24
"2018-01-18",26
"2018-01-19",28
"2018-01-20",26
"2018-01-21",34
"2018-01-22",25
"2018-01-23",20
"2018-01-24",21
"2018-01-25",21
"2018-01-26",30
"2018-01-27",27
"2018-01-28",31
"2018-01-29",27
"2018-01-30",26
"2018-01-31",32
"2018-02-01",26
"2018-02-02",22
"2018-02-03",26
"2018-02-04",32
"2018-02-05",25
"2018-02-06",32
"2018-02-07",25
"2018-02-08",20
"2018-02-09",21
"2018-02-10",24
"2018-02-11",31
"2018-02-12",21
"2018-02-13",25
"2018-02-14",21
"2018-02-15",24
"2018-02-16",31
"2018-02-17",38
"2018-02-18",42
"2018-02-19",28
"2018-02-20",26
"2018-02-21",19
"2018-02-22",19
"2018-02-23",19
"2018-02-24",21
"2018-02-25",28
"2018-02-26",25
"2018-02-27",24
"2018-02-28",22
"2018-03-01",25
"2018-03-02",22
"2018-03-03",28
"2018-03-04",30
"2018-03-05",16
"2018-03-06",18
"2018-03-07",25
"2018-03-08",25
"2018-03-09",24
"2018-03-10",24
"2018-03-11",29
"2018-03-12",21
"2018-03-13",18
"2018-03-14",42
"2018-03-15",32
"2018-03-16",28
"2018-03-17",30
"2018-03-18",31
"2018-03-19",31
"2018-03-20",22
"2018-03-21",24
"2018-03-22",18
"2018-03-23",18
"2018-03-24",26
"2018-03-25",28
"2018-03-26",20
"2018-03-27",18
"2018-03-28",18
"2018-03-29",18
"2018-03-30",16
"2018-03-31",23
"2018-04-01",20
"2018-04-02",23
"2018-04-03",22
"2018-04-04",26
"2018-04-05",16
"2018-04-06",19
"2018-04-07",24
"2018-04-08",26
"2018-04-09",22
"2018-04-10",21
"2018-04-11",19
"2018-04-12",15
"2018-04-13",16
"2018-04-14",21
"2018-04-15",25
"2018-04-16",23
"2018-04-17",20
"2018-04-18",21
"2018-04-19",19
